scene	decision	chosen	takes	flags	text
c119-2	clean	2	2	take1: 末尾に余計な音: 120ms の無音 → 220ms の音（3.92秒地点・振幅12427＝本文の1.3倍） || take2: clean	12フィートで足りると見積もられたが、16フィート入れてあった。
c123-2	clean	2	2	take1: 末尾に余計な音: 120ms の無音 → 200ms の音（2.67秒地点・振幅13433＝本文の1.2倍） || take2: clean	燃料は、まだ半分も使っていなかった。
c204-1	clean	2	2	take1: 途中に浮いた音: 210ms（1.96秒地点・振幅23058＝本文の3.3倍／前120ms・後80ms の無音） || take2: clean	およそ3か月働くと、筆記試験がある。通れば、口頭試問が2回。
c204-2	real	1	3	take1: 途中に浮いた音: 190ms（2.09秒地点・振幅24108＝本文の1.8倍／前150ms・後160ms の無音） || take2: 途中に浮いた音: 210ms（2.31秒地点・振幅23825＝本文の1.9倍／前140ms・後150ms の無音） || take3: 途中に浮いた音: 200ms（2.40秒地点・振幅15272＝本文の1.2倍／前150ms・後160ms の無音）	軍の側と、運転を請け負った会社の側である。
c205-2	clean	3	3	take1: 末尾に余計な音: 120ms の無音 → 220ms の音（3.54秒地点・振幅8316＝本文の1.1倍） || take2: 末尾に余計な音: 120ms の無音 → 130ms の音（3.55秒地点・振幅7530＝本文の0.9倍） || take3: clean	当直長になるには、そこからさらに6か月かかった。
c214-1	clean	2	2	take1: 途中に浮いた音: 230ms（2.96秒地点・振幅16468＝本文の2.0倍／前80ms・後90ms の無音） || take2: clean	午後4時。3人の当直が、日勤の班と交代した。
c223-2	clean	3	3	take1: 末尾に余計な音: 100ms の無音 → 160ms の音（2.00秒地点・振幅16833＝本文の1.7倍） || take2: 末尾に余計な音: 130ms の無音 → 160ms の音（1.92秒地点・振幅13243＝本文の1.5倍） || take3: clean	その2番の作業中だった
c302-1	unsure	1	3	take1: 途中に浮いた音: 160ms（1.75秒地点・振幅19758＝本文の2.7倍／前230ms・後130ms の無音） || take2: 途中に浮いた音: 170ms（1.68秒地点・振幅19631＝本文の2.1倍／前100ms・後130ms の無音） || take3: 途中に浮いた音: 230ms（1.70秒地点・振幅10268＝本文の1.2倍／前80ms・後620ms の無音）	記録に残っているのは、3つ。建屋の熱の警報。
c303-1	clean	3	3	take1: 末尾に余計な音: 80ms の無音 → 160ms の音（3.60秒地点・振幅7322＝本文の0.9倍） || take2: 末尾に余計な音: 130ms の無音 → 160ms の音（2.96秒地点・振幅10303＝本文の1.1倍） || take3: clean	外から見えたものは、いつもどおりの蒸気だった。
c305-2	clean	2	2	take1: 途中に浮いた音: 220ms（2.67秒地点・振幅13329＝本文の1.0倍／前140ms・後210ms の無音） || take2: clean	穴に見えたのは、排気口に巻いてあった布だった。
c317-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 220ms の音（3.94秒地点・振幅10721＝本文の1.2倍） || take2: clean	押さえ具はひどくねじれ、隙間に燃料箱の蓋が挟まっている。
c323-1	clean	2	2	take1: 途中に浮いた音: 170ms（3.23秒地点・振幅13788＝本文の1.8倍／前200ms・後110ms の無音） || take2: clean	しかもその上に、燃料箱の蓋が2枚、載っていた。
c327-1	real	1	3	take1: 途中に浮いた音: 160ms（1.86秒地点・振幅15090＝本文の1.5倍／前230ms・後120ms の無音） || take2: 途中に浮いた音: 150ms（1.88秒地点・振幅14858＝本文の1.6倍／前190ms・後120ms の無音） || take3: 途中に浮いた音: 170ms（1.89秒地点・振幅15435＝本文の1.6倍／前260ms・後100ms の無音）	炉心の構造の上に、載っていた。
c327-2	clean	3	3	take1: 途中に浮いた音: 200ms（5.61秒地点・振幅21079＝本文の2.3倍／前230ms・後110ms の無音） || take2: 途中に浮いた音: 180ms（5.78秒地点・振幅21200＝本文の2.4倍／前240ms・後90ms の無音） || take3: clean	一方、圧力容器の壁にも熱遮蔽にも損傷は無い。水も、まったく見えなかった。
c328-1	clean	3	3	take1: 末尾に余計な音: 300ms の無音 → 250ms の音（5.81秒地点・振幅11107＝本文の1.2倍） || take2: 末尾に余計な音: 350ms の無音 → 150ms の音（6.57秒地点・振幅14688＝本文の1.7倍） || take3: clean	判読の結論は、ここで止まる。炉心が全体として乱れた、と。
c401-1	unsure	1	3	take1: 末尾に余計な音: 110ms の無音 → 200ms の音（5.64秒地点・振幅12526＝本文の1.5倍） || take2: 末尾に余計な音: 120ms の無音 → 190ms の音（5.33秒地点・振幅13449＝本文の1.3倍） || take3: 末尾に余計な音: 120ms の無音 → 250ms の音（5.35秒地点・振幅11891＝本文の1.3倍）	午後9時1分。炉の建屋にある、熱を感じる警報が鳴った。
c402-2	real	1	3	take1: 末尾に余計な音: 140ms の無音 → 190ms の音（2.13秒地点・振幅17163＝本文の1.7倍） || take2: 末尾に余計な音: 130ms の無音 → 210ms の音（1.87秒地点・振幅10237＝本文の1.4倍） || take3: 末尾に余計な音: 110ms の無音 → 200ms の音（1.87秒地点・振幅10225＝本文の1.3倍）	人の汚染を測る装置が鳴った。
c407-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 230ms の音（3.93秒地点・振幅17471＝本文の1.7倍） || take2: clean	9時4分、隣の炉の技術者が現場へ向かった。
c410-1	unsure	1	3	take1: 末尾に余計な音: 90ms の無音 → 160ms の音（6.56秒地点・振幅18022＝本文の2.4倍） || take2: 末尾に余計な音: 100ms の無音 → 240ms の音（6.48秒地点・振幅12681＝本文の1.3倍） || take3: 末尾に余計な音: 90ms の無音 → 160ms の音（7.02秒地点・振幅19078＝本文の2.0倍）	9時12分、消防車が構内に入る。副隊長は南東の扉へ向かった。
c411-2	clean	2	2	take1: 途中に浮いた音: 100ms（0.91秒地点・振幅16654＝本文の1.8倍／前370ms・後160ms の無音） || take2: clean	毎時1.5レントゲン。人が働いてよい場所の値ではない。
c415-1	real	1	3	take1: 途中に浮いた音: 210ms（2.69秒地点・振幅6612＝本文の1.0倍／前100ms・後1010ms の無音） || take2: 途中に浮いた音: 190ms（2.73秒地点・振幅7179＝本文の1.0倍／前110ms・後1040ms の無音） || take3: 途中に浮いた音: 220ms（2.74秒地点・振幅10358＝本文の1.3倍／前130ms・後950ms の無音）	弁当箱と、コーヒーのカップも一緒だった。制御盤の明かりは消え、
c420-1	clean	3	3	take1: 末尾に余計な音: 110ms の無音 → 160ms の音（4.56秒地点・振幅15467＝本文の1.4倍） || take2: 末尾に余計な音: 100ms の無音 → 230ms の音（4.49秒地点・振幅13224＝本文の1.4倍） || take3: clean	彼はまず消防隊を風上へ回らせ、それから中へ入った。
c508-1	clean	2	2	take1: 末尾に余計な音: 130ms の無音 → 140ms の音（4.66秒地点・振幅18207＝本文の1.4倍） || take2: clean	10時45分、運転を請け負っていた会社の2人が階段を上がった。
c512-2	unsure	1	3	take1: 末尾に余計な音: 80ms の無音 → 210ms の音（2.67秒地点・振幅10873＝本文の1.7倍） || take2: 末尾に余計な音: 110ms の無音 → 230ms の音（2.73秒地点・振幅13621＝本文の2.1倍） || take3: 末尾に余計な音: 130ms の無音 → 190ms の音（2.84秒地点・振幅8768＝本文の1.3倍）	見つけて出てくるまで、およそ3分だった。
c513-1	unsure	1	3	take1: 末尾に余計な音: 140ms の無音 → 130ms の音（4.48秒地点・振幅15457＝本文の1.4倍）; 途中に浮いた音: 200ms（3.02秒地点・振幅27460＝本文の2.5倍／前110ms・後150ms の無音） || take2: 末尾に余計な音: 120ms の無音 → 150ms の音（4.89秒地点・振幅24088＝本文の2.3倍）; 途中に浮いた音: 250ms（0.85秒地点・振幅16528＝本文の1.6倍／前130ms・後440ms の無音） || take3: 末尾に余計な音: 120ms の無音 → 190ms の音（4.59秒地点・振幅19943＝本文の2.3倍）; 途中に浮いた音: 250ms（0.81秒地点・振幅20101＝本文の2.3倍／前140ms・後290ms の無音）	10時50分、5人が担架を2つ持って運転階に入った。
c515-1	clean	2	2	take1: 途中に浮いた音: 240ms（2.79秒地点・振幅14764＝本文の2.1倍／前130ms・後90ms の無音） || take2: clean	ここで1人の空気呼吸器が詰まった。非常口から出ようとしたが、
c516-2	unsure	1	3	take1: 末尾に余計な音: 80ms の無音 → 160ms の音（2.59秒地点・振幅11498＝本文の1.3倍） || take2: 末尾に余計な音: 100ms の無音 → 140ms の音（2.70秒地点・振幅16642＝本文の1.9倍）; 先頭に余計な音: 120ms の音（振幅22585＝本文の2.5倍）のあと 130ms の無音 || take3: 末尾に余計な音: 120ms の無音 → 210ms の音（2.89秒地点・振幅10274＝本文の1.2倍）	1分でも短くする、という作業だった。
c517-2	unsure	1	3	take1: 末尾に余計な音: 100ms の無音 → 220ms の音（3.94秒地点・振幅9430＝本文の1.0倍） || take2: 末尾に余計な音: 100ms の無音 → 160ms の音（3.92秒地点・振幅14235＝本文の1.5倍） || take3: 末尾に余計な音: 120ms の無音 → 170ms の音（3.99秒地点・振幅10280＝本文の1.0倍）	門から4分の1マイル離れた道路で、救急車と落ち合った。
c521-2	clean	3	3	take1: 末尾に余計な音: 170ms の無音 → 220ms の音（1.86秒地点・振幅20153＝本文の1.4倍） || take2: 末尾に余計な音: 140ms の無音 → 190ms の音（1.73秒地点・振幅21978＝本文の1.4倍） || take3: clean	3人目は、天井にあった
c523-2	clean	2	2	take1: 末尾に余計な音: 130ms の無音 → 170ms の音（3.51秒地点・振幅9001＝本文の1.2倍） || take2: clean	3人目を降ろす方法は、まだ誰も持っていなかった。
c601-1	clean	3	3	take1: 末尾に余計な音: 130ms の無音 → 110ms の音（6.06秒地点・振幅11749＝本文の1.2倍） || take2: 末尾に余計な音: 130ms の無音 → 120ms の音（6.54秒地点・振幅8536＝本文の1.0倍） || take3: clean	1月4日の午前5時半。5人の組が、1人目の衣類を外す作業に入った。
c601-2	clean	3	3	take1: 途中に浮いた音: 120ms（2.21秒地点・振幅21784＝本文の2.6倍／前140ms・後110ms の無音） || take2: 途中に浮いた音: 230ms（1.99秒地点・振幅11733＝本文の1.5倍／前80ms・後200ms の無音）; 途中に浮いた音: 130ms（2.42秒地点・振幅18578＝本文の2.4倍／前200ms・後100ms の無音） || take3: clean	記録係と時間係を置き、1分で交代する。
c603-1	unsure	1	3	take1: 末尾に余計な音: 120ms の無音 → 170ms の音（4.13秒地点・振幅13483＝本文の1.5倍） || take2: 末尾に余計な音: 100ms の無音 → 160ms の音（3.95秒地点・振幅21189＝本文の1.8倍） || take3: 末尾に余計な音: 100ms の無音 → 180ms の音（3.85秒地点・振幅12918＝本文の1.4倍）	午前9時半から11時半まで、洗剤を使って洗った。
c607-2	clean	2	2	take1: 末尾に余計な音: 120ms の無音 → 130ms の音（5.47秒地点・振幅10713＝本文の1.2倍） || take2: clean	3人目だけは、8分の1インチでなく4分の3インチの厚い板だった。
c718-2	clean	2	2	take1: 途中に浮いた音: 240ms（3.60秒地点・振幅23166＝本文の2.7倍／前230ms・後180ms の無音） || take2: clean	これも、事故の始まりを説明できない、と書かれている。
c801-2	unsure	1	3	take1: 末尾に余計な音: 110ms の無音 → 160ms の音（2.88秒地点・振幅10470＝本文の1.2倍） || take2: 末尾に余計な音: 90ms の無音 → 150ms の音（3.04秒地点・振幅19340＝本文の2.1倍） || take3: 末尾に余計な音: 100ms の無音 → 220ms の音（2.90秒地点・振幅12098＝本文の1.6倍）	そう判断されて、最後の段階が始まった。
c803-1	clean	2	2	take1: 末尾に余計な音: 140ms の無音 → 200ms の音（2.29秒地点・振幅11499＝本文の1.1倍） || take2: clean	実施したのは、ゼネラル・エレクトリック。
c813-1	unsure	1	3	take1: 末尾に余計な音: 120ms の無音 → 160ms の音（2.21秒地点・振幅10230＝本文の1.2倍） || take2: 途中に浮いた音: 190ms（0.77秒地点・振幅14828＝本文の1.7倍／前240ms・後120ms の無音） || take3: 末尾に余計な音: 120ms の無音 → 220ms の音（2.16秒地点・振幅11414＝本文の1.4倍）	建屋は、切って埋めることになった。
c815-1	unsure	1	3	take1: 途中に浮いた音: 220ms（1.82秒地点・振幅21016＝本文の2.0倍／前180ms・後140ms の無音） || take2: 末尾に余計な音: 110ms の無音 → 240ms の音（3.52秒地点・振幅19125＝本文の1.9倍）; 途中に浮いた音: 240ms（1.72秒地点・振幅25787＝本文の2.5倍／前170ms・後150ms の無音） || take3: 途中に浮いた音: 230ms（3.63秒地点・振幅16959＝本文の1.8倍／前170ms・後140ms の無音）	運転階の床を落とし、入った割れ目から2つに割って、
c815-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 230ms の音（1.27秒地点・振幅26467＝本文の3.0倍） || take2: clean	ブルドーザで引きずった。
c816-2	unsure	1	3	take1: 末尾に余計な音: 140ms の無音 → 210ms の音（2.75秒地点・振幅7775＝本文の1.1倍） || take2: 末尾に余計な音: 130ms の無音 → 210ms の音（2.83秒地点・振幅8940＝本文の1.2倍）; 途中に浮いた音: 190ms（2.51秒地点・振幅24498＝本文の3.4倍／前120ms・後130ms の無音） || take3: 末尾に余計な音: 130ms の無音 → 160ms の音（2.72秒地点・振幅11152＝本文の1.3倍）; 途中に浮いた音: 190ms（2.40秒地点・振幅17219＝本文の2.1倍／前90ms・後130ms の無音）	そこに、新しい埋設地を掘ってあった。
c901-2	clean	3	3	take1: 末尾に余計な音: 230ms の無音 → 250ms の音（4.71秒地点・振幅10707＝本文の1.1倍） || take2: 末尾に余計な音: 220ms の無音 → 240ms の音（4.56秒地点・振幅12974＝本文の1.3倍） || take3: clean	これ以後、制御棒1本で臨界にできる炉は、禁じられた、と。
c904-1	clean	2	2	take1: 先頭に余計な音: 160ms の音（振幅20756＝本文の2.3倍）のあと 90ms の無音; 途中に浮いた音: 110ms（2.65秒地点・振幅20352＝本文の2.2倍／前190ms・後110ms の無音） || take2: clean	「1本の制御棒」という言葉は、1件も出てこない。
c904-2	clean	2	2	take1: 先頭に余計な音: 180ms の音（振幅27074＝本文の4.0倍）のあと 130ms の無音 || take2: clean	設計の規則は、そこには書かれていない。
c907-1	clean	2	2	take1: 途中に浮いた音: 250ms（2.55秒地点・振幅27245＝本文の3.1倍／前90ms・後190ms の無音） || take2: clean	だからここは「そう書いている本がある」までしか言えない。
c911-2	clean	2	2	take1: 途中に浮いた音: 240ms（1.54秒地点・振幅17013＝本文の2.0倍／前80ms・後100ms の無音） || take2: clean	どこで折り合わせるかは、設計者が決めるしかない、と。
c917-2	clean	2	2	take1: 途中に浮いた音: 120ms（0.80秒地点・振幅18501＝本文の2.1倍／前210ms・後110ms の無音） || take2: clean	どちらも「1本で臨界にならない」とは書いていない。近いが、別だ。
ep03-2	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 150ms の音（2.33秒地点・振幅11574＝本文の1.6倍） || take2: clean	ふつうの火災警報のはずだった
ep05-1	unsure	1	3	take1: 末尾に余計な音: 120ms の無音 → 160ms の音（2.95秒地点・振幅8205＝本文の0.9倍） || take2: 末尾に余計な音: 110ms の無音 → 170ms の音（3.11秒地点・振幅10973＝本文の1.0倍） || take3: 末尾に余計な音: 90ms の無音 → 240ms の音（2.80秒地点・振幅9064＝本文の0.9倍）	最初に動いたのは、6人の消防隊だった。
ep05-2	clean	2	2	take1: 末尾に余計な音: 140ms の無音 → 200ms の音（1.64秒地点・振幅9582＝本文の1.8倍） || take2: clean	火は、出ていなかった。
ep06-1	unsure	2	3	take1: 末尾に余計な音: 110ms の無音 → 240ms の音（4.20秒地点・振幅17232＝本文の1.9倍）; 途中に浮いた音: 240ms（2.49秒地点・振幅21753＝本文の2.3倍／前140ms・後280ms の無音） || take2: 末尾に余計な音: 130ms の無音 → 220ms の音（4.42秒地点・振幅16650＝本文の2.1倍） || take3: 末尾に余計な音: 160ms の無音 → 240ms の音（4.47秒地点・振幅11889＝本文の1.3倍）	1961年1月3日、午後9時1分。
c303-1	unsure	1	3	take1: 末尾に余計な音: 130ms の無音 → 160ms の音（2.96秒地点・振幅9299＝本文の1.1倍） || take2: 末尾に余計な音: 120ms の無音 → 190ms の音（3.01秒地点・振幅9390＝本文の0.9倍） || take3: 末尾に余計な音: 110ms の無音 → 220ms の音（3.06秒地点・振幅9265＝本文の1.2倍）	外から見えたものは、いつもどおりの蒸気だった。
c516-1	clean	2	2	take1: 途中に浮いた音: 220ms（2.19秒地点・振幅15201＝本文の2.2倍／前130ms・後570ms の無音） || take2: clean	救助にかかったのは、およそ8分。運転階に3分、構内に5分。
c813-1	clean	2	2	take1: 途中に浮いた音: 190ms（0.76秒地点・振幅11648＝本文の1.0倍／前170ms・後120ms の無音） || take2: clean	建屋は、切って埋めることになった。
c813-1	clean	3	3	take1: 途中に浮いた音: 190ms（0.77秒地点・振幅14267＝本文の1.5倍／前210ms・後100ms の無音） || take2: 末尾に余計な音: 170ms の無音 → 160ms の音（2.24秒地点・振幅7635＝本文の1.0倍） || take3: clean	建屋は、切って埋めることになった。
c813-1	clean	2	2	take1: 末尾に余計な音: 140ms の無音 → 190ms の音（2.24秒地点・振幅7272＝本文の1.1倍） || take2: clean	建屋は、切って埋めることになった。
c815-1	clean	2	2	take1: 末尾に余計な音: 150ms の無音 → 200ms の音（3.60秒地点・振幅18403＝本文の2.0倍） || take2: clean	運転階の床を落とし、入った割れ目から2つに割って、
c819-2	clean	2	2	take1: 途中に浮いた音: 160ms（2.00秒地点・振幅21877＝本文の2.5倍／前250ms・後80ms の無音） || take2: clean	放射能の量で、およそ600キュリー。
c819-2	clean	2	2	take1: 途中に浮いた音: 180ms（1.84秒地点・振幅21430＝本文の2.1倍／前120ms・後110ms の無音） || take2: clean	放射能の量で、およそ600キュリー。
pr11-2	clean	2	2	take1: 途中に浮いた音: 200ms（2.56秒地点・振幅23372＝本文の2.3倍／前120ms・後150ms の無音） || take2: clean	分かっていないことは、分かっていないと言って終わる。
c802-2	clean	2	2	take1: 途中に浮いた音: 250ms（4.05秒地点・振幅24743＝本文の2.9倍／前160ms・後190ms の無音） || take2: clean	運ぶ。分解する。たてやを切って埋める。残りを除染する。
c813-1	unsure	1	3	take1: 途中に浮いた音: 200ms（0.75秒地点・振幅12158＝本文の1.4倍／前90ms・後110ms の無音） || take2: 末尾に余計な音: 80ms の無音 → 240ms の音（2.21秒地点・振幅13847＝本文の1.7倍）; 途中に浮いた音: 210ms（0.85秒地点・振幅18679＝本文の2.3倍／前140ms・後110ms の無音） || take3: 末尾に余計な音: 110ms の無音 → 200ms の音（2.20秒地点・振幅8125＝本文の0.9倍）	たてやは、切って埋めることになった。
c813-1	unsure	2	3	take1: 末尾に余計な音: 170ms の無音 → 140ms の音（2.38秒地点・振幅14276＝本文の1.6倍）; 途中に浮いた音: 190ms（0.96秒地点・振幅16768＝本文の1.9倍／前180ms・後110ms の無音） || take2: 途中に浮いた音: 150ms（0.99秒地点・振幅11331＝本文の1.4倍／前230ms・後130ms の無音） || take3: 末尾に余計な音: 150ms の無音 → 240ms の音（2.44秒地点・振幅7005＝本文の0.9倍）; 途中に浮いた音: 200ms（1.00秒地点・振幅24235＝本文の3.3倍／前330ms・後140ms の無音）	たてやは、切って埋めることになった。
c511-1	clean	3	3	take1: 途中に浮いた音: 140ms（3.71秒地点・振幅16786＝本文の1.7倍／前100ms・後100ms の無音） || take2: 途中に浮いた音: 150ms（3.80秒地点・振幅14702＝本文の1.9倍／前100ms・後90ms の無音） || take3: clean	そこは、配電盤のそばで毎時500から600レントゲン。
c112-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 150ms の音（3.87秒地点・振幅10944＝本文の1.2倍） || take2: clean	板の側面には、ホウ素を含んだ帯が溶接してあった。
c205-2	clean	2	2	take1: 末尾に余計な音: 120ms の無音 → 150ms の音（3.95秒地点・振幅8062＝本文の1.1倍） || take2: clean	当直長になるには、そこからさらに6か月かかった。
c328-1	real	1	3	take1: 末尾に余計な音: 110ms の無音 → 200ms の音（5.65秒地点・振幅15320＝本文の1.8倍） || take2: 末尾に余計な音: 590ms の無音 → 220ms の音（6.18秒地点・振幅19535＝本文の2.2倍） || take3: 末尾に余計な音: 290ms の無音 → 220ms の音（6.02秒地点・振幅17704＝本文の2.0倍）	判読の結論は、ここで止まる。炉心が全体として乱れた、と。
c507-2	clean	3	3	take1: 途中に浮いた音: 230ms（1.25秒地点・振幅12381＝本文の1.2倍／前110ms・後1070ms の無音） || take2: 途中に浮いた音: 230ms（1.15秒地点・振幅12178＝本文の1.3倍／前100ms・後720ms の無音） || take3: clean	アイダホ支所へ移った。管理点が置かれ、測定が組み直される。
c816-2	unsure	1	3	take1: 末尾に余計な音: 170ms の無音 → 220ms の音（2.98秒地点・振幅6929＝本文の1.1倍）; 途中に浮いた音: 170ms（2.64秒地点・振幅17188＝本文の2.7倍／前120ms・後170ms の無音） || take2: 末尾に余計な音: 130ms の無音 → 150ms の音（2.57秒地点・振幅6608＝本文の1.0倍）; 途中に浮いた音: 180ms（2.26秒地点・振幅18756＝本文の2.9倍／前90ms・後130ms の無音） || take3: 末尾に余計な音: 150ms の無音 → 240ms の音（2.80秒地点・振幅6230＝本文の1.0倍）; 途中に浮いた音: 180ms（2.47秒地点・振幅14955＝本文の2.4倍／前90ms・後150ms の無音）	そこに、新しい埋設地を掘ってあった。
c112-2	clean	3	3	take1: 末尾に余計な音: 130ms の無音 → 140ms の音（3.94秒地点・振幅12928＝本文の1.5倍） || take2: 末尾に余計な音: 130ms の無音 → 220ms の音（3.97秒地点・振幅11869＝本文の1.4倍） || take3: clean	板の側面には、ほうそを含んだ帯が溶接してあった。
c602-2	clean	3	3	take1: 末尾に余計な音: 140ms の無音 → 210ms の音（3.59秒地点・振幅9892＝本文の1.0倍） || take2: 末尾に余計な音: 140ms の無音 → 180ms の音（3.34秒地点・振幅9016＝本文の1.0倍） || take3: clean	衣類を外しても、あたいは目に見えて下がらなかった。
c816-2	unsure	1	3	take1: 末尾に余計な音: 150ms の無音 → 190ms の音（2.85秒地点・振幅7605＝本文の1.0倍）; 途中に浮いた音: 220ms（2.48秒地点・振幅20845＝本文の2.8倍／前120ms・後150ms の無音） || take2: 末尾に余計な音: 90ms の無音 → 230ms の音（2.80秒地点・振幅6338＝本文の0.9倍）; 途中に浮いた音: 200ms（2.51秒地点・振幅18876＝本文の2.7倍／前100ms・後90ms の無音） || take3: 末尾に余計な音: 140ms の無音 → 180ms の音（3.02秒地点・振幅11049＝本文の1.4倍）; 途中に浮いた音: 200ms（2.68秒地点・振幅14906＝本文の1.8倍／前120ms・後140ms の無音）	そこに、新しいまいせつちを掘ってあった。
c112-2	clean	2	2	take1: 末尾に余計な音: 130ms の無音 → 250ms の音（3.88秒地点・振幅10336＝本文の1.2倍） || take2: clean	板の側面には、ほうそを含んだ帯が溶接してあった。
c602-2	clean	3	3	take1: 末尾に余計な音: 110ms の無音 → 190ms の音（3.14秒地点・振幅8549＝本文の0.9倍） || take2: 末尾に余計な音: 150ms の無音 → 140ms の音（3.48秒地点・振幅14734＝本文の1.6倍） || take3: clean	衣類を外しても、あたいは目に見えて下がらなかった。
