行	型	該当	本文
pr08-3	数詞＋助数詞	5年	事故から5年後である。ただし、最終的な報告書は、いまも出ていない。
pr10-1	同形異音語（一般）	表	公表されたのは、技術的な知見と呼ばれる、途中の結論だけである。
c101-1	同形異音語（一般）	物	先に、建物の形を見ておく。NIST が作った模型に、
c101-1	§6-1の語	NIST	先に、建物の形を見ておく。NIST が作った模型に、
c101-1	英字・記号	NIST	先に、建物の形を見ておく。NIST が作った模型に、
c101-2	小数	33.8	寸法が書き込まれている。12階建て、高さは33.8メートル。
c101-2	数詞＋助数詞	12階	寸法が書き込まれている。12階建て、高さは33.8メートル。
c101-2	数詞＋助数詞	8メートル	寸法が書き込まれている。12階建て、高さは33.8メートル。
c102-1	小数	45.7	平面はL字の形で、辺の長さは45.7メートルと、61メートル。
c102-1	数詞＋助数詞	7メートル	平面はL字の形で、辺の長さは45.7メートルと、61メートル。
c102-1	数詞＋助数詞	61メートル	平面はL字の形で、辺の長さは45.7メートルと、61メートル。
c102-1	英字・記号	L	平面はL字の形で、辺の長さは45.7メートルと、61メートル。
c102-2	数詞＋助数詞	1981年	竣工したのは1981年で、崩れたのは、その40年後にあたる。
c102-2	数詞＋助数詞	40年	竣工したのは1981年で、崩れたのは、その40年後にあたる。
c103-1	同形異音語（一般）	物	ここで覚えておいてほしいのは、建物そのものではない。
c103-2	同形異音語（実績）	側	建物の南側に広がる、平らな床のほうである。
c103-2	同形異音語（一般）	物	建物の南側に広がる、平らな床のほうである。
c104-2	同形異音語（一般）	上	あの平らな面は、地面の上に載っていたのではなかった。
c105-1	同形異音語（一般）	下	下は、地下駐車場である。プールサイドを歩く人の足の下は、
c105-1	同形異音語（一般）	人	下は、地下駐車場である。プールサイドを歩く人の足の下は、
c105-1	同形異音語（一般）	下	下は、地下駐車場である。プールサイドを歩く人の足の下は、
c105-2	同形異音語（実績）	間	コンクリートの板を一枚はさんで、車の停まっている空間だった。
c106-3	同形異音語（実績）	方	ごくふつうのやり方である。
c107-1	同形異音語（一般）	下	平らな床と、その下の駐車場と、住んでいた建物本体。
c107-2	数詞＋助数詞	3つ	この3つがどうつながっていたかが、これから起きることの全部になる。
c108-1	同形異音語（実績）	話	話を、2021年の5月の終わりごろに戻す。
c108-1	数詞＋助数詞	2021年	話を、2021年の5月の終わりごろに戻す。
c108-1	数詞＋助数詞	5月	話を、2021年の5月の終わりごろに戻す。
c109-1	同形異音語（実績）	側	プールデッキと、街路側の駐車場のあいだには、門があった。
c109-1	§6-1の語	プールデッキ	プールデッキと、街路側の駐車場のあいだには、門があった。
c109-2	同形異音語（実績）	話	NIST は、その門を、目撃した人の話から描き起こしている。
c109-2	同形異音語（一般）	人	NIST は、その門を、目撃した人の話から描き起こしている。
c109-2	§6-1の語	NIST	NIST は、その門を、目撃した人の話から描き起こしている。
c109-2	英字・記号	NIST	NIST は、その門を、目撃した人の話から描き起こしている。
c110-1	文頭の数字	1	1か月前の状態には、こう書かれている。
c110-1	数詞＋助数詞	1か月	1か月前の状態には、こう書かれている。
c110-2	同形異音語（一般）	目	見た目も、位置合わせも、正常。ふつうに開いて、ふつうに閉まる門である。
c111-1	数詞＋助数詞	3週間	次の段は、3週間前。日付でいうと、6月のはじめごろにあたる。
c111-1	数詞＋助数詞	6月	次の段は、3週間前。日付でいうと、6月のはじめごろにあたる。
c112-1	同形異音語（一般）	下	下にずれた量は、2分の1インチに満たないと書かれている。
c112-1	数詞＋助数詞	2分	下にずれた量は、2分の1インチに満たないと書かれている。
c112-1	数詞＋助数詞	1インチ	下にずれた量は、2分の1インチに満たないと書かれている。
c112-2	小数	1.2	センチに直すと、1.2センチほど。それだけのずれで、
c112-2	数詞＋助数詞	2センチ	センチに直すと、1.2センチほど。それだけのずれで、
c113-1	同形異音語（実績）	間	扉というのは、枠との隙間が数ミリで作られている。
c113-2	同形異音語（実績）	側	支えている側が1センチ下がれば、それだけで動かなくなる。
c113-2	同形異音語（一般）	下	支えている側が1センチ下がれば、それだけで動かなくなる。
c113-2	数詞＋助数詞	1センチ	支えている側が1センチ下がれば、それだけで動かなくなる。
c114-1	小数	1.2	逆にいえば、1.2センチは、人が見て気づく量ではない。
c114-1	同形異音語（一般）	人	逆にいえば、1.2センチは、人が見て気づく量ではない。
c114-1	数詞＋助数詞	2センチ	逆にいえば、1.2センチは、人が見て気づく量ではない。
c114-2	同形異音語（一般）	人	気づけるのは、人ではなく、扉のほうだった。
c115-2	§6-1の語	プールデッキ	プールデッキに置かれていた、プランターの傷みである。
c116-1	小数	13.1	場所は、Kと13.1という記号で呼ばれる柱のそば。
c116-1	§6-1の語	K	場所は、Kと13.1という記号で呼ばれる柱のそば。
c116-1	英字・記号	K	場所は、Kと13.1という記号で呼ばれる柱のそば。
c117-1	文頭の数字	3	3週間前の時点として、NIST がまとめに挙げているのは、この2つである。
c117-1	数詞＋助数詞	3週間	3週間前の時点として、NIST がまとめに挙げているのは、この2つである。
c117-1	数詞＋助数詞	2つ	3週間前の時点として、NIST がまとめに挙げているのは、この2つである。
c117-1	§6-1の語	NIST	3週間前の時点として、NIST がまとめに挙げているのは、この2つである。
c117-1	英字・記号	NIST	3週間前の時点として、NIST がまとめに挙げているのは、この2つである。
c118-1	同形異音語（一般）	物	どちらも、建物が壊れかけている印には見えない。
c118-2	同形異音語（実績）	話	業者を呼んで直せば済む話に見える。
c119-2	§6-1の語	NIST	直したあとの様子まで、NIST の記録に残っている。
c119-2	英字・記号	NIST	直したあとの様子まで、NIST の記録に残っている。
c120-1	同形異音語（一般）	日	そして1週間前。6月17日ごろのことである。
c120-1	数詞＋助数詞	1週間	そして1週間前。6月17日ごろのことである。
c120-1	数詞＋助数詞	6月	そして1週間前。6月17日ごろのことである。
c120-1	数詞＋助数詞	17日	そして1週間前。6月17日ごろのことである。
c121-1	同形異音語（一般）	目	NIST の描き起こしには、3段目がある。
c121-1	数詞＋助数詞	3段	NIST の描き起こしには、3段目がある。
c121-1	§6-1の語	NIST	NIST の描き起こしには、3段目がある。
c121-1	英字・記号	NIST	NIST の描き起こしには、3段目がある。
c121-2	同形異音語（一般）	下	門の脇に描かれた矢印が、また下を向いている。
c122-1	数詞＋助数詞	2分	ずれた量は、2分の1インチ足らずから、およそ1インチへ。
c122-1	数詞＋助数詞	1インチ	ずれた量は、2分の1インチ足らずから、およそ1インチへ。
c122-1	数詞＋助数詞	1インチ	ずれた量は、2分の1インチ足らずから、およそ1インチへ。
c122-2	文頭の数字	1	1.2センチだったものが、2.5センチになっている。
c122-2	小数	1.2	1.2センチだったものが、2.5センチになっている。
c122-2	小数	2.5	1.2センチだったものが、2.5センチになっている。
c122-2	数詞＋助数詞	2センチ	1.2センチだったものが、2.5センチになっている。
c122-2	数詞＋助数詞	5センチ	1.2センチだったものが、2.5センチになっている。
c123-1	文頭の数字	2	2週間で、倍である。
c123-1	同形異音語（実績）	間	2週間で、倍である。
c123-1	数詞＋助数詞	2週間	2週間で、倍である。
c123-2	小数	2.5	しかもこの2.5センチは、いちど直したあとに測られた数字だった。
c123-2	数詞＋助数詞	5センチ	しかもこの2.5センチは、いちど直したあとに測られた数字だった。
c124-2	同形異音語（一般）	下	門を載せている床のほうが、下がり続けていた。
c125-1	同形異音語（一般）	下	直せば、いったんは戻る。戻ったあと、また下がる。
c125-2	同形異音語（一般）	下	下がっていく速さのほうが、直す速さより速かった。
c126-1	同形異音語（一般）	目	NIST が3段目に書き添えた言葉は、ひとことだけである。
c126-1	数詞＋助数詞	3段	NIST が3段目に書き添えた言葉は、ひとことだけである。
c126-1	§6-1の語	NIST	NIST が3段目に書き添えた言葉は、ひとことだけである。
c126-1	英字・記号	NIST	NIST が3段目に書き添えた言葉は、ひとことだけである。
c126-2	数詞＋助数詞	1インチ	修理のあと、約1インチ沈んだ
c127-1	数詞＋助数詞	1週間	この1週間前には、駐車場のなかでも、あることが見られている。
c127-2	同形異音語（実績）	間	建物の下、車が停まっている、あの空間である。
c127-2	同形異音語（一般）	物	建物の下、車が停まっている、あの空間である。
c127-2	同形異音語（一般）	下	建物の下、車が停まっている、あの空間である。
c129-1	同形異音語（一般）	上	水は、柱に沿って、上から下へ流れていた。
c129-1	同形異音語（一般）	下	水は、柱に沿って、上から下へ流れていた。
c129-2	同形異音語（実績）	方	柱を伝って落ちてくる、という見え方である。
c130-1	同形異音語（一般）	目	水が柱を伝うということは、天井と柱のつなぎ目に、
c130-2	同形異音語（実績）	間	水の通る隙間が開いている、ということでもある。
c131-1	数詞＋助数詞	1週間	NIST は、1週間前に見えていたことを、こう要約している。
c131-1	§6-1の語	NIST	NIST は、1週間前に見えていたことを、こう要約している。
c131-1	英字・記号	NIST	NIST は、1週間前に見えていたことを、こう要約している。
c201-1	同形異音語（実績）	方	ここから、NIST の数え方が変わる。
c201-1	§6-1の語	NIST	ここから、NIST の数え方が変わる。
c201-1	英字・記号	NIST	ここから、NIST の数え方が変わる。
c201-2	同形異音語（実績）	間	それまで週の単位だったものが、時間の単位になる。
c202-1	数詞＋助数詞	17時	次に記録が残っているのは、17時間前。
c202-2	文頭の数字	2	2021年6月23日の、朝である。崩落した日の、前の日にあたる。
c202-2	同形異音語（一般）	日	2021年6月23日の、朝である。崩落した日の、前の日にあたる。
c202-2	同形異音語（一般）	日	2021年6月23日の、朝である。崩落した日の、前の日にあたる。
c202-2	同形異音語（一般）	日	2021年6月23日の、朝である。崩落した日の、前の日にあたる。
c202-2	数詞＋助数詞	2021年	2021年6月23日の、朝である。崩落した日の、前の日にあたる。
c202-2	数詞＋助数詞	6月	2021年6月23日の、朝である。崩落した日の、前の日にあたる。
c202-2	数詞＋助数詞	23日	2021年6月23日の、朝である。崩落した日の、前の日にあたる。
c203-1	同形異音語（一般）	上	場所は、プールデッキの床の上。
c203-1	§6-1の語	プールデッキ	場所は、プールデッキの床の上。
c203-2	同形異音語（一般）	人	人がふつうに歩く、タイル張りの面のほうである。
c204-1	同形異音語（一般）	日	この日の朝、そこを歩いた人がいた。
c204-1	同形異音語（一般）	人	この日の朝、そこを歩いた人がいた。
c205-1	同形異音語（実績）	話	NIST は、その人から直接、話を聞いている。
c205-1	同形異音語（一般）	人	NIST は、その人から直接、話を聞いている。
c205-1	§6-1の語	NIST	NIST は、その人から直接、話を聞いている。
c205-1	英字・記号	NIST	NIST は、その人から直接、話を聞いている。
c206-2	同形異音語（実績）	話	話しながら、その場で紙に書かれた、走り書きのほうである。
c207-1	小数	13.1	書き込まれている場所は、13.1とKの交わるあたり。
c207-1	§6-1の語	K	書き込まれている場所は、13.1とKの交わるあたり。
c207-1	英字・記号	K	書き込まれている場所は、13.1とKの交わるあたり。
c207-2	文頭の数字	3	3週間前にプランターが割れていた、あの近くである。
c207-2	数詞＋助数詞	3週間	3週間前にプランターが割れていた、あの近くである。
c208-1	文頭の数字	3	3週間前に異変が見えたところと、ほとんど同じ場所だった。
c208-1	数詞＋助数詞	3週間	3週間前に異変が見えたところと、ほとんど同じ場所だった。
c208-2	同形異音語（実績）	間	同じ一点が、3週間、動き続けていたことになる。
c208-2	数詞＋助数詞	3週間	同じ一点が、3週間、動き続けていたことになる。
c209-2	§6-1の語	プールデッキ	プールデッキの排水口と、プランターの排水口である。
c210-2	同形異音語（実績）	話	聞き取りの図に描き込まれるくらい、水は話に出ていた。
c211-2	文頭の数字	6	6月23日の朝、と書いてある。
c211-2	同形異音語（一般）	日	6月23日の朝、と書いてある。
c211-2	数詞＋助数詞	6月	6月23日の朝、と書いてある。
c211-2	数詞＋助数詞	23日	6月23日の朝、と書いてある。
c213-1	1モーラ語＋助詞	気が	気がついたのは、ひび割れではない。
c214-1	同形異音語（実績）	間	隙間だった。しかも、その幅まで書き込まれている。
c214-2	同形異音語（実績）	間	床に、4インチの隙間
c214-2	数詞＋助数詞	4インチ	床に、4インチの隙間
c215-1	文頭の数字	4	4インチは、およそ10センチである。
c215-1	数詞＋助数詞	4インチ	4インチは、およそ10センチである。
c215-1	数詞＋助数詞	10センチ	4インチは、およそ10センチである。
c216-1	同形異音語（実績）	話	床が割れていた、という話ではない。
c216-2	数詞＋助数詞	10センチ	床が、10センチぶん、離れていたということである。
c217-1	同形異音語（実績）	間	この時点で、崩落までは、まだ17時間ある。
c217-1	数詞＋助数詞	17時	この時点で、崩落までは、まだ17時間ある。
c218-1	数詞＋助数詞	9時	次に記録が残るのは、9時間前である。
c218-2	文頭の数字	6	6月23日の、夕方から夜にかけてのあたり。
c218-2	同形異音語（実績）	方	6月23日の、夕方から夜にかけてのあたり。
c218-2	同形異音語（一般）	日	6月23日の、夕方から夜にかけてのあたり。
c218-2	数詞＋助数詞	6月	6月23日の、夕方から夜にかけてのあたり。
c218-2	数詞＋助数詞	23日	6月23日の、夕方から夜にかけてのあたり。
c219-1	同形異音語（一般）	上	ここで、場所が変わる。プールデッキの上ではない。
c219-1	§6-1の語	プールデッキ	ここで、場所が変わる。プールデッキの上ではない。
c219-2	同形異音語（一般）	下	その下、車が停まっている駐車場のなかである。
c221-1	同形異音語（一般）	上	その図の上に、付箋のような書き込みがある。
c222-2	同形異音語（実績）	話	それだけなら、めずらしい話ではない。
c223-1	同形異音語（一般）	下	地下の駐車場で水が漏れるのは、よくあることである。
c223-2	同形異音語（一般）	上	上にプールがあり、配管も通っていれば、なおさらである。
c224-1	同形異音語（一般）	人	だからその人は、わざわざ否定を書き足している。
c225-1	数詞＋助数詞	4分	そして、割れの深さまで書いてある。4分の1インチ。
c225-1	数詞＋助数詞	1インチ	そして、割れの深さまで書いてある。4分の1インチ。
c226-1	文頭の数字	4	4分の1インチは、およそ6ミリである。
c226-1	数詞＋助数詞	4分	4分の1インチは、およそ6ミリである。
c226-1	数詞＋助数詞	1インチ	4分の1インチは、およそ6ミリである。
c226-1	数詞＋助数詞	6ミリ	4分の1インチは、およそ6ミリである。
c226-2	同形異音語（実績）	側	天井、つまりプールデッキの裏側に、6ミリの深さの割れがあった。
c226-2	数詞＋助数詞	6ミリ	天井、つまりプールデッキの裏側に、6ミリの深さの割れがあった。
c226-2	§6-1の語	プールデッキ	天井、つまりプールデッキの裏側に、6ミリの深さの割れがあった。
c227-1	数詞＋助数詞	3時	記録は、3時間前にも残っている。
c227-2	文頭の数字	6	6月23日の、夜10時すぎにあたる。日付が変わる前である。
c227-2	同形異音語（一般）	日	6月23日の、夜10時すぎにあたる。日付が変わる前である。
c227-2	数詞＋助数詞	6月	6月23日の、夜10時すぎにあたる。日付が変わる前である。
c227-2	数詞＋助数詞	23日	6月23日の、夜10時すぎにあたる。日付が変わる前である。
c227-2	数詞＋助数詞	10時	6月23日の、夜10時すぎにあたる。日付が変わる前である。
c228-1	§6-1の語	NIST	そしてここから、NIST の刻みは、さらに細かくなる。
c228-1	英字・記号	NIST	そしてここから、NIST の刻みは、さらに細かくなる。
c228-2	文頭の数字	9	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。
c228-2	数詞＋助数詞	9分	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。
c228-2	数詞＋助数詞	6分	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。
c228-2	数詞＋助数詞	7分	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。
c228-2	数詞＋助数詞	5分	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。
c228-2	数詞＋助数詞	6分	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。
c228-2	数詞＋助数詞	4分	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。
c228-2	数詞＋助数詞	5分	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。
c229-1	文頭の数字	9	9分前の駐車場のなかは、模型に起こされている。
c229-1	数詞＋助数詞	9分	9分前の駐車場のなかは、模型に起こされている。
c230-1	文頭の数字	6	6分から7分前になると、図の中身が変わる。
c230-1	数詞＋助数詞	6分	6分から7分前になると、図の中身が変わる。
c230-1	数詞＋助数詞	7分	6分から7分前になると、図の中身が変わる。
c301-1	同形異音語（実績）	方	ここまで見てきた沈み方には、名前が付いている。
c301-2	§6-1の語	パンチング	パンチング・シア破壊という。
c302-1	§6-1の語	押し抜き	日本語では、押し抜きせん断と呼ばれる。
c302-2	同形異音語（一般）	目	起きる場所は、柱と、床の板とのつなぎ目である。
c304-1	同形異音語（一般）	上	スラブは、柱の上に置かれているのではない。
c305-1	同形異音語（一般）	上	そのスラブの上に、重さが載る。
c305-2	同形異音語（一般）	人	歩く人、停まっている車、敷かれた土、舗装、植木。
c306-1	同形異音語（一般）	下	載った重さを、柱が下から受け止める。
c306-2	同形異音語（一般）	物	ここまでは、どんな建物の床でも同じである。
c309-1	同形異音語（実績）	方	切れ方には、決まった形がある。
c311-2	§6-1の語	押し抜き	だから、押し抜き、という名前が付いている。
c312-1	同形異音語（実績）	方	この壊れ方には、やっかいな性質がある。
c314-1	§6-1の語	押し抜き	押し抜きは、たわみが小さいまま、いきなり割れる。
c315-1	同形異音語（実績）	方	NIST は、この壊れ方を動く図にして公開している。
c315-1	§6-1の語	NIST	NIST は、この壊れ方を動く図にして公開している。
c315-1	英字・記号	NIST	NIST は、この壊れ方を動く図にして公開している。
c316-2	同形異音語（一般）	下	場所は、プールデッキの下だった。
c316-2	§6-1の語	プールデッキ	場所は、プールデッキの下だった。
c317-1	数詞＋助数詞	2本	起きた柱の数は、2本。
c317-2	数詞＋助数詞	2本	何十本と立っている柱のうちの、たった2本である。
c318-1	§6-1の語	NIST	そして NIST は、それが起きた時期を、崩落の夜には置いていない。
c318-1	英字・記号	NIST	そして NIST は、それが起きた時期を、崩落の夜には置いていない。
c318-2	文頭の数字	6	6月初旬に、2本の柱で起きた
c318-2	数詞＋助数詞	6月	6月初旬に、2本の柱で起きた
c318-2	数詞＋助数詞	2本	6月初旬に、2本の柱で起きた
c319-1	文頭の数字	6	6月のはじめ。ちょうど、あの門が動かなくなったころである。
c319-1	数詞＋助数詞	6月	6月のはじめ。ちょうど、あの門が動かなくなったころである。
c319-2	同形異音語（実績）	間	そこから崩落までは、およそ3週間ある。
c319-2	数詞＋助数詞	3週間	そこから崩落までは、およそ3週間ある。
c320-1	同形異音語（一般）	物	つまりこの建物は、床と柱のつなぎ目を2か所失ったまま、
c320-1	同形異音語（一般）	目	つまりこの建物は、床と柱のつなぎ目を2か所失ったまま、
c320-2	文頭の数字	3	3週間、立ち続けていたことになる。
c320-2	同形異音語（実績）	間	3週間、立ち続けていたことになる。
c320-2	数詞＋助数詞	3週間	3週間、立ち続けていたことになる。
c321-2	同形異音語（実績）	方	NIST は、この壊れ方を、実物と同じ大きさで作り直している。
c321-2	同形異音語（一般）	物	NIST は、この壊れ方を、実物と同じ大きさで作り直している。
c321-2	§6-1の語	NIST	NIST は、この壊れ方を、実物と同じ大きさで作り直している。
c321-2	英字・記号	NIST	NIST は、この壊れ方を、実物と同じ大きさで作り直している。
c322-2	同形異音語（一般）	物	崩れた建物の柱と梁と床を、同じ寸法、同じ配筋で作った。
c323-1	同形異音語（実績）	方	小さな模型では、この壊れ方は正しく出ない。
c323-2	同形異音語（実績）	方	コンクリートの割れ方は、寸法が変わると変わってしまう。
c324-1	同形異音語（一般）	上	板の上には格子が引かれ、計測器がびっしりと並ぶ。
c325-2	同形異音語（一般）	物	現場から抜いた実物を試験して、強さを合わせてある。
c328-2	同形異音語（実績）	側	ひびは、板の裏側を回り込むようにして伸びていく。
c329-1	同形異音語（一般）	上	このとき、板の上の面は、まだほとんど平らなままである。
c329-2	同形異音語（一般）	上	上から見ているかぎり、何が起きているかは分からない。
c330-1	同形異音語（実績）	側	壊れていくのは、いつも板の下側である。
c330-2	同形異音語（一般）	人	プールサイドを歩いている人からは、絶対に見えない。
c331-2	同形異音語（一般）	下	板と梁が、柱を残したまま、下へ落ちていく。
c334-1	同形異音語（実績）	間	実際にかかった時間は、これよりずっと短い。
c334-2	小数	6.8	もとの映像は、全部で6.8秒しかない。
c334-2	数詞＋助数詞	8秒	もとの映像は、全部で6.8秒しかない。
c335-1	同形異音語（一般）	物	実物と同じ大きさで作り直しても、同じように壊れた。
c336-2	数詞＋助数詞	2本	残っているのは、なぜ、その2本だったのか、である。
c401-1	同形異音語（一般）	目	NIST は、つなぎ目が壊れた理由として、5つを挙げている。
c401-1	数詞＋助数詞	5つ	NIST は、つなぎ目が壊れた理由として、5つを挙げている。
c401-1	§6-1の語	NIST	NIST は、つなぎ目が壊れた理由として、5つを挙げている。
c401-1	英字・記号	NIST	NIST は、つなぎ目が壊れた理由として、5つを挙げている。
c401-2	数詞＋助数詞	5つ	ただし、その5つを、同じ重さでは扱っていない。
c402-1	同形異音語（一般）	下	図をよく見ると、下に括弧が引いてある。
c402-2	数詞＋助数詞	5つ	括弧に入っているのは、5つのうち、左の2つだけである。
c402-2	数詞＋助数詞	2つ	括弧に入っているのは、5つのうち、左の2つだけである。
c404-1	§6-1の語	NIST	NIST は、この調査の問いを、こう立てている。
c404-1	英字・記号	NIST	NIST は、この調査の問いを、こう立てている。
c404-2	同形異音語（一般）	日	なぜ、建てて40年たったその日に、崩れたのか。
c404-2	数詞＋助数詞	40年	なぜ、建てて40年たったその日に、崩れたのか。
c405-1	同形異音語（実績）	方	その答えの片方が、この図である。
c405-2	同形異音語（実績）	側	プールデッキと、街路側の駐車場の、床を上から見た地図。
c405-2	同形異音語（一般）	上	プールデッキと、街路側の駐車場の、床を上から見た地図。
c405-2	§6-1の語	プールデッキ	プールデッキと、街路側の駐車場の、床を上から見た地図。
c408-1	同形異音語（一般）	目	弱いつなぎ目が、たまたまひとつあったのではない。
c409-1	同形異音語（一般）	物	ここからは、計算ではなく実物である。
c410-1	同形異音語（一般）	上	黄色い線が、2本引かれている。上の線が、図面どおりなら
c410-1	数詞＋助数詞	2本	黄色い線が、2本引かれている。上の線が、図面どおりなら
c410-2	同形異音語（一般）	下	鉄筋があるはずの深さ。下の線が、実際に鉄筋のあった深さである。
c411-1	同形異音語（一般）	上	鉄筋の上に載っているコンクリートの厚みを、かぶりという。
c411-1	§6-1の語	かぶり	鉄筋の上に載っているコンクリートの厚みを、かぶりという。
c412-1	同形異音語（一般）	物	このかぶりが、図面に書かれた値と、実物とで違っていた。
c412-1	§6-1の語	かぶり	このかぶりが、図面に書かれた値と、実物とで違っていた。
c412-2	同形異音語（一般）	物	図面は¾インチ、実物は2インチ
c412-2	数詞＋助数詞	2インチ	図面は¾インチ、実物は2インチ
c412-2	§6-1の語	¾	図面は¾インチ、実物は2インチ
c412-2	英字・記号	¾	図面は¾インチ、実物は2インチ
c413-1	文頭の数字	4	4分の3インチは、約1.9センチ。2インチは、約5.1センチ。
c413-1	小数	1.9	4分の3インチは、約1.9センチ。2インチは、約5.1センチ。
c413-1	小数	5.1	4分の3インチは、約1.9センチ。2インチは、約5.1センチ。
c413-1	数詞＋助数詞	4分	4分の3インチは、約1.9センチ。2インチは、約5.1センチ。
c413-1	数詞＋助数詞	3インチ	4分の3インチは、約1.9センチ。2インチは、約5.1センチ。
c413-1	数詞＋助数詞	9センチ	4分の3インチは、約1.9センチ。2インチは、約5.1センチ。
c413-1	数詞＋助数詞	2インチ	4分の3インチは、約1.9センチ。2インチは、約5.1センチ。
c413-1	数詞＋助数詞	1センチ	4分の3インチは、約1.9センチ。2インチは、約5.1センチ。
c413-2	文頭の数字	3	3.2センチ、実物のほうが厚かったことになる。
c413-2	小数	3.2	3.2センチ、実物のほうが厚かったことになる。
c413-2	同形異音語（一般）	物	3.2センチ、実物のほうが厚かったことになる。
c413-2	数詞＋助数詞	2センチ	3.2センチ、実物のほうが厚かったことになる。
c414-1	§6-1の語	かぶり	かぶりが厚いというのは、一見、悪いことに思えない。
c415-1	§6-1の語	押し抜き	ところが、押し抜きに対しては、逆に働いてしまう。
c415-2	同形異音語（一般）	下	かぶりが厚いぶんだけ、鉄筋が下に押し下げられるからである。
c415-2	同形異音語（一般）	下	かぶりが厚いぶんだけ、鉄筋が下に押し下げられるからである。
c415-2	§6-1の語	かぶり	かぶりが厚いぶんだけ、鉄筋が下に押し下げられるからである。
c416-2	同形異音語（一般）	上	上の鉄筋が下がったぶん、鉄筋から板の下面までの距離が縮む。
