場面	一致率	送った文	聞こえた文	送信文
c105-1	1.000	下は、地下駐車場である。プールサイドを歩く人の足の下は、	下は地下駐車場である。プールサイドを歩く人の足の下は	下は、地下駐車場である。プールサイドを歩く人の足の下は、
c105-2	0.909	コンクリートの板を一枚はさんで、車の停まっている空間だった。	コンクリートの板を一枚挟んで車の止まっている空間だった	コンクリートの板を一枚はさんで、車の停まっている空間だった。
c106-1	0.800	このつくり自体は、めずらしいものではない。	この作り自体は珍しいものではない。	このつくり自体は、めずらしいものではない。
c106-2	1.000	土地の狭い海沿いでは、駐車場の屋根を庭として使うのは、	土地の狭い海沿いでは、駐車場の屋根を庭として使うのは	土地の狭い海沿いでは、駐車場の屋根を庭として使うのは、
c106-3	0.783	ごくふつうのやり方である。	ごく普通のやり方である。	ごくふつうのやり方である。
c107-1	1.000	平らな床と、その下の駐車場と、住んでいた建物本体。	平らな床とその下の駐車場と住んでいた建物本体	平らなゆかと、その下の駐車場と、住んでいた建物本体。
c107-2	1.000	この3つがどうつながっていたかが、これから起きることの全部になる。	この三つがどうつながっていたかが、これから起きることの全部になる。	この3つがどうつながっていたかが、これから起きることの全部になる。
c108-1	0.919	話を、2021年の5月の終わりごろに戻す。	話を2021年の5月の終わり頃に戻す。	話を、2021年の5月の終わりごろに戻す。
c108-2	0.897	このときは、まだ何も起きていない。	この時はまだ何も起きていない	このときは、まだ何も起きていない。
c109-1	0.917	プールデッキと、街路側の駐車場のあいだには、門があった。	プールデッキと街路側の駐車場の間には門があった	プールデッキと、街路側の駐車場のあいだには、門があった。
c109-2	0.863	NIST は、その門を、目撃した人の話から描き起こしている。	ニストはその門を目撃した人の話から描き起こしている	ニスト は、その門を、目撃した人の話から描き起こしている。
c110-1	0.941	1か月前の状態には、こう書かれている。	一ヶ月前の状態にはこう書かれている	1か月前の状態には、こう書かれている。
c110-2	0.828	見た目も、位置合わせも、正常。ふつうに開いて、ふつうに閉まる門である。	見た目も位置合わせも正常。普通に開いて普通に閉まる門である。	見た目も、位置合わせも、正常。ふつうに開いて、ふつうに閉まる門である。
c111-1	0.880	次の段は、3週間前。日付でいうと、6月のはじめごろにあたる。	次の段は三週間前、日付でいうと六月の初め頃にあたる	次の段は、3週間前。日付でいうと、6月のはじめごろにあたる。
c111-2	0.824	同じ門が、こうなる。	同じもんがこうなる。	同じ門が、こうなる。
c112-1	1.000	下にずれた量は、2分の1インチに満たないと書かれている。	下にずれた量は二分の一インチに満たないと書かれている	下にずれた量は、2分の1インチに満たないと書かれている。
c112-2	0.978	センチに直すと、1.2センチほど。それだけのずれで、	センチに直すと一点二センチほど。それだけのずれで	センチに直すと、いってんにセンチほど。それだけのずれで、
c112-3	1.000	門が開かなくなった	門が開かなくなった。	門が開かなくなった
c113-1	1.000	扉というのは、枠との隙間が数ミリで作られている。	扉というのは枠との隙間が数ミリで作られている	扉というのは、枠との隙間が数ミリで作られている。
c113-2	1.000	支えている側が1センチ下がれば、それだけで動かなくなる。	支えている側が一センチ下がればそれだけで動かなくなる。	支えている側が1センチ下がれば、それだけで動かなくなる。
c114-1	0.936	逆にいえば、1.2センチは、人が見て気づく量ではない。	逆に言えば、一点二センチは人が見て気づく量ではない。	逆にいえば、いってんにセンチは、人が見て気づく量ではない。
c114-2	0.914	気づけるのは、人ではなく、扉のほうだった。	気づけるのは人ではなく扉の方だった。	気づけるのは、人ではなく、扉のほうだった。
c115-1	0.850	このとき、もうひとつ見つかっていたものがある。	この時もう一つ見つかっていたものがある。	このとき、もうひとつ見つかっていたものがある。
c115-2	1.000	プールデッキに置かれていた、プランターの傷みである。	プールデッキに置かれていたプランターの傷みである。	プールデッキに置かれていた、プランターの傷みである。
c116-1	1.000	場所は、Kと13.1という記号で呼ばれる柱のそば。	場所はKと13.1という記号で呼ばれる柱のそば。	場所は、Kと13.1という記号で呼ばれる柱のそば。
c116-2	0.947	記号のまま呼ぶのは、この柱が、あとでもう一度出てくるからである。	記号のまま呼ぶのは、この柱が後でもう一度出てくるからである。	記号のまま呼ぶのは、この柱が、あとでもう一度出てくるからである。
c117-1	1.000	3週間前の時点として、NIST がまとめに挙げているのは、この2つである。	三週間前の時点として、NISTがまとめに挙げているのはこの二つである。	3週間前の時点として、ニスト がまとめに挙げているのは、この2つである。
c117-2	1.000	ひび割れたプランターと、開かなくなった門である。	ひび割れたプランターと開かなくなった門である。	ひび割れたプランターと、開かなくなった門である。
c118-1	1.000	どちらも、建物が壊れかけている印には見えない。	どちらも建物が壊れかけている印には見えない。	どちらも、建物が壊れかけている印には見えない。
c118-2	1.000	業者を呼んで直せば済む話に見える。	業者を呼んで直せば済む話に見える。	業者を呼んで直せば済む話に見える。
c119-1	1.000	実際、そう受け取られた。門は直された。	実際そう受け取られた。門は直された	実際、そう受け取られた。門は直された。
c119-2	0.933	直したあとの様子まで、NIST の記録に残っている。	直した後の様子までNISTの記録に残っている。	直したあとの様子まで、ニスト の記録に残っている。
c120-1	0.895	そして1週間前。6月17日ごろのことである。	そして一週間前、六月十七日頃のことである。	そして1週間前。6月17日ごろのことである。
c120-2	1.000	直したはずのその門を、もう一度、見ることになる。	直したはずのその門をもう一度見ることになる。	直したはずのその門を、もう一度、見ることになる。
c121-1	0.800	NIST の描き起こしには、3段目がある。	ニストの描き起こしには三段目がある。	ニスト の描き起こしには、3段目がある。
c121-2	1.000	門の脇に描かれた矢印が、また下を向いている。	門の脇に描かれた矢印がまた下を向いている。	もんの脇に描かれた矢印が、また下を向いている。
c122-1	1.000	ずれた量は、2分の1インチ足らずから、およそ1インチへ。	ずれた量は二分の一インチ足らずからおよそ一インチへ。	ずれた量は、2分の1 インチ足らずから、およそ1 インチへ。
c122-2	0.957	1.2センチだったものが、2.5センチになっている。	一点二センチだったものが二点五センチになっている	いってんにセンチだったものが、2.5センチになっている。
c123-1	1.000	2週間で、倍である。	2週間で倍である	2週間で、倍である。
c123-2	0.807	しかもこの2.5センチは、いちど直したあとに測られた数字だった。	しかもこの二点五センチは一度治した後に測られた数字だった。	しかもこの2.5センチは、いちど直したあとに測られた数字だった。
c124-1	1.000	つまり、門がずれていたのではない。	つまり門がずれていたのではない。	つまり、門がずれていたのではない。
c124-2	0.923	門を載せている床のほうが、下がり続けていた。	門を載せている床の方が下がり続けていた。	もんを載せているゆかのほうが、下がり続けていた。
c125-1	0.757	直せば、いったんは戻る。戻ったあと、また下がる。	直せば一旦は戻る。戻った後また下がる。	直せば、いったんは戻る。戻ったあと、また下がる。
c125-2	0.884	下がっていく速さのほうが、直す速さより速かった。	下がっていく速さの方が治す速さより速かった	下がっていく速さのほうが、直す速さより速かった。
c126-1	0.735	NIST が3段目に書き添えた言葉は、ひとことだけである。	ニストが三段目に書き添えた言葉は一言だけである。	ニスト が3段目に書き添えた言葉は、ひとことだけである。
c126-2	0.880	修理のあと、約1インチ沈んだ	修理の後、約1インチ沈んだ	修理のあと、約1インチ沈んだ
c127-1	0.943	この1週間前には、駐車場のなかでも、あることが見られている。	この一週間前には駐車場の中でもあることが見られている。	この1週間前には、駐車場のなかでも、あることが見られている。
c127-2	0.947	建物の下、車が停まっている、あの空間である。	建物の下、車が止まっているあの空間である。	建物の下、車が停まっている、あの空間である。
c128-1	1.000	見えていたのは、水だった。	見えていたのは水だった。	見えていたのは、水だった。
c128-2	1.000	といっても、天井から滴り落ちてくる水ではない。	といっても天井から滴り落ちてくる水ではない。	といっても、天井から滴り落ちてくる水ではない。
c129-1	1.000	水は、柱に沿って、上から下へ流れていた。	水は柱に沿って上から下へ流れていた。	水は、柱に沿って、上から下へ流れていた。
c129-2	1.000	柱を伝って落ちてくる、という見え方である。	柱を伝って落ちてくるという見え方である。	柱を伝って落ちてくる、という見え方である。
c130-1	1.000	水が柱を伝うということは、天井と柱のつなぎ目に、	水が柱を伝うということは、天井と柱のつなぎ目に	水が柱を伝うということは、天井と柱のつなぎ目に、
c130-2	0.952	水の通る隙間が開いている、ということでもある。	水の通る隙間が空いているということでもある。	水の通る隙間が開いている、ということでもある。
c131-1	0.846	NIST は、1週間前に見えていたことを、こう要約している。	nistは一週間前に見えていたことをこう要約している。	ニスト は、1週間前に見えていたことを、こう要約している。
c131-2	1.000	柱を伝って水が流れ落ちた。	柱を伝って水が流れ落ちた。	柱を伝って水が流れ落ちた。
c201-1	0.800	ここから、NIST の数え方が変わる。	ここから日止の数え方が変わる。	ここから、ニスト の数え方が変わる。
c201-2	1.000	それまで週の単位だったものが、時間の単位になる。	それまで週の単位だったものが時間の単位になる。	それまで週の単位だったものが、時間の単位になる。
c202-1	0.970	次に記録が残っているのは、17時間前。	次に記録が残っているのは十七時間前。	次に記録が残っているのは、17時間前。
c202-2	0.964	2021年6月23日の、朝である。崩落した日の、前の日にあたる。	2021年6月23日の朝である。崩落した日の前の日に当たる。	2021年6月23日の、朝である。崩落した日の、前の日にあたる。
c203-1	1.000	場所は、プールデッキの床の上。	場所はプールデッキの床の上。	場所は、プールデッキのゆかの上。
c203-2	0.800	人がふつうに歩く、タイル張りの面のほうである。	人が普通に歩くタイル張りの面の方である。	人がふつうに歩く、タイル張りの面のほうである。
c204-1	1.000	この日の朝、そこを歩いた人がいた。	この日の朝、そこを歩いた人がいた。	この日の朝、そこを歩いた人がいた。
c204-2	0.957	そして、足元に、それまで無かったものを見つけている。	そして足元にそれまでなかったものを見つけている。	そして、足元に、それまで無かったものを見つけている。
c205-1	0.811	NIST は、その人から直接、話を聞いている。	ニストはその人から直接話を聞いている	ニスト は、その人から直接、話を聞いている。
c205-2	0.952	資料に残っているのは、聞き取りのときに描かれた図と、手書きの文である。	資料に残っているのは聞き取りの時に描かれた図と手書きの文である。	資料に残っているのは、聞き取りのときに描かれた図と、手書きの文である。
c206-1	0.933	清書された報告書の文章ではない。	聖書された報告書の文章ではない。	清書された報告書の文章ではない。
c206-2	0.939	話しながら、その場で紙に書かれた、走り書きのほうである。	話しながら、その場で紙に書かれた走り書きの方である。	話しながら、その場で紙に書かれた、走り書きのほうである。
c207-1	0.889	書き込まれている場所は、13.1とKの交わるあたり。	書き込まれている場所は十三点一とKの交わる辺り。	書き込まれている場所は、13.1とKの交わるあたり。
c207-2	1.000	3週間前にプランターが割れていた、あの近くである。	三週間前にプランターが割れていたあの近くである。	3週間前にプランターが割れていた、あの近くである。
c208-1	1.000	3週間前に異変が見えたところと、ほとんど同じ場所だった。	三週間前に異変が見えたところとほとんど同じ場所だった。	3週間前に異変が見えたところと、ほとんど同じ場所だった。
c208-2	1.000	同じ一点が、3週間、動き続けていたことになる。	同じ一点が三週間動き続けていたことになる	同じ一点が、3週間、動き続けていたことになる。
c209-1	0.941	その図には、記号が2種類ふられている。	その図には記号が二種類振られている。	その図には、記号が2種類ふられている。
c209-2	0.913	プールデッキの排水口と、プランターの排水口である。	プールデッキの排水溝とプランターの排水溝である。	プールデッキの排水口と、プランターの排水口である。
c210-1	1.000	水がどこへ抜けていくか。	水がどこへ抜けていくか	水がどこへ抜けていくか。
c210-2	0.958	聞き取りの図に描き込まれるくらい、水は話に出ていた。	引き取りの図に描き込まれるくらい水は話に出ていた。	聞き取りの図に描き込まれるくらい、水は話に出ていた。
c211-1	1.000	手書きの文は、日付から始まっている。	手書きの文は日付から始まっている	手書きの文は、日付から始まっている。
c211-2	1.000	6月23日の朝、と書いてある。	六月二十三日の朝と書いてある	6月23日の朝、と書いてある。
c212-1	1.000	続きは、こうである。	続きはこうである。	続きは、こうである。
c212-2	0.923	床のあたりに、あるものがあるのに気がついた。	床の辺りにあるものがあるのに気がついた。	ゆかのあたりに、あるものがあるのに気がついた。
c213-1	1.000	気がついたのは、ひび割れではない。	気がついたのはひび割れではない。	気がついたのは、ひび割れではない。
c213-2	1.000	汚れでも、たわみでも、水たまりでもなかった。	汚れでもたわみでも水たまりでもなかった。	汚れでも、たわみでも、水たまりでもなかった。
c214-1	1.000	隙間だった。しかも、その幅まで書き込まれている。	隙間だった。しかもその幅まで書き込まれている。	隙間だった。しかも、その幅まで書き込まれている。
c214-2	1.000	床に、4インチの隙間	床に四インチの隙間	ゆかに、4インチの隙間
c215-1	0.933	4インチは、およそ10センチである。	四インチはおよそ十センチである。	4インチは、およそ10センチである。
c215-2	1.000	手のひらを縦にして、そのまま差し込める幅にあたる。	手のひらを縦にしてそのまま差し込める幅にあたる	手のひらを縦にして、そのまま差し込める幅にあたる。
c216-1	1.000	床が割れていた、という話ではない。	床が割れていたという話ではない。	ゆかが割れていた、という話ではない。
c216-2	0.878	床が、10センチぶん、離れていたということである。	床が十センチ分離れていたということである。	ゆかが、10センチぶん、離れていたということである。
c217-1	1.000	この時点で、崩落までは、まだ17時間ある。	この時点で崩落まではまだ17時間ある。	この時点で、崩落までは、まだ17時間ある。
c217-2	0.870	まる一日近くが、残っている。	丸一日近くが残っている。	まる一日近くが、残っている。
c218-1	1.000	次に記録が残るのは、9時間前である。	次に記録が残るのは九時間前である。	次に記録が残るのは、9時間前である。
c218-2	1.000	6月23日の、夕方から夜にかけてのあたり。	6月23日の夕方から夜にかけてのあたり	6月23日の、夕方から夜にかけてのあたり。
c219-1	1.000	ここで、場所が変わる。プールデッキの上ではない。	ここで場所が変わる。プールデッキの上ではない。	ここで、場所が変わる。プールデッキの上ではない。
c219-2	0.872	その下、車が停まっている駐車場のなかである。	その下、車が止まっている駐車場の中である。	その下、車が停まっている駐車場のなかである。
c220-1	1.000	資料に残っているのは、駐車場の区画を描いた図で、	資料に残っているのは駐車場の区画を描いた図で	資料に残っているのは、駐車場の区画を描いた図で、
c220-2	0.828	ひとつずつに番号がふられている。	一つずつに番号が振られている。	ひとつずつに番号がふられている。
c221-1	1.000	その図の上に、付箋のような書き込みがある。	その図の上に付箋のような書き込みがある。	その図の上に、付箋のような書き込みがある。
c221-2	0.923	これも、聞き取りのときに足されたものである。	これも聞き取りの時に足されたものである。	これも、聞き取りのときに足されたものである。
c222-1	1.000	書かれているのは、天井から水が漏れていた、ということ。	書かれているのは天井から水が漏れていたということ。	書かれているのは、天井から水が漏れていた、ということ。
c222-2	0.867	それだけなら、めずらしい話ではない。	それだけなら珍しい話ではない。	それだけなら、めずらしい話ではない。
c223-1	1.000	地下の駐車場で水が漏れるのは、よくあることである。	地下の駐車場で水が漏れるのはよくあることである。	地下の駐車場で水が漏れるのは、よくあることである。
c223-2	1.000	上にプールがあり、配管も通っていれば、なおさらである。	上にプールがあり、配管も通っていればなおさらである。	上にプールがあり、配管も通っていれば、なおさらである。
c224-1	1.000	だからその人は、わざわざ否定を書き足している。	だからその人はわざわざ否定を書き足している。	だからその人は、わざわざ否定を書き足している。
c224-2	1.000	配管ではない、と。	配管ではないと	配管ではない、と。
c225-1	1.000	そして、割れの深さまで書いてある。4分の1インチ。	そして割れの深さまで書いてある四分の一インチ	そして、割れの深さまで書いてある。4分の1インチ。
c225-2	1.000	配管ではない。天井からの漏れ	配管ではない天井からの漏れ	配管ではない。天井からの漏れ
c226-1	1.000	4分の1インチは、およそ6ミリである。	四分の一インチはおよそ六ミリである。	4分の1インチは、およそ6ミリである。
c226-2	1.000	天井、つまりプールデッキの裏側に、6ミリの深さの割れがあった。	天井、つまりプールデッキの裏側に六ミリの深さの割れがあった。	天井、つまりプールデッキの裏側に、6ミリの深さの割れがあった。
c227-1	1.000	記録は、3時間前にも残っている。	記録は三時間前にも残っている。	記録は、3時間前にも残っている。
c227-2	0.920	6月23日の、夜10時すぎにあたる。日付が変わる前である。	六月二十三日の夜十時過ぎにあたる日付が変わる前である。	6月23日の、夜10時すぎにあたる。日付が変わる前である。
c228-1	0.844	そしてここから、NIST の刻みは、さらに細かくなる。	そしてここからニストの刻みはさらに細かくなる。	そしてここから、ニスト の刻みは、さらに細かくなる。
c228-2	1.000	9分前、6分から7分前、5分から6分前、4分から5分前。分の単位になる。	九分前、六分から七分前、五分から六分前、四分から五分前。分の単位になる。	9分前、6分から7分前、5分から6分前、4分から5分前。ふんの単位になる。
c229-1	0.927	9分前の駐車場のなかは、模型に起こされている。	九分前の駐車場の中は模型に起こされている。	9分前の駐車場のなかは、模型に起こされている。
c229-2	0.875	車が並び、そのあいだに柱が立っている。	車が並び、その間に柱が立っている。	車が並び、そのあいだに柱が立っている。
c230-1	1.000	6分から7分前になると、図の中身が変わる。	六分から七分前になると図の中身が変わる。	6分から7分前になると、図の中身が変わる。
c230-2	1.000	床のたわみが、深さごとに色で分けられている。	床のたわみが深さごとに色で分けられている。	ゆかのたわみが、深さごとに色で分けられている。
c231-1	1.000	北へ行くほど、深く沈んでいた。	北へ行くほど深く沈んでいた	北へ行くほど、深く沈んでいた。
c231-2	1.000	平らだったはずの床が、浅い皿のような形になっている。	平らだったはずの床が浅い皿のような形になっている。	平らだったはずのゆかが、浅い皿のような形になっている。
c232-1	0.939	このあとの数分に何が起きたかは、映像として残っている。	この後の数分に何が起きたかは映像として残っている。	このあとの数分に何が起きたかは、映像として残っている。
c232-2	1.000	ただし、その映像を、ここでは出さない。	ただし、その映像をここでは出さない。	ただし、その映像を、ここでは出さない。
c301-1	0.952	ここまで見てきた沈み方には、名前が付いている。	ここまで見てきた沈み方には名前がついている。	ここまで見てきた沈み方には、名前が付いている。
c301-2	1.000	パンチング・シア破壊という。	パンチングシア破壊という	パンチング・シア破壊という。
c302-1	1.000	日本語では、押し抜きせん断と呼ばれる。	日本語では押し抜き、せん断と呼ばれる	日本語では、押し抜きせん断と呼ばれる。
c302-2	1.000	起きる場所は、柱と、床の板とのつなぎ目である。	起きる場所は柱と床の板とのつなぎ目である。	起きる場所は、柱と、ゆかの板とのつなぎ目である。
c303-1	1.000	床の板のことを、スラブという。	床の板のことをスラブという。	ゆかの板のことを、スラブという。
c303-2	1.000	鉄筋を入れて固めた、コンクリートの平らな板のことである。	鉄筋を入れて固めたコンクリートの平らな板のことである。	鉄筋を入れて固めた、コンクリートの平らな板のことである。
c304-1	1.000	スラブは、柱の上に置かれているのではない。	スラブは柱の上に置かれているのではない。	スラブは、柱の上に置かれているのではない。
c304-2	1.000	柱と一体に打たれていて、柱につながっている。	柱と一体に打たれていて、柱につながっている	柱と一体に打たれていて、柱につながっている。
c305-1	0.923	そのスラブの上に、重さが載る。	そのスラブの上に重さが乗る	そのスラブの上に、重さが載る。
c305-2	0.947	歩く人、停まっている車、敷かれた土、舗装、植木。	歩く人、止まっている車、敷かれた土、舗装、植木	歩く人、停まっている車、敷かれた土、舗装、植木。
c306-1	0.938	載った重さを、柱が下から受け止める。	乗った重さを柱が下から受け止める	載った重さを、柱が下から受け止める。
c306-2	1.000	ここまでは、どんな建物の床でも同じである。	ここまではどんな建物の床でも同じである。	ここまでは、どんな建物のゆかでも同じである。
c307-1	1.000	違うのは、受け止めている面積である。	違うのは受け止めている面積である。	違うのは、受け止めている面積である。
c307-2	0.930	広い床が、柱の太さのぶんしか、支えに触れていない。	広い床が柱の太さの分しか支えに触れていない。	広いゆかが、柱の太さのぶんしか、支えに触れていない。
c308-1	1.000	だから、広い範囲の重さが、柱の周りだけに集まってくる。	だから広い範囲の重さが柱の周りだけに集まってくる。	だから、広い範囲の重さが、柱の周りだけに集まってくる。
c308-2	1.000	集まった力は、コンクリートを、垂直に切ろうとする。	集まった力はコンクリートを垂直に切ろうとする。	集まった力は、コンクリートを、垂直に切ろうとする。
c309-1	1.000	切れ方には、決まった形がある。	切れ方には決まった形がある。	切れ方には、決まった形がある。
c309-2	1.000	柱を中心にして、すり鉢を伏せたような面で割れていく。	柱を中心にしてすり鉢を伏せたような面で割れていく	柱を中心にして、すり鉢を伏せたような面で割れていく。
c310-1	0.903	割れたあと、床は柱から外れて落ちる。	割れた後、床は柱から外れて落ちる。	割れたあと、ゆかは柱から外れて落ちる。
c310-2	0.927	柱のほうは、床を突き抜けた形で、立ったまま残る。	柱の方は床を突き抜けた形で立ったまま残る	柱のほうは、ゆかを突き抜けた形で、立ったまま残る。
c311-1	1.000	柱が床を突き抜けるようにして壊れる。	柱が床を突き抜けるようにして壊れる。	柱がゆかを突き抜けるようにして壊れる。
c311-2	0.944	だから、押し抜き、という名前が付いている。	だから押し抜きという名前がついている。	だから、押し抜き、という名前が付いている。
c312-1	0.812	この壊れ方には、やっかいな性質がある。	この壊れ方には厄介な性質がある。	この壊れ方には、やっかいな性質がある。
c312-2	0.938	壊れる前に、ほとんど前ぶれが出ない。	壊れる前にほとんど前触れが出ない	壊れる前に、ほとんど前ぶれが出ない。
c313-1	1.000	曲がって壊れる床なら、まず大きくたわむ。	曲がって壊れる床ならまず大きくたわむ。	曲がって壊れるゆかなら、まず大きくたわむ。
c313-2	0.875	見れば分かるし、たわんでいるあいだは、まだ落ちてこない。	見ればわかるし、たわんでいる間はまだ落ちてこない。	見れば分かるし、たわんでいるあいだは、まだ落ちてこない。
c314-1	1.000	押し抜きは、たわみが小さいまま、いきなり割れる。	押し抜きはたわみが小さいままいきなり割れる	押し抜きは、たわみが小さいまま、いきなり割れる。
c314-2	1.000	割れた時点で、その柱はもう床を支えていない。	割れた時点でその柱はもう床を支えていない	割れた時点で、その柱はもうゆかを支えていない。
c315-1	1.000	NIST は、この壊れ方を動く図にして公開している。	NISTはこの壊れ方を動く図にして公開している。	ニスト は、この壊れ方を動く図にして公開している。
c315-2	0.913	力が柱の周りに集まり、ひびが回り込み、そして抜ける。	力が柱の周りに集まり、ヒビが回り込み、そして抜ける。	力が柱の周りに集まり、ひびが回り込み、そして抜ける。
c316-1	0.864	これが、この事故でいちばん最初に起きたことである。	これがこの事故で一番最初に起きたことである。	これが、この事故でいちばん最初に起きたことである。
c316-2	1.000	場所は、プールデッキの下だった。	場所はプールデッキの下だった。	場所は、プールデッキの下だった。
c317-1	1.000	起きた柱の数は、2本。	起きた柱の数は二本。	起きた柱の数は、2本。
c317-2	1.000	何十本と立っている柱のうちの、たった2本である。	何十本と立っている柱のうちのたった二本である。	何十本と立っている柱のうちの、たった2本である。
c318-1	0.877	そして NIST は、それが起きた時期を、崩落の夜には置いていない。	そしてニストはそれが起きた時期を崩落の夜には置いていない。	そして ニスト は、それが起きた時期を、崩落の夜には置いていない。
c318-2	1.000	6月初旬に、2本の柱で起きた	六月初旬に二本の柱で起きた	6月初旬に、2本の柱で起きた
c319-1	0.880	6月のはじめ。ちょうど、あの門が動かなくなったころである。	六月の初め、ちょうどあの門が動かなくなった頃である。	6月のはじめ。ちょうど、あの門が動かなくなったころである。
c319-2	1.000	そこから崩落までは、およそ3週間ある。	そこから崩落まではおよそ三週間ある。	そこから崩落までは、およそ3週間ある。
c320-1	1.000	つまりこの建物は、床と柱のつなぎ目を2か所失ったまま、	つまり、この建物は床と柱のつなぎ目を二か所失ったまま	つまりこの建物は、ゆかと柱のつなぎ目を2か所失ったまま、
c320-2	1.000	3週間、立ち続けていたことになる。	三週間立ち続けていたことになる。	3週間、立ち続けていたことになる。
c321-1	1.000	ここからは、なぜそう言えるのかを見ていく。	ここからはなぜそう言えるのかを見ていく。	ここからは、なぜそう言えるのかを見ていく。
c321-2	0.852	NIST は、この壊れ方を、実物と同じ大きさで作り直している。	nistはこの壊れ方を実物と同じ大きさで作り直している。	ニスト は、この壊れ方を、実物と同じ大きさで作り直している。
