行	扱い	理由
c501-2	直した（EL_YOMI）	盛土→もりど
c502-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 74%
c503-1	直した（EL_YOMI）	NIST→ニスト
c504-1	要耳（中）文頭の「北側」	取り直し1回で「北側」。前のテイクは聞取「西側」＝意味が変わる型
c506-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 87%
c507-1	直した（EL_YOMI）	盛土→もりど
c508-1	直した（EL_YOMI）	床→ゆか
c509-1	直した（EL_YOMI）	床→ゆか
c509-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 82%
c510-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 85%
c511-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 74%
c511-2	直した（EL_YOMI）	NIST→ニスト
c512-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 90%
c516-1	要耳（中）文頭の「崩落」	かな「ほうらく」＋取り直し1回で「崩落」。前は スーズ楽／風俗
c516-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 85%
c518-2	正しい（異音の所見は促音）	「鉄筋」の「てっ」
c521-1	直した（EL_YOMI）	床→ゆか
c522-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 82%
c523-2	正しい（同音の別字）	塩→潮（しお）
c526-1	正しい（Scribe のカナ書き）	錆→サピ／サビ（さび）。取り直し4テイクとも同じ
c527-2	正しい（異音の所見は促音）	末尾「いっ|た」
c528-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 85%
c601-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 89%
c601-2	直した（EL_YOMI）	床→ゆか
c602-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 90%
c603-1	直した（EL_YOMI）	床→ゆか
c605-1	直した（EL_YOMI）	床→ゆか
c607-1	直した（EL_YOMI）	NIST→ニスト
c610-1	直した（EL_YOMI）	床→ゆか
c611-1	直した（EL_YOMI）	床→ゆか
c613-1	直した（EL_YOMI）	NIST→ニスト
c614-2	要耳（中・決め所）下端筋	「かたんきん」に固定。聞取「下丹筋」（か・たん・きん の当て字）。前は「下半身」
c619-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 87%
c621-2	正しい（Scribe が英字に直した）	ゾーンA／B→Zone A／B
c622-1	直した（EL_YOMI）	あった側→あった がわ
c622-2	直した（EL_YOMI）	できていた側→できていた がわ／床→ゆか
c624-2	直した（EL_YOMI）	あった側→あった がわ
c625-1	取り直し（文字起こし合格）	1テイク／NIST→ニスト
c625-2	正しい（異音の所見は促音）	「広がっていった」の「がっ」「いっ」
c626-2	取り直し（文字起こし合格）	2テイク
c628-2	直した（EL_YOMI）	床→ゆか
c629-1	直した（EL_YOMI）	NIST→ニスト
c629-2	要耳（低）文頭の「検討された」	取り直し1回で合格。前は「選抜された」
c701-1	直した（EL_YOMI）	NIST→ニスト
c701-2	直した（EL_YOMI）	24通り→ニジュウヨンとおり
c705-1	正しい（同音の別字）	工事→浩二（こうじ）
c706-1	正しい（Scribe が英字に直した）	エイティセブン・パーク→87 Park
c707-2	直した（EL_YOMI）	NIST→ニスト
c711-1	直した（EL_YOMI）	NIST→ニスト
c714-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 87%
c716-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 89%
c717-1	直した（EL_YOMI）	NIST→ニスト
c718-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 62%
c718-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 84%
c720-2	直した（EL_YOMI）	NIST→ニスト
c722-1	直した（EL_YOMI）	NIST→ニスト
c722-2	要耳（低・決め所）大きく寄与	取り直し1回で「大きく寄与してはいない」。前は「こう聞くキヨスではいない」
c723-2	正しい（間 0.73秒＝句点の溜め）	「振動。」のあと
c725-2	要耳（低）文頭の「陥没」	かな「かんぼつ」に。前は 消耗／宝物
c726-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 89%
ep01-1	直した（EL_YOMI）	NIST→ニスト
ep03-1	直した（EL_YOMI）	盛土→もりど
ep04-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 87%
ep07-2	取り直し（文字起こし合格）	1テイク
ep08-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
ep10-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 86%
ep10-2	正しい（異音の所見は促音）	「終わった」の「わっ|た」
ep11-1	直した（EL_YOMI）	NIST→ニスト
ep11-2	正しい（異音の所見は破裂音）	決め所。「余裕は、決定的」の「け」
ep13-2	直した（EL_YOMI）	床→ゆか
ep14-2	取り直し（文字起こし合格）	1テイク
