行	テイク数	判定	各テイクの聞取	本文
c522-2	3	要耳（全テイク落ち・所見最少を採用）	take1: まかる機械はこの空港にはない。その滑走路へ二機は出ていく。 || take2: まかる機械はこの空港にはない。その滑走路へ二機は出ていく。 || take3: 曲がる機会はこの空港にはない。その滑走路へ二機は出ていく。	測る機械は、この空港には無い。その滑走路へ、二機は出ていく。
c606-2	1	採用（文字起こしが台本と合う）	take1: 二機を滑走路そのものの上で走らせる。着陸機が使う道を通り道にする。	二機を、滑走路そのものの上で走らせる。着陸機が使う道を通り道にする。
c607-3	1	採用（文字起こしが台本と合う）	take1: 走路を誘導路の代わりに使った。	滑走路を、誘導路の代わりに使った
c614-2	3	要耳（全テイク落ち・所見最少を採用）	take1: セツールを走れと言われたが、それで合っているかと確かめている。 || take2: アスベスト路を走れと言われたが、それで合っているかと確かめている。 || take3: スレソールを走れと言われたが、それで合っているかと確かめている。	滑走路を走れと言われたが、それで合っているか、と確かめている。
c616-1	1	採用（文字起こしが台本と合う）	take1: パンナムは三番目を左へと復唱した。	パンナムは、三番目を左へ、と復唱した。
c619-2	1	採用（文字起こしが台本と合う）	take1: 三番目の交差点で左ということで合っていますか？	三番目の交差点で左、ということで合っていますか。
c624-2	2	採用（文字起こしが台本と合う）	take1: 報告書は取り違えたか、四番目の方が出やすいと考えたかとか。 || take2: 報告書は取り違えたか、番目の方が出やすいと考えたかと書く。	報告書は、取り違えたか、四番目のほうが出やすいと考えたか、と書く。
c728-2	1	採用（文字起こしが台本と合う）	take1: 滑走路を出たら知らせてください。まだ出ていないという意味である。	滑走路を出たら知らせてください。まだ出ていない、という意味である。
c801-1	1	採用（文字起こしが台本と合う）	take1: 操縦士も航空機関士もそれ以上は何も言わなかった。	副操縦士も、航空機関士も、それ以上は何も言わなかった。
c808-2	1	採用（文字起こしが台本と合う）	take1: 雪走路の外へ機体を出そうとしている。もう間に合わなかった。	滑走路の外へ機体を出そうとしている。もう、間に合わなかった。
c913-1	1	採用（文字起こしが台本と合う）	take1: 消防はここで初めて知ることになる。	消防は、ここで初めて知ることになる。
c914-1	1	採用（文字起こしが台本と合う）	take1: 消防は二つ目の機体に力を移した。	消防は、二つ目の機体に力を移した。
ep02-1	1	採用（文字起こしが台本と合う）	take1: 三つ。パンナムがまだ滑走路にいると言ったのにやめなかった。	三つ。パンナムがまだ滑走路にいると言ったのに、やめなかった。
ep06-3	1	採用（文字起こしが台本と合う）	take1: 言葉が適切でなかったこと。パンナムが三番目で出なかったこと。異例の混雑。	言葉が適切でなかったこと。パンナムが三番目で出なかったこと。異例の混雑。
