行	扱い	理由
c307-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『破片の位置が51→はへんの位置が51』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c309-1	一致率だけが低い（読みは一致）	一致率 88%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c310-2	Scribe の揺れ（2周のうち片方だけ）	同じ音（キャッシュの pcm）を2周起こして 77% → 87%。**音は1バイトも触っていない**＝2周とも崩れたものだけ直す規則により、直さない
c311-2	一致率だけが低い（読みは一致）	一致率 93%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c312-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『当たった範囲→あたった範囲』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c316-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『1,052キロ→センゴジュウニキロ／見積り→みつもり』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c316-3	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『見積り→みつもり』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c401-1	一致率だけが低い（読みは一致）	一致率 83%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c401-2	一致率だけが低い（読みは一致）	一致率 92%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c403-1	要耳	「積み荷の実験」が『SM2の実験』。かな『つみに』は『隅の』・空白版『積み荷 の実験』は『隅々の』で、どちらも悪化。⚠️ 4本目でも「積荷」は かな もカナも罪人だった語
c405-2	一致率だけが低い（読みは一致）	一致率 95%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c409-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c410-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c411-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c411-2	要耳	「黙とうをささげて」が『ダマトウを』。かな『もくとう』は『供養』・空白版は『苦闘』で悪化
c412-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c413-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c415-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『断熱材の衝突→だんねつざいの衝突』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c416-1	一致率だけが低い（読みは一致）	一致率 92%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c418-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c419-1	一致率だけが低い（読みは一致）	一致率 100%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c420-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『追悼の頁→追悼の ぺーじ』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c420-2	一致率だけが低い（読みは一致）	一致率 95%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c502-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『破片の影響→はへんの影響』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c503-2	Scribe の揺れ（2周のうち片方だけ）	同じ音（キャッシュの pcm）を2周起こして 90% → 95%。**音は1バイトも触っていない**＝2周とも崩れたものだけ直す規則により、直さない
c503-3	一致率だけが低い（読みは一致）	一致率 100%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c504-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『軌道にいるコロンビア号の左→きどうにいるコロンビア号の左』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c505-3	一致率だけが低い（読みは一致）	一致率 98%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c506-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c506-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『手続きを問うた→手続きを とうた』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c507-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c508-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c509-2	要耳	「記録には」が2周目だけ『浩久には』。A/B の前後とも『記録には』100%＝**Scribe の揺れ**と見たが、行頭なので念のため。かな化はしていない（正しく読めている語をかな化しない）
c510-1	一致率だけが低い（読みは一致）	一致率 97%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c510-3	一致率だけが低い（読みは一致）	一致率 78%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c511-1	要耳	「計算のほうは」が『理恵さんの方は』。かな『けいさん』は『Kさん』・空白版も『Kさん』
c511-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『クレーター→クレエタア』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c513-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c514-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c515-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『19,700立方センチ→いちまんきゅうせんななひゃく立方センチ』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c516-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『式が試された→しきが試された』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c517-1	数は漢数字で出ただけ（表記のゆれ）	聞取に漢数字で同じ数が出ている（照合が拾えないのは桁区切りのカンマ）: ['400']
c518-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『クレーター→クレエタア』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c518-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『耐熱タイルより→たいねつタイルより』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c519-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『クレーター→クレエタア』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c520-1	要耳	「前のふち用の式」が『前のフチ用の**指揮**』。**式も指揮も シキ で読みは同じ**なので機械では直せない。字幕は出るが、耳だけだと取り違える恐れ
c520-2	一致率だけが低い（読みは一致）	一致率 93%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c520-3	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『15通りの経路→ジュウゴ とおりの経路』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c521-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c524-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『1月24日、チーム→イチガツ24日、チーム』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c526-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『指揮系統を→しきけいとうを』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c527-1	一致率だけが低い（読みは一致）	一致率 96%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c602-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c604-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c607-1	一致率だけが低い（読みは一致）	一致率 100%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c607-2	一致率だけが低い（読みは一致）	一致率 96%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c608-1	一致率だけが低い（読みは一致）	一致率 96%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c609-1	一致率だけが低い（読みは一致）	一致率 93%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c609-2	一致率だけが低い（読みは一致）	一致率 94%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c610-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『乗り移る→のりうつる』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c613-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c615-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『チタンの小片→チタンの しょうへん／塞ぐ材料→ふさぐ材料』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c616-2	一致率だけが低い（読みは一致）	一致率 93%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c617-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c617-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『NASAは確かめ→NASA は確かめ』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c618-1	一致率だけが低い（読みは一致）	一致率 90%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c619-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『着陸で翼→ちゃくりくで翼』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c619-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『にくい降り方→にくい おりかた』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c623-1	一致率だけが低い（読みは一致）	一致率 91%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c702-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『地上から「降りてよい」→ちじょうから「降りてよい」』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c702-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c703-1	異音は本物の語（語の時刻で判定）	振り直し clean。el_artifact_words で促音・破裂音と確定
c703-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『255周目→ニヒャクゴジュウゴ周目』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c704-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c704-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c704-3	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『ここを0秒とする→ここを ゼロびょうとする』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c705-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『管制→かんせい』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c706-2	一致率だけが低い（読みは一致）	一致率 84%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c707-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『飛行が終わって→ひこうが終わって』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c708-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c709-1	Scribe の揺れ（2周のうち片方だけ）	同じ音（キャッシュの pcm）を2周起こして 88% → 92%。**音は1バイトも触っていない**＝2周とも崩れたものだけ直す規則により、直さない
c709-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『425秒後には→ヨンヒャクニジュウゴ秒後には』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c710-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『約4,400度→約 ヨンセンヨンヒャク度』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c712-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『管制→かんせい』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c712-3	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『〜→から』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c713-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『班をまとめ→はんをまとめ』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c713-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c715-2	一致率だけが低い（読みは一致）	一致率 89%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c716-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『機体は傾きを→機体は かたむきを』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c717-2	Scribe の揺れ（2周のうち片方だけ）	同じ音（キャッシュの pcm）を2周起こして 89% → 86%。**音は1バイトも触っていない**＝2周とも崩れたものだけ直す規則により、直さない
c718-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c718-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c719-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c720-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『左の主脚の→左の しゅきゃくの』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c720-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『管制→かんせい』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c723-2	一致率だけが低い（読みは一致）	一致率 84%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c724-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『管制→かんせい』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c724-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『通信の担当→つうしんの担当』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c725-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c726-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『管制→かんせい』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c727-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『場内の放送は→じょうないの放送は』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c727-3	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『飛行主任は→ひこうしゅにんは』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c729-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c801-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c802-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c804-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c805-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c806-1	一致率だけが低い（読みは一致）	一致率 89%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c806-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c807-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『270の機関から→ニヒャクナナジュウの機関から』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c807-2	要耳	「広さを当たった」が『広さを渡った』。かな『あたった』も空白版『広さを 当たった』も効かず。⚠️「当たった」は本文12行あり、崩れるのはこの行だけ
c808-2	Scribe の揺れ（2周のうち片方だけ）	同じ音（キャッシュの pcm）を2周起こして 88% → 100%。**音は1バイトも触っていない**＝2周とも崩れたものだけ直す規則により、直さない
c809-3	一致率だけが低い（読みは一致）	一致率 96%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c811-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『83,900点→ハチマンサンゼンキュウヒャクてん』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c812-1	一致率だけが低い（読みは一致）	一致率 97%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c813-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『破片は、ケネディ→はへんは、ケネディ』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c815-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『いちばん西で見つかった→いちばん にしで見つかった』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c816-2	一致率だけが低い（読みは一致）	一致率 91%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c817-1	一致率だけが低い（読みは一致）	一致率 98%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c818-1	一致率だけが低い（読みは一致）	一致率 95%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c818-2	一致率だけが低い（読みは一致）	一致率 93%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c819-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c820-1	Scribe の揺れ（2周のうち片方だけ）	同じ音（キャッシュの pcm）を2周起こして 85% → 90%。**音は1バイトも触っていない**＝2周とも崩れたものだけ直す規則により、直さない
c902-2	一致率だけが低い（読みは一致）	一致率 93%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c902-3	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『8枚目の下半分→8枚目の したはんぶん／破ったのは→やぶったのは』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c905-1	Scribe の揺れ（2周のうち片方だけ）	同じ音（キャッシュの pcm）を2周起こして 88% → 100%。**音は1バイトも触っていない**＝2周とも崩れたものだけ直す規則により、直さない
c907-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『縦横40センチ→たてよこ40センチ』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c909-1	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『安全を担当→あんぜんを担当』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c910-1	一致率だけが低い（読みは一致）	一致率 93%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
c912-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c912-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c913-2	音は確定（EL_YOMI でかなを送っている）	EL_YOMI『打ち上げを3→うちあげを3』を送信＝音は確定。2周目・3周目の聞取で直りを確認ずみ
c916-2	要耳	異音の門番が real（3テイクとも 3.25秒に音）。語の時刻に当てると『急げ|と』＝**読点の間のあとの破裂音**と確定。⚠️ この回の締めに近い決め所なので耳で
ep01-1	一致率だけが低い（読みは一致）	一致率 89%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
ep02-2	一致率だけが低い（読みは一致）	一致率 100%。読みの照合は一致（el_reading_diff）＝字の当て方の違い
ep06-1	Scribe の揺れ（2周のうち片方だけ）	同じ音（キャッシュの pcm）を2周起こして 90% → 100%。**音は1バイトも触っていない**＝2周とも崩れたものだけ直す規則により、直さない
