行	検査	何が	台本	聞取
c514-1	1字の入れ替え	径	第20径間のいちばん北の車から、およそ892メートル。	第二十警管の一番北の車からおよそ八百九十二メートル。
c514-2	同形異音語	間	第18径間の4台からは、およそ516メートルである。	対十八景観の四台からはおよそ五百十六メートルである。
c514-2	字の欠け	径第	第18径間の4台からは、およそ516メートルである。	対十八景観の四台からはおよそ五百十六メートルである。
c517-2	同形異音語	間	北へ走った。第23径間まで抜けたところで、歩いていた径間が落ちた。	北へ走った。第二十三、警官まで抜けたところで歩いていた警官が落ちた。
c517-2	1字の入れ替え	径	北へ走った。第23径間まで抜けたところで、歩いていた径間が落ちた。	北へ走った。第二十三、警官まで抜けたところで歩いていた警官が落ちた。
c519-1	同形異音語	間	7人は、径間とともに川へ落ちた。	七人は警官と共に川へ落ちた。
c519-1	1字の入れ替え	径	7人は、径間とともに川へ落ちた。	七人は警官と共に川へ落ちた。
c520-1	1字の入れ替え	艇	1時55分。州交通局警察の艇が、20番橋脚の近くでその1人を見つけた。	一時五十五分、州交通局警察の点が二十番橋脚の近くでその一人を見つけた。
c521-3	同形異音語	間	崩れない径間まで、行けたかもしれない	崩れない経過まで行けたかもしれない。
c521-3	1字の入れ替え	径	崩れない径間まで、行けたかもしれない	崩れない経過まで行けたかもしれない。
c601-1	1字の入れ替え	首	船首の右舷が当たったのは、17番橋脚の北西の柱だった。	船主の右舷が当たったのは十七番橋脚の北西の柱だった。
c602-2	1字の入れ替え	耐	橋脚の耐力の、4倍を超えた	橋脚の体力の四倍を超えた
c603-1	1字の入れ替え	耐	耐力の値は5509キップ。1キップは1000ポンドだから、	体力の値は五千五百九キップ。一キップは千ポンドだから
c604-2	1字の入れ替え	耐	報告書は、そのうち2本が耐力を超えて壊れた、と書いている。	報告書はそのうち2本が体力を超えて壊れたと書いている。
c606-1	同形異音語	間	続いて、中央の3径間が落ちた。	続いて中央の三景館が落ちた。
c606-1	1字の入れ替え	径	続いて、中央の3径間が落ちた。	続いて中央の三景館が落ちた。
c606-2	同形異音語	間	北側でも、橋脚3基と径間3つが続けて落ちている。	北側でも橋脚三基と警官三つが続けて落ちている。
c606-2	1字の入れ替え	径	北側でも、橋脚3基と径間3つが続けて落ちている。	北側でも橋脚三基と警官三つが続けて落ちている。
c608-2	1字の入れ替え	造	橋の骨組みが、1本壊れれば落ちる造りだったからではないか。	橋の骨組みが一本壊れれば落ちる作りだったからではないか。
c609-1	字の欠け	冗長	第1章で置いた、非冗長鋼引張部材である。	第一章で置いた非常調鋼引張部材である。
c609-2	同形異音語	間	キー橋の川の上の3径間は、たしかにその部材で組まれていた。	キー橋の川の上の三景館は確かにその部材で組まれていた。
c609-2	1字の入れ替え	径	キー橋の川の上の3径間は、たしかにその部材で組まれていた。	キー橋の川の上の三景館は確かにその部材で組まれていた。
c613-2	1字の入れ替え	支	力の道筋から、支点そのものが抜けた。	力の道筋から視点そのものが抜けた。
c615-2	字の欠け	与因寄挙要	寄与要因に挙がったのも、船が橋脚に届いたときの備えの側だった。	友友院に上がったのも、船が橋脚に届いた時の備えの側だった。
c618-1	字の欠け	修班補	人の被害は、亡くなった補修班6人、重傷1人。	人の被害は亡くなった保守派6人、重傷1人。
c618-2	1字の入れ替え	無	船の乗員が軽傷1人。点検員にけがは無かった。	船の乗員が軽傷一人。点検員に怪我はなかった。
c704-1	1字の入れ替え	器	ところが、その遮断器は閉じなかった。	ところが、その遮断機は閉じなかった。
c704-2	1字の入れ替え	器	造船所の遮断器の専門家を呼ぶことになった。	造船所の遮断機の専門家を呼ぶことになった。
c705-1	1字の入れ替え	器	4月10日。専門家が来て試すと、遮断器は何度も正常に動いた。	四月十日。専門家が来て試すと、遮断機は何度も正常に動いた。
c707-2	意味の語	ない	1号の変圧器はつないだままにされた。停電がまた起きるかを見るためである。	一号の変圧器は繋いだままにされた。停電がまた起きるかを見るためである。
c708-1	1字の入れ替え	無	4月12日。前ぶれも警報も無く、低圧が落ちた。	四月十二日。前触れも警報もなく低圧が落ちた。
c709-1	1字の入れ替え	器	4月24日、造船所の技術者が電力解析器を2台取り付けた。	四月二十四日、造船所の技術者が電力解析機を二台取り付けた。
c710-1	1字の入れ替え	器	4月29日、午前6時12分ごろ。また同じ遮断器が落ちた。	4月29日午前6時12分頃、また同じ遮断機が落ちた。
c710-2	1字の入れ替え	付	今度は、測る道具が付いていた。	今度は測る道具がついていた。
c712-1	字の欠け	付器	この遮断器には、不足電圧引外し装置という部品が付いている。	この遮断機には不足電圧引き外し装置という部品がついている
c713-1	1字の入れ替え	器	裏を返すと、遮断器が閉じたままでいるためには、	裏を返すと、遮断機が閉じたままでいるためには
c715-1	1字の入れ替え	当	そこで、信号線を1本ずつ当たっていった。	そこで信号線を一本ずつあたっていった。
c717-1	1字の入れ替え	器	遮断器は、設計どおりに閉じた。	遮断機は設計通りに閉じた。
c718-2	1字の入れ替え	器	遮断器が開き、船は停電した。3月26日と同じ形の、警報の出ない停電である。	遮断機が開き、船は停電した。三月二十六日と同じ形の警報の出ない停電である。
c721-2	1字の入れ替え	器	だから遮断器は、ときどき正常に動いた。	だから遮断機は時々正常に動いた。
c723-2	1字の入れ替え	造	船を造るとき、配電盤の線には1本ずつ、ラベルの帯が巻かれていた。	船を作る時、配電盤の線には一本ずつラベルの帯が巻かれていた。
c725-3	1字の入れ替え	線	帯が、線を奥まで入れさせなかった	帯が栓を奥まで入れさせなかった。
c802-2	字の欠け	操舵	橋からおよそ600ヤードのところで操舵を失った。	橋からおよそ六百ヤードのところでSODAを失った。
c804-1	1字の入れ替え	衝	このときは、潰れて力を吸うコンクリートと木の防衝工が船を止めた。	この時は潰れて力を吸うコンクリートと木の防潮工が船を止めた。
c805-1	字の欠け	衝造防	防衝工は壊れたが、元の設計どおりに造り直された。	某商工は壊れたが、元の設計通りに作り直された。
c806-1	1字の入れ替え	架	橋が架かってからの47年で、船は大きくなった。	橋がかかってからの四十七年で船は大きくなった。
c810-2	1字の入れ替え	訂	2009年に改訂されている。	2009年に改定されている
c812-1	1字の入れ替え	無	ただし、1991年より前に建った橋には、義務が無い。	ただし、 1991年より前に建った橋には義務がない。
c812-2	字の欠け	既設	協会は、既設の橋についても計算するよう勧めた。あくまで推奨である。	協会は季節の橋についても計算するよう勧めた。あくまで推奨である。
c813-1	1字の入れ替え	無	キー橋は1977年の橋なので、州交通局に義務は無かった。	キー橋は1977年の橋なので、州交通局に義務はなかった。
c813-2	1字の入れ替え	勧	それでも、勧められていたことを知っているべきだった、と報告書は書く。	それでも「進められていたことを知っているべきだった」と報告書は書く。
c814-1	1字の入れ替え	州	州交通局は、この指針を引用する別の基準を作る委員会にいた。	週交通局はこの指針を引用する別の基準を作る委員会にいた。
c815-2	字の欠け	数隻	年間の隻数、水路の形などを入れて、崩れる見込みを出すものである。	年間の積雪、水路の形などを入れて崩れる見込みを出すものである。
c818-1	1字の入れ替え	分	計算していれば、この橋が基準を超えていることは分かった。	計算していれば、この橋が基準を超えていることはわかった。
c819-2	字の欠け	無航	外航船の衝突に対する備えが無かったことを挙げている。	外交船の衝突に対する備えがなかったことを挙げている。
c820-2	1字の入れ替え	航	外航船が通る水路をまたぐ橋は、26の州に176ある。	外港、船が通る水路をまたぐ橋は二十六の州に百七十六ある。
c821-1	1字の入れ替え	当	そのうち40の橋が、2002年から2023年のあいだに当たられている。	そのうち四十の橋が二千二年から二千二十三年の間に渡られている。
c821-2	1字の入れ替え	航	相手は大型の外航船。全体の23パーセントである。	相手は大型の外交船全体の二十三パーセントである。
c822-1	字の欠け	建指航針	1991年の指針より前に建ち、外航船が通る水路をまたぐ橋は68。	1991年の地震より前に立ち、外交船が通る水路をまたぐ橋は68。
c824-2	頭欠け	キ→ヒ	キー橋には、危険なときに車を橋に入れないための装置が無かった。	ヒー橋には危険な時に車を橋に入れないための装置がなかった。
c824-2	1字の入れ替え	無	キー橋には、危険なときに車を橋に入れないための装置が無かった。	ヒー橋には危険な時に車を橋に入れないための装置がなかった。
c901-1	字の欠け	航路	崩れた鋼とコンクリートは、川の底と航路を塞いだ。	崩れた鋼とコンクリートは川の底と坑道を塞いだ。
c907-2	1字の入れ替え	降	岸壁に戻して、積荷と残骸を降ろしていく。	岸壁に戻して積み荷と残骸を下ろしていく。
c916-1	1字の入れ替え	架	架け替えの設計の考え方は、2025年2月に公表された。	掛け替えの設計の考え方は2025年2月に公表された
c916-3	1字の入れ替え	主	主航路の上の桁下は、230フィートになる。	西航路の上の桁下は二百三十フィートになる。
c917-2	1字の入れ替え	径	主径間は3300フィート。塔と塔のあいだは1600フィートになる。	主景観は三千三百フィート、塔と塔の間は千六百フィートになる。
ca06-2	1字の入れ替え	無	それでも、使うことを義務づける決まりは、業界のどこにも無い。	それでも使うことを義務付ける決まりは業界のどこにもない
ca08-3	1字の入れ替え	無	橋の上には、その道が無かった	橋の上にはその道がなかった。
ca11-2	字の欠け	海航	マイクを別々に録れること。航海データ記録装置への勧告である。	マイクを別々に取れること。公開データ記録装置への勧告である。
ca12-2	字の欠け	与寄無要	寄与要因は3つ。橋に近すぎたこと。橋の側に備えが無かったこと。	有用因は三つ。橋に近すぎたこと、橋の側に備えがなかったこと
ca12-3	1字の入れ替え	無	そして、橋の上の作業員に知らせる手段が無かったこと。	そして橋の上の作業員に知らせる手段がなかったこと。
ep01-2	1字の入れ替え	無	橋の上の作業員に退避を知らせる、実効的で即時の連絡手段が無かったこと。	橋の上の作業員に退避を知らせる、実効的で即時の連絡手段がなかったこと。
ep04-1	1字の入れ替え	掛	同じ1時27分53秒に、橋の上へ向かう電話は掛からなかった。	同じ1時27分53秒に橋の上へ向かう電話はかからなかった。
ep06-1	1字の入れ替え	掛	一本の信号線と、掛からなかった一本の電話。	一本の信号線と、かからなかった一本の電話
