場面	一致率	送った文	聞こえた文	送信文
c209-2	1.000	座布団ほどの板が、回りながら落ちていった。	座布団ほどの板が回りながら落ちていった。	座布団ほどの板が、回りながら落ちていった。
c210-1	0.833	ぶつかったときの速さの差は、時速約670〜920キロ。	ぶつかった時の速さの差は時速約六百七十から九百二十キロ。	ぶつかったときの速さの差は、時速約670から920キロ。
c210-2	1.000	断熱材は軽い。だから、当たっても平気だと思われていた。	断熱材は軽い。だから当たっても平気だと思われていた。	断熱材は軽い。だから、当たっても平気だと思われていた。
c211-1	1.000	打ち上げから2時間以内に、その日の映像は確認されている。	打ち上げから二時間以内にその日の映像は確認されている。	打ち上げから2時間以内に、その日の映像は確認されている。
c211-2	1.000	異常は、何も見つからなかった。	異常は何も見つからなかった。	異常は、何も見つからなかった。
c212-1	0.872	打ち上げを撮る場所は、地上に12か所あった。	打ち上げを取る場所は地上に十二箇所あった。	打ち上げを撮る場所は、地上に12か所あった。
c212-2	0.919	離陸から追い続ける役目は、そのうち5か所。	陸から追い続ける役目はそのうち五箇所。	離陸から追い続ける役目は、そのうち5か所。
c212-3	0.952	角度と大気の都合で、2か所は最初から写せない。	角度と大気の都合で二か所は最初から映せない。	角度と大気の都合で、2か所は最初から写せない。
c213-1	1.000	残る3か所のうち、1つは機体を見失った。	残る三か所のうち、一つは機体を見失った。	残る3か所のうち、1つは機体を見失った。
c213-2	1.000	1つはレンズの手入れが足りず、ピントが合っていない。	一つはレンズの手入れが足りず、ピントが合っていない。	1つはレンズの手入れが足りず、ピントが合っていない。
c213-3	0.947	1つは、左の翼の上側しか写っていなかった。	一つは左の翼の上側しか映っていなかった。	1つは、左の翼の上側しか写っていなかった。
c214-1	1.000	予算とカメラ班の人員が削られていた。	予算とカメラ班の人員が削られていた。	よさんとカメラ班の人員が削られていた。
c214-2	0.964	上がっていくシャトルを追う力は、年々落ちていったとみられる。	上がっていくシャトルを追う力が年々落ちていったとみられる。	あがっていくシャトルを追う力は、年々落ちていったとみられる。
c215-1	0.962	一方、軌道に入ったコロンビア号に、変わった様子は無かった。	一方、軌道に入ったコロンビア号に変わった様子はなかった。	一方、軌道に入ったコロンビア号に、変わった様子は無かった。
c215-2	0.974	乗員は16日間の暮らしの支度を始めている。	乗員は十六日間の暮らしの支度を始めている。	乗員は16日間の暮らしの支度を始めている。
c216-1	0.857	飛行2日目の午前10時半から11時のあいだ、何かが離れた。	飛行二日目の午前十時半から十一時の間、何かが離れた。	飛行2日目の午前10時半から11時のあいだ、何かが離れた。
c216-2	0.915	事故のあと、空軍のレーダーの記録を調べ直して分かったことである。	事故の後、空軍のレーダーの記録を調べ直してわかったことである。	事故のあと、空軍のレーダーの記録を調べ直して分かったことである。
c217-1	1.000	飛行初日、ブラウン飛行士は外部タンクが離れる様子を撮っていた。	飛行初日、ブラウン飛行士は外部タンクが離れる様子を撮っていた。	飛行初日、ブラウン飛行士は外部タンクが離れる様子を撮っていた。
c217-2	1.000	地上へ送ったのは、そのうち35秒分だけ。	地上へ送ったのはそのうち三十五秒分だけ。	地上へ送ったのは、そのうち35秒分だけ。
c217-3	0.955	委員会は「もっと撮っていたはずだ」と結論している。	委員会はもっと取っていたはずだと結論している。	委員会は「もっと撮っていたはずだ」と結論している。
c218-1	1.000	だが地上から、残りの映像を送ってくれと頼んだ者はいなかった。	だが、地上から残りの映像を送ってくれと頼んだ者はいなかった。	だが地上から、残りの映像を送ってくれと頼んだ者はいなかった。
c218-2	1.000	委員会は、防げたかもしれない機会を8つ数えている。その2番目である。	委員会は防げたかもしれない機会を八つ数えている。その二番目である。	委員会は、防げたかもしれない機会を8つ数えている。その2番目である。
c219-1	0.950	断熱材がはがれること自体は、初めてではない。	断熱材が剥がれること自体は初めてではない。	断熱材がはがれること自体は、初めてではない。
c219-2	0.968	映像で確かめられる79回の飛行のうち、8割超で何かがはがれていた。	映像で確かめられる七十九回の飛行のうち、八割超で何かが剥がれていた。	映像で確かめられる79回の飛行のうち、8割超で何かがはがれていた。
c220-1	0.960	バイポッドの付け根が丸ごと落ちたのは、分かる限り7回。	バイポッドの付け根が丸ごと落ちたのはわかる限り七回。	バイポッドの付け根が丸ごと落ちたのは、分かる限り7回。
c220-2	0.809	最初は1983年。約48×30センチが欠けている。	最初は 1983年、約 48パケル30cmが欠けている。	最初は センキュウヒャクハチジュウサンねん。約48×30センチが欠けている。
c221-1	1.000	右のバイポッドからは、一度も落ちていない。	右のバイポッドからは一度も落ちていない。	右のバイポッドからは、一度も落ちていない。
c221-2	1.000	なぜ左だけなのか、説明はできていなかった。	なぜ左だけなのか説明はできていなかった。	なぜ左だけなのか、説明はできていなかった。
c222-1	0.957	3か月前の飛行でも、同じ場所の断熱材が外れていた。	三ヶ月前の飛行でも同じ場所の断熱材が外れていた。	3か月前の飛行でも、同じ場所の断熱材が外れていた。
c222-2	1.000	NASAはそれを「飛行中の異常」として扱わなかった。	NASAはそれを飛行中の異常として扱わなかった。	NASAはそれを「飛行中の異常」として扱わなかった。
c222-3	0.955	原因が分かる前に、次の2便を飛ばすと決めている。	原因がわかる前に次の2便を飛ばすと決めている。	原因が分かる前に、次の2便を飛ばすと決めている。
c301-1	1.000	ここまでが、打ち上げの日に起きたことである。	ここまでが打ち上げの日に起きたことである。	ここまでが、打ち上げの日に起きたことである。
c301-2	1.000	この0.2秒に、誰も気づいていない。気づいたのは翌日だった。	この0.2秒に誰も気づいていない。気づいたのは翌日だった。	この0.2秒に、誰も気づいていない。気づいたのは翌日だった。
c302-1	1.000	1月17日の午前9時30分。マーシャル宇宙飛行センターの技術者が、	1月17日の午前9時30分、マーシャル宇宙飛行センターの技術者が	1月17日の午前9時30分。マーシャル宇宙飛行センターの技術者が、
c302-2	1.000	前日の映像を見直していて、破片が当たるのに気づいた。	前日の映像を見直していて、破片が当たるのに気づいた。	前日の映像を見直していて、破片が当たるのに気づいた。
c303-1	1.000	1時間のうちに、ケネディ宇宙センターでも確かめられた。	一時間のうちにケネディ宇宙センターでも確かめられた。	1時間のうちに、ケネディ宇宙センターでも確かめられた。
c303-2	0.939	一晩かけて現像した、解像度の高いフィルムのほうだった。	一晩かけて現像した解像度の高いフィルムの方だった。	一晩かけて現像した、解像度の高いフィルムのほうだった。
c304-1	0.762	いちばんよく写っていたのは、2台のカメラである。	一番よく映っていたのが二台のカメラである。	いちばんよく写っていたのは、2台のカメラである。
c304-2	0.947	1台は約27キロ（17マイル）離れた、35ミリのフィルムカメラ。	一台は約二十七キロ、十七マイル離れた三十五ミリのフィルムカメラ。	1台は約27キロ（17マイル）離れた、35ミリのフィルムカメラ。
c304-3	0.964	もう1台は約42キロ（26マイル）離れた、ビデオカメラだった。	もう一台は約四十二キロ、二十六マイル離れたビデオカメラだった。	もう1台は約42キロ（26マイル）離れた、ビデオカメラだった。
c305-1	0.950	2台の映像に写ったコマの時刻と、破片の位置。	二台の映像に映ったコマの時刻と破片の位置。	ニダイの映像に写ったコマの時刻と、破片の位置。
c305-2	1.000	そこから、大きさと速さと当たった場所を計算する。	そこから大きさと速さと当たった場所を計算する。	そこから、大きさと速さと当たった場所を計算する。
c306-1	0.923	測り直して、最も確からしい値まで絞り込んだ。	測り直して最も確からしい値まで絞り込む	測り直して、最も確からしい値まで絞り込んだ。
c306-2	1.000	最も有力なのは、長さ約61センチ、幅約38センチ。	最も有力なのは長さ約六十一センチ、幅約三十八センチ。	最も有力なのは、長さ約61センチ、幅約38センチ。
c307-1	0.963	答えに幅があるのは、カメラのコマが遅く、画が粗いからである。	答えに幅があるのはカメラのコマが遅く、絵が粗いからである。	答えに幅があるのは、カメラのコマが遅く、画が粗いからである。
c307-2	0.909	破片の位置が51センチずれるだけで、速さの答えは大きく動く。	破片の位置が51cmずれるだけで、速さの答えは大きく動く。	はへんの位置が51センチずれるだけで、速さの答えは大きく動く。
c307-3	0.933	時速およそ740キロが、900キロに変わってしまう。	時速およそ七百四十キロが九百キロに変わってしまう。	時速およそ740キロが、900キロに変わってしまう。
c308-1	0.958	解析にあたった人たちは、それぞれ別の道具で計算した。	解析に当たった人たちはそれぞれ別の道具で計算した。	解析にあたった人たちは、それぞれ別の道具で計算した。
c308-2	1.000	同じ答えに寄っていくかどうかを、確かめるためである。	同じ答えに寄っていくかどうかを確かめるためである。	同じ答えに寄っていくかどうかを、確かめるためである。
c309-1	0.878	破片は、1秒に約18回まわりながら落ちていった。	破片は一秒に約十八回回りながら落ちていた。	破片は、1秒に約18回まわりながら落ちていった。
c309-2	1.000	機体とほぼ平行に、5度だけ上を向いて当たっている。	機体とほぼ平行に五度だけ上を向いて当たっている。	機体とほぼ平行に、5度だけ上を向いて当たっている。
c310-1	1.000	断熱材は、発泡スチロールに近いほど軽い。	断熱材は発泡スチロールに近いほど軽い。	断熱材は、発泡スチロールに近いほど軽い。
c310-2	0.867	軽い物が、時速880キロで当たる	軽いものが時速八百八十キロで当たる。	軽い物が、時速880キロで当たる
c311-1	0.941	8枚目のパネルに当たったとすれば、角度は10度から20度。	八枚目のパネルに当たったとすれば、角度は十度から二十度。	8枚目のパネルに当たったとすれば、角度は10度から20度。
c311-2	0.933	翼の前のふちは丸いので、頂点に近いほど強く当たる。	翼の前の縁は丸いので、頂点に近いほど強く当たる。	翼の前のふちは丸いので、頂点に近いほど強く当たる。
c311-3	0.923	根もとに当たる場合の、およそ2倍の力になる。	根元に当たる場合のおよそ二倍の力になる。	根もとに当たる場合の、およそ2倍の力になる。
c312-1	0.905	当たった範囲は、たたみ1枚ほどの広さまで絞れた。	当たった範囲は畳一枚ほどの広さまで絞れた。	あたった範囲は、たたみ1枚ほどの広さまで絞れた。
c312-2	1.000	最も有力なのは、8枚目のすぐそばだった。	最も有力なのは八枚目のすぐそばだった。	最も有力なのは、8枚目のすぐそばだった。
c313-1	0.938	一方で、分からないままのこともある。	一方でわからないままのこともある。	一方で、分からないままのこともある。
c313-2	1.000	破片がどんな形で、どの面から当たったのか。	破片がどんな形でどの面から当たったのか。	破片がどんな形で、どの面から当たったのか。
c314-1	1.000	別の役所が色を強めて調べたところ、	別の役所が色を強めて調べたところ	別の役所が色を強めて調べたところ、
c314-2	1.000	衝突の直後、左の翼の上に破片があった可能性が示された。	衝突の直後、左の翼の上に破片があった可能性が示された。	衝突の直後、左の翼の上に破片があった可能性が示された。
c314-3	1.000	ただし、こちらも決め手にはならなかった。	ただし、こちらも決め手にはならなかった。	ただし、こちらも決め手にはならなかった。
c315-1	1.000	解析の結果は、この1枚のコマに集まっている。事故の起点を示す写真である。	解析の結果は、この一枚のコマに集まっている事故の起点を示す写真である。	解析の結果は、この1枚のコマに集まっている。事故の起点を示す写真である。
c316-1	0.923	飛行中に出した速さの見積りは、時速603から1,052キロ。	飛行中に出した速さの見積もりは時速六百三から千五十二キロ。	飛行中に出した速さのみつもりは、時速603からセンゴジュウニキロ。
c316-2	0.930	事故後に絞り込んだ値は、時速850から900キロ。	事故後に絞り込んだ値は時速八百五十から九百キロ。	事故後に絞り込んだ値は、時速850から900キロ。
c316-3	0.933	体積の見積りも、ほぼ同じところに落ち着いていた。	堆積の見積もりもほぼ同じところに落ち着いていた。	体積のみつもりも、ほぼ同じところに落ち着いていた。
c317-1	0.930	判断に必要な材料は、飛行中にすでにそろっていた。	判断に必要な材料は飛行中にすでに揃っていた。	判断に必要な材料は、飛行中にすでにそろっていた。
c317-2	1.000	委員会は、そう結論している。	委員会はそう結論している。	委員会は、そう結論している。
c318-1	0.923	写真の班は、翌日づけの報告を関係先へ配った。	写真の班は翌日付の報告を関係先へ配った。	写真の班は、翌日づけの報告を関係先へ配った。
c318-2	0.958	その日の午後、班の長は上の役職者へ直接連絡している。	その日の午後、藩の長は上の役職者へ直接連絡している。	その日の午後、班の長は上の役職者へ直接連絡している。
c319-1	0.945	このとき、軍に高い解像度の撮影を頼めないかという求めが出る。	この時、軍に高い解像度の撮影を頼めないかという求めが出る。	このとき、軍に高い解像度の撮影を頼めないかという求めが出る。
c319-2	1.000	写真を求める声が、最初に上がった瞬間だった。	写真を求める声が最初に上がった瞬間だった。	写真を求める声が、最初に上がった瞬間だった。
c320-1	1.000	その日の夕方、週末は休むと決まった。	その日の夕方、週末は休むと決まった。	その日の夕方、週末は休むと決まった。
c320-2	1.000	同じ日、フィルムを見に来た技術者は追い返されている。	同じ日、フィルムを見に来た技術者は追い返されている。	同じ日、フィルムを見に来た技術者は追い返されている。
c401-1	0.830	ここでいったん、軌道の上へ目を移す。地上の話は、そのあとに戻る。	ここで一旦軌道の上へ目を移す。地上の話はその後に戻る。	ここでいったん、軌道の上へ目を移す。地上の話は、そのあとに戻る。
c401-2	0.915	16日のあいだ、7人がそこで何をしていたのか。まず名前を挙げておく。	十六日の間、七人がそこで何をしていたのか、まず名前を挙げておく。	16日のあいだ、7人がそこで何をしていたのか。まず名前を挙げておく。
