場面	一致率	送った文	聞こえた文	送信文
c202-2	0.889	ほかの車線には、車が通っていた。	他の車線には車が通っていた。	ほかの車線には、車が通っていた。
c203-1	1.000	もう1人、エボーン・エンタープライズ社の点検員がいた。	もう一人、エボーンエンタープライズ社の点検員がいた。	もう1人、エボーン・エンタープライズ社のてんけん員がいた。
c203-2	1.000	州交通局の下請けで、コンクリートの乾き具合を見て回っていた。	州交通局の下請けでコンクリートの乾き具合を見て回っていた	州交通局の下請けで、コンクリートの乾き具合を見て回っていた。
c204-1	1.000	点検員は、橋の両端にいた州交通局警察の警官と、	点検員は橋の両端にいた州交通局警察の警官と	てんけん員は、橋の両端にいた州交通局警察の警官と、
c204-2	1.000	補修班の作業長と、それぞれ携帯電話の番号を交換していた。	補修班の作業長とそれぞれ携帯電話の番号を交換していた。	補修班の作業長と、それぞれ携帯電話の番号を交換していた。
c204-3	1.000	橋の上の窓口は、点検員1人だった	橋の上の窓口は点検員一人だった。	橋の上の窓口は、てんけん員1人だった
c205-1	0.872	ただし、それは個人どうしの番号の交換だった。	ただし、それは個人同士の番号の交換だった。	ただし、それは個人どうしの番号の交換だった。
c205-2	0.889	緊急のときにどう伝えるかを決めた手順は、無かった。	緊急の時にどう伝えるかを決めた手順はなかった	緊急のときにどう伝えるかを決めた手順は、無かった。
c206-1	0.960	橋の両端には、州交通局警察の車が1台ずつ止まっていた。	道の両端には州交通局警察の車が一台ずつ止まっていた。	橋の両端には、州交通局警察の車が1台ずつ止まっていた。
c206-2	0.889	工事のあいだ、車の流れを落とすためである。	工事の間、車の流れを落とすためである。	工事のあいだ、車の流れを落とすためである。
c207-1	1.000	工事を始める前に、点検員は州の運用センターにも連絡し、	工事を始める前に、点検員は州の運用センターにも連絡し	工事を始める前に、てんけん員は州の運用センターにも連絡し、
c207-2	1.000	車線を閉じる許可を取っていた。	車線を閉じる許可を取っていた	車線を閉じる許可を取っていた。
c208-1	0.913	州交通局と補修班の会社の契約には、こう書いてある。	州交通局と保守班の会社の契約にはこう書いてある。	州交通局と補修班の会社の契約には、こう書いてある。
c208-2	1.000	請負者は、州交通局と連絡が取れる手段を用意すること。安全上の要件である。	請負者は州交通局と連絡が取れる手段を用意すること。安全上の要件である。	請負者は、州交通局と連絡が取れる手段を用意すること。安全上の要件である。
c209-1	1.000	認められる手段は3つ。携帯電話、市民バンド無線、	認められる手段は三つ。携帯電話、市民バンド、無線。	認められる手段は3つ。携帯電話、市民バンド無線、
c209-2	1.000	または携帯型の双方向無線機。	または携帯型の双方向無線機	または携帯型の双方向無線機。
c210-1	1.000	その夜、橋の上にいたのは、この8人だけだった。	その夜、橋の上にいたのはこの8人だけだった。	その夜、橋の上にいたのは、この8人だけだった。
c211-1	0.689	工事の車は7台。第18径間に4台、第20径間に2台、第22径間に1台。	北条氏の車は七台、第十八警官に四台、第二十警官に二台、第二十二警官に一台	工事の車は7台。第18径間に4台、第20径間に2台、第22径間に1台。
c211-2	1.000	どれも南を向いて止まっていた。	どれも南を向いて止まっていた。	どれも南を向いて止まっていた。
c212-1	0.889	事故のとき、7人は休憩中だった。	事故の時、七人は休憩中だった。	事故のとき、7人は休憩中だった。
c212-2	0.700	第18径間と第20径間に止めた車の中にいた。	第十八警官と第二十警官に停めた車の中にいた。	第18径間と第20径間に止めた車の中にいた。
c213-1	1.000	点検員は、橋を歩いて渡っていた。	点検員は橋を歩いて渡っていた。	てんけん員は、橋を歩いて渡っていた。
c213-2	0.946	乾いていくコンクリートを見に行き、第22径間の自分の車まで戻ったところだった。	乾いていくコンクリートを見に行き、第二十二警官の自分の車まで戻ったところだった。	乾いていくコンクリートを見に行き、第22径間の自分の車まで戻ったところだった。
c214-1	0.933	同じころ、港の奥のシーガート・マリン・ターミナルでは、	同じ頃、港の奥のシーガートマリンターミナルでは	同じころ、港の奥のシーガート・マリン・ターミナルでは、
c214-2	1.000	1隻のコンテナ船が出港の支度をしていた。	一隻のコンテナ船が出港の支度をしていた。	1隻のコンテナ船が出港の支度をしていた。
c215-1	1.000	積み込みが終わったのは午後11時06分。	積み込みが終わったのは午後11時06分	積み込みが終わったのは午後11時06分。
c215-2	1.000	次の港はスリランカのコロンボ。27日の航海になるはずだった。	次の港はスリランカのコロンボ。二十七日の航海になるはずだった	次の港はスリランカのコロンボ。27日の航海になるはずだった。
c301-1	0.875	船の名はダリ。シンガポール船籍のコンテナ船である。	船の名はDALI。シンガポール船籍のコンテナ船である。	船の名はダリ。シンガポール船籍のコンテナ船である。
c301-2	0.918	低圧の電気が落ちると、明かりも舵も機関も同時に止まる造りだった。	低圧の電気が落ちると、明かりも家事も機関も同時に止まる作りだった。	低圧の電気が落ちると、明かりも舵も機関も同時に止まる造りだった。
c302-1	0.944	2015年、韓国の現代重工業で造られた。	2015年、韓国の現代重工業で作られた	2015年、韓国の現代重工業で造られた。
c302-2	0.947	全長は984フィート。およそ300メートル。	全長は九百八十四フィート、およそ三百メートル	全長は984フィート。およそ300メートル。
c302-3	0.882	橋が架かった1977年、いちばん大きなコンテナ船でも700フィートだった。	橋がかかった1977年、一番大きなコンテナ船でも700フィートだった。	橋が架かった1977年、いちばん大きなコンテナ船でも700フィートだった。
c303-1	1.000	積んでいたのは4679個のコンテナ。重さにして5万5671トン。	積んでいたのは四千六百七十九個のコンテナ。重さにして五万五千六百七十一トン。	積んでいたのはよんせんろっぴゃくななじゅうきゅう個のコンテナ。重さにして5万5671トン。
c303-2	0.880	20フィートのコンテナに直すと、8544個ぶんにあたる。	二十フィートのコンテナに直すと八千五百四十四個分に当たる	20フィートのコンテナに直すと、8544個ぶんにあたる。
c304-1	1.000	乗員は21人。そこに、港の水先人が2人乗り込む。	乗員は二十一人。そこに港の水先人が二人乗り込む。	乗員は21人。そこに、港のみずさきにんが2人乗り込む。
c305-1	1.000	水先人は、その水域を知っている案内役である。	水先人はその水域を知っている案内役である。	みずさきにんは、その水域を知っている案内役である。
c305-2	0.963	船の指揮は船長のもとにあり、水先人は針路と速力を指示する。	船の指揮は船長のもとにあり、水先人は進路と速力を指示する。	船の指揮は船長のもとにあり、みずさきにんは針路と速力を指示する。
c306-1	0.776	午前0時05分、メリーランド水先人組合の上級水先人と、	午前零時五分、メリーランド推薦人組合の上級推薦人と	午前0時05分、メリーランド水先人組合の上級水先人と、
c306-2	1.000	訓練中の水先人が乗り込んだ。	訓練中の水先人が乗り込んだ。	訓練中のみずさきにんが乗り込んだ。
c307-1	1.000	0時36分、タグボート2隻に付き添われて岸壁を離れる。	0時36分。タグボート2隻に付き添われて岸壁を離れる。	0時36分、タグボート2隻に付き添われて岸壁を離れる。
c307-2	0.955	喫水、つまり水に沈む深さは12.15メートル。重さは11万2383トンだった。	喫水、つまり水に沈む深さは十二点一五メートル、重さは十一万二千三百八十三トンだった。	喫水、つまり水に沈む深さは12.15メートル。重さは11万2383トンだった。
c308-1	0.947	このとき、4台ある発電機のうち2台が回っていた。3号機と4号機。	この時、四台ある発電機のうち二台が回っていた。三号機と四号機	このとき、4台ある発電機のうち2台が回っていた。3号機と4号機。
c308-2	0.966	6600ボルトの高圧の母線、電気を分ける幹の線につながっている。	六千六百ボルトの高圧の母線、電気を分ける幹の線につながっている。	ろくせんろっぴゃくボルトの高圧の母線、電気を分ける幹の線につながっている。
c309-1	1.000	船の電気は二段になっている。高圧の母線から、	船の電気は二段になっている。高圧の母線から	船の電気は二段になっている。高圧の母線から、
c309-2	1.000	変圧器を通して電圧を落とし、低圧の母線へ送る。	変圧器を通して電圧を落とし、低圧の母線へ送る。	変圧器を通して電圧を落とし、低圧の母線へ送る。
c310-1	1.000	低圧の側が担っていたのは、照明、燃料ポンプ、	低圧の側が担っていたのは照明、燃料ポンプ	低圧の がわが担っていたのは、照明、燃料ポンプ、
c310-2	0.912	主機関の冷却水ポンプ、そして操舵ポンプ3台のうち2台である。	主機関の冷却水ポンプ、そしてソーダポンプ三台のうち二台である。	主機関の冷却水ポンプ、そして操舵ポンプ3台のうち2台である。
c311-1	0.941	つまり、低圧が落ちれば、明かりと舵と機関が同時に止まる。	つまり、低圧が落ちれば明かりと家事と機関が同時に止まる。	つまり、低圧が落ちれば、明かりと舵と機関が同時に止まる。
c311-2	1.000	高圧の側が生きていても、である。	高圧の側が生きていてもである。	高圧の がわが生きていても、である。
c312-1	0.930	燃料はタンクに180万ガロン、およそ680万リットル。	燃料はタンクに百八十万ガロン、およそ六百八十万リットル	燃料はタンクに180万ガロン、およそ680万リットル。
c312-2	0.870	この夜、燃やしていたのは、そのうちの舶用軽油である。	この夜燃やしていたのはそのうちの柏葉桂油である。	この夜、燃やしていたのは、そのうちの舶用軽油である。
c313-1	1.000	高圧の配電盤の中には、制御用の細い信号線が何本も走っている。	高圧の配電盤の中には制御用の細い信号線が何本も走っている。	高圧の配電盤の中には、制御用の細い信号線が何本も走っている。
c313-2	1.000	線と線をつなぐ小さな部品を、端子台という。	線と線をつなぐ小さな部品を端子台という	線と線をつなぐ小さな部品を、たんし台という。
c313-3	0.818	端子台は、船に数千個あった	端次第は船に数千個あった	たんし台は、船に数千個あった
c314-1	0.950	1時07分と1時08分、タグボートを順に離す。	一時七分と一時八分タグボートを順に離す。	1時07分と1時08分、タグボートを順に離す。
c314-2	1.000	船はフォート・マクヘンリー航路を、南西へ下っていく。	船はフォートマクヘンリー航路を南西へ下っていく。	船はフォート・マクヘンリー航路を、南西へ下っていく。
c315-1	0.909	港では、船が航路の中で安定したらタグを離すのがふつうだった。	港では船が航路の中で安定したらタグを離すのが普通だった。	港では、船が航路の中で安定したらタグを離すのがふつうだった。
c315-2	0.951	速さが上がると、タグの側が船の後ろの流れで危なくなるからである。	速さが上がるとタグのガワが船の後ろの流れで危なくなるからである。	速さが上がると、タグの がわが船の後ろの流れで危なくなるからである。
c316-1	0.769	船首には甲板長が1人残った。	選手には看板長が一人残った	船首にはかんぱんちょうが1人残った。
c316-2	0.981	橋を抜けるまで船首に1人置け、という水先人の指示だった。	橋を抜けるまで船首に一人を置けという水先人の指示だった。	はしを抜けるまで船首に1人置け、というみずさきにんの指示だった。
c317-1	0.923	1時21分。上級水先人が、訓練中の水先人にこう言っている。	一時二十一分。上級推薦人が訓練中の水先人にこう言っている。	1時21分。上級水先人が、訓練中のみずさきにんにこう言っている。
c317-2	0.917	速力は10ノット以下に保て。	速力は十ノット以下に保て	速力は10ノット以下に保て。
c318-1	0.792	このとき船は、針路140度で、航路の中心の少し左を進んでいた。	この時船は深度百四十度で、航路も中心の少し左を進んでいた。	このとき船は、針路140度で、航路の中心の少し左を進んでいた。
c318-2	1.000	その4分後、明かりが消える。	その四分後、明かりが消える。	その4分後、明かりが消える。
c401-1	0.882	1時25分00秒。低圧の母線が落ちた。	一時二十五分零零秒。低圧の母線が落ちた。	1時25分00秒。低圧の母線が落ちた。
c401-2	1.000	報告書は、ここからの残り時間を括弧に入れて書いている。マイナス4分9秒。	報告書はここからの残り時間を括弧に入れて書いている。マイナス四分九秒	報告書は、ここからの残り時間を括弧に入れて書いている。マイナス4分9秒。
c402-1	0.884	明かりが消えた。操舵ポンプ3台が全部止まった。	明かりが消えた。ソーダポンプ三台が全部止まった。	明かりが消えた。操舵ポンプ3台が全部止まった。
c402-2	0.970	燃料ポンプも、冷却水ポンプも、船首を横に押すスラスターの補機も止まった。	燃料ポンプも冷却水ポンプも船首を横に押すスラスターの帆機も止まった。	燃料ポンプも、冷却水ポンプも、船首を横に押すスラスターの補機も止まった。
c403-1	0.895	船は8.9ノットで進んでいた。針路142度。	船は八点九ノットで進んでいた。針状百四十二度。	船は8.9ノットで進んでいた。針路142度。
c403-2	0.857	船首から橋までは3200フィート。船の長さの3.3隻ぶんである。	船首から端までは三千二百フィート。船の長さの三点三隻分である。	船首から橋までは3200フィート。船の長さの3.3隻ぶんである。
c404-1	0.930	舵は、停電した瞬間の中央を向いたまま固まった。	火事は停電した瞬間の中央を向いたまま固まった。	舵は、停電した瞬間の中央を向いたまま固まった。
c404-2	1.000	ポンプに電気が来ていないので、動かしようがない。	ポンプに電気が来ていないので動かしようがない。	ポンプに電気が来ていないので、動かしようがない。
c404-3	1.000	舵は、動かせなかった	舵は動かせなかった。	舵は、動かせなかった
c405-1	0.955	3秒後の1時25分03秒。航海データ記録装置が、	三秒後の一時二十五分零三秒。航海データ記録装置が	3秒後の1時25分03秒。航海データ記録装置が、
c405-2	1.000	数値の記録を止めた。電気が来なくなったからである。	数値の記録を止めた。電気が来なくなったからである。	数値の記録を止めた。電気が来なくなったからである。
c406-1	1.000	航海データ記録装置は、位置、速力、針路、舵と機関への指示を、	航海データ記録装置は、位置、速力、針路、舵と機関への指示を	航海データ記録装置は、位置、速力、針路、舵と機関への指示を、
c406-2	1.000	自動で書き続ける装置である。	自動で書き続ける装置である。	自動で書き続ける装置である。
c407-1	0.955	ただし、この装置には停電に備えた電源が無かった。	ただし、この装置には停電に備えた電源がなかった。	ただし、この装置には停電に備えた電源が無かった。
c407-2	1.000	規則でも求められていない。最初の1分近く、数値が抜けている。	規則でも求められていない最初の1分近く数値が抜けている	規則でも求められていない。最初の1分近く、数値が抜けている。
c408-1	0.984	1時25分08秒。主機関が止まった。冷却水ポンプが落ちたためである。	一時二十五分八秒。主機関が止まった。冷却水ポンプが落ちたためである。	1時25分08秒。主機関が止まった。冷却水ポンプが落ちたためである。
c408-2	1.000	推進も失われた。	推進も失われた。	推進も失われた。
c409-1	1.000	船長は、船首の甲板長に錨のそばで待機するよう命じた。	船長は船首の甲板長に錨のそばで待機するよう命じた。	船長は、船首のかんぱんちょうに錨のそばで待機するよう命じた。
c409-2	0.800	上級水先人が指揮を引き取り、舵は効くかと尋ねる。	上級推薦人が指揮を引き取り、「火事は聞くか？」と尋ねる。	上級水先人が指揮を引き取り、舵は効くかと尋ねる。
c410-1	0.895	二等航海士と操舵手は、効いていると答えた。	二等航海士と操舵士は聞いていると答えた。	にとう航海士と操舵手は、効いていると答えた。
c410-2	1.000	実際には、3台のポンプのどれにも電気は来ていなかった。	実際には三台のポンプのどれにも電気は来ていなかった。	実際には、3台のポンプのどれにも電気は来ていなかった。
c411-1	1.000	1時25分47秒。操舵手が報告する。	一時二十五分四十七秒、操舵手が報告する。	1時25分47秒。操舵手が報告する。
c411-2	0.960	針路が右へ振れています。舵は左いっぱいに当てています。	進路が右へ振れています。舵は左いっぱいに当てています。	針路が右へ振れています。舵は左いっぱいに当てています。
c412-1	1.000	1時25分58秒。停電から58秒。機関室にいた電気技師が気づく。	一時二十五分五十八秒。停電から五十八秒。機関室にいた電気技師が気づく。	1時25分58秒。停電から58秒。機関室にいた電気技師が気づく。
c412-2	1.000	高圧は生きている。落ちているのは低圧だけだ。	高圧は生きている。落ちているのは低圧だけだ。	高圧は生きている。落ちているのは低圧だけだ。
c413-1	0.931	電気技師は、変圧器につながる遮断器、電気の元栓を2つ、手で閉じた。	電気技師は変圧器につながる遮断機、電気の元線を二つ手で閉じた。	電気技師は、変圧器につながる遮断器、電気の元栓を2つ、手で閉じた。
c413-2	0.800	明かりが戻り、操舵ポンプ2台が回りはじめる。	明かりが戻り、ソーダポンプ 2台が回り始める。	明かりが戻り、操舵ポンプ2台が回りはじめる。
c414-1	0.917	ほぼ同じ1時25分59秒。上級水先人が電話をかけた。	ほぼ同じ1時25分59秒、上級推薦人が電話をかけた。	ほぼ同じ1時25分59秒。上級水先人が電話をかけた。
c414-2	1.000	相手は、陸にいる水先人組合の配車係である。	相手は陸にいる水先人組合の配車係である。	相手は、陸にいる水先人組合の配車係である。
c414-3	1.000	橋を、通行止めにしてくれ	橋を通行止めにしてくれ。	橋を、通行止めにしてくれ
c415-1	0.943	電話は7秒で終わっている。このとき橋まで2430フィート。	電話は七秒で終わっている。この時、橋まで二四三〇フィート	電話は7秒で終わっている。このとき橋まで2430フィート。
c415-2	0.966	速力8.5ノットで近づいていた。	速力八点五ノットで近づいていた。	速力8.5ノットで近づいていた。
c416-1	0.811	電気と舵は戻った。しかし推進は戻らない。	電気とガスは戻った。しかし、水深は戻らない。	電気と舵は戻った。しかし推進は戻らない。
c416-2	0.792	主機関は、人が手で掛け直さないと動かない造りである。	手記感は人が手でかけ直さないと動かない作りである。	主機関は、人が手で掛け直さないと動かない造りである。
c417-1	0.943	1時26分10秒。停電から70秒。非常用の発電機がつながった。	一時二十六分十秒。停電から七十秒。非常用の発電機がつながった。	1時26分10秒。停電から70秒。非常用の発電機がつながった。
c417-2	0.788	3台目の操舵ポンプにも電気が来る。	三代目のソーダポンプにも電気が来る	3台目の操舵ポンプにも電気が来る。
c418-1	0.905	1時26分18秒。3台のポンプがそろって回った。	一時二十六分十八秒。三台のポンプが揃って回った。	1時26分18秒。3台のポンプがそろって回った。
c418-2	0.981	それでも船首が右へ振れる速さは、毎分7.5度まで上がった。	それでも船首が右へ振れる速さは毎分七点五度まで上がった。	それでも船首が右へ振れる速さは、毎分7.5度まで上がった。
c419-1	0.920	1時26分38秒、上級水先人が無線でタグボートを呼ぶ。	一時二十六分三十八秒、上級推薦人が無線でタグボートを呼ぶ。	1時26分38秒、上級水先人が無線でタグボートを呼ぶ。
c419-2	1.000	その6秒後、配車係が州交通局の当直に電話を入れた。	その六秒後、配車係が州交通局の当直に電話を入れた。	その6秒後、配車係が州交通局の当直に電話を入れた。
