行	扱い	理由
c111-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c111-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c112-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c112-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c113-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c113-2	表記のゆれ（音は正しいと実測）	防衝工＝聞取『防衝構／某商工』＝ぼうしょうこう（同じ読み）。A/B で全部かなにすると逆に『王昭君』で悪化した
c114-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c114-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c115-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c115-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c201-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c201-2	表記のゆれ（音は正しいと実測）	補修班＝聞取『保守班／保守派』だが el_probe_words の実測 0.681秒 ≒5.7モーラ＝ほしゅうはん（5）で ほしゅはん（4）でない
c202-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c203-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c203-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c204-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c204-2	表記のゆれ（音は正しいと実測）	補修班＝聞取『保守班／保守派』だが el_probe_words の実測 0.681秒 ≒5.7モーラ＝ほしゅうはん（5）で ほしゅはん（4）でない
c204-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c205-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c205-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c206-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c206-2	表記のゆれ（音は正しいと実測）	あいだ＝聞取『間』＝表記のゆれ
c207-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c207-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c208-1	表記のゆれ（音は正しいと実測）	補修班＝聞取『保守班／保守派』だが el_probe_words の実測 0.681秒 ≒5.7モーラ＝ほしゅうはん（5）で ほしゅはん（4）でない
c208-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c209-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c209-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c210-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c211-1	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
c211-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c212-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c212-2	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
c213-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c213-2	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
c214-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c214-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c215-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c215-2	表記のゆれ（音は正しいと実測）	航海＝聞取『後悔／公開』＝こうかい（同じ読み）
c301-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c301-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c302-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c302-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c302-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c303-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c303-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c304-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c305-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c305-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c306-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c306-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c307-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c307-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件
c308-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c308-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c309-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c309-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c310-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c310-2	表記のゆれ（音は正しいと実測）	操舵＝聞取『ソーダ／SODA』＝そうだ（同じ読み）。A/B でかなにすると『そうだ、ポンプ』と間が入って悪化
c311-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c311-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c312-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c312-2	表記のゆれ（音は正しいと実測）	舶用軽油＝聞取『柏葉桂油』＝はくようけいゆ（同じ読み）
c313-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c313-2	表記のゆれ（音は正しいと実測）	端子台＝A/B で『たんし台』にして 唐時代（とうじだい）→ 端次第（たんしだい）＝読みは直った
c313-3	要耳（機械で決着せず）	文頭『端子台』が聞取『探師台』。行中の端子台は『端次第』で正しいので、文頭だけ弱い
c314-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c314-2	表記のゆれ（音は正しいと実測）	航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない
c315-1	表記のゆれ（音は正しいと実測）	航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない
c316-1	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
c316-2	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
c317-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件
c317-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c318-1	表記のゆれ（音は正しいと実測）	航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない
c318-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c401-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c401-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c402-1	表記のゆれ（音は正しいと実測）	操舵＝聞取『ソーダ／SODA』＝そうだ（同じ読み）。A/B でかなにすると『そうだ、ポンプ』と間が入って悪化
c402-2	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
c403-2	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）／橋まで＝聞取『端まで』＝はし（同じ読み）／橋までは＝聞取『端までは』＝はし（同じ読み）
c404-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c404-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c404-3	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c405-1	表記のゆれ（音は正しいと実測）	航海＝聞取『後悔／公開』＝こうかい（同じ読み）
c405-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c406-1	表記のゆれ（音は正しいと実測）	航海＝聞取『後悔／公開』＝こうかい（同じ読み）
c406-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c407-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c407-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c408-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c408-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c409-1	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
c409-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c410-1	表記のゆれ（音は正しいと実測）	操舵＝聞取『ソーダ／SODA』＝そうだ（同じ読み）。A/B でかなにすると『そうだ、ポンプ』と間が入って悪化／航海＝聞取『後悔／公開』＝こうかい（同じ読み）
c410-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c411-1	表記のゆれ（音は正しいと実測）	操舵＝聞取『ソーダ／SODA』＝そうだ（同じ読み）。A/B でかなにすると『そうだ、ポンプ』と間が入って悪化
c411-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c412-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c412-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c413-1	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）
c413-2	表記のゆれ（音は正しいと実測）	操舵＝聞取『ソーダ／SODA』＝そうだ（同じ読み）。A/B でかなにすると『そうだ、ポンプ』と間が入って悪化
c414-1	要耳（機械で決着せず）	『上級水先人』が聞取『上級推薦人』。EL_YOMI で かな『みずさきにん』を送っており音は決まっているが、同じ語で2行続けて出たので念のため
c414-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c414-3	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c415-1	表記のゆれ（音は正しいと実測）	橋まで＝聞取『端まで』＝はし（同じ読み）
c416-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c416-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c417-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c417-2	表記のゆれ（音は正しいと実測）	操舵＝聞取『ソーダ／SODA』＝そうだ（同じ読み）。A/B でかなにすると『そうだ、ポンプ』と間が入って悪化
c418-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c418-2	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
c419-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c419-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c420-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c420-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c421-1	表記のゆれ（音は正しいと実測）	橋まで＝聞取『端まで』＝はし（同じ読み）
c421-2	要耳（機械で決着せず）	同上（c414-1 と同じ型）。加えて『投げよ』が『投げよう』に伸びて聞こえた
c422-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c422-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c423-1	表記のゆれ（音は正しいと実測）	遮断器＝聞取『遮断機』＝しゃだんき（同じ読み）
c423-2	要耳（機械で決着せず）	『主機関』が聞取『指揮官』＝しゅ→し。ほかの行では『手記感（しゅきかん）』で正しいのでテイク差
c424-1	表記のゆれ（音は正しいと実測）	橋まで＝聞取『端まで』＝はし（同じ読み）
c424-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件
c425-1	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
c425-2	表記のゆれ（音は正しいと実測）	航海＝聞取『後悔／公開』＝こうかい（同じ読み）
c426-1	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
c426-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c427-1	表記のゆれ（音は正しいと実測）	航路＝聞取『坑道』だが el_probe_words の実測 0.280秒 ≒2.6モーラ＝こうろ（3）で こうどう（4）でない／船首＝聞取『選手』＝せんしゅ（同じ読み）
c427-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c427-3	表記のゆれ（音は正しいと実測）	船首＝聞取『選手』＝せんしゅ（同じ読み）
c501-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c501-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c502-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c502-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c503-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c503-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c504-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c504-2	表記のゆれ（音は正しいと実測）	このあと＝聞取『この後』＝表記のゆれ
c505-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c506-1	表記のゆれ（音は正しいと実測）	補修班＝聞取『保守班／保守派』だが el_probe_words の実測 0.681秒 ≒5.7モーラ＝ほしゅうはん（5）で ほしゅはん（4）でない
c506-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c507-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c507-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c508-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c508-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c509-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c509-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c510-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c510-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c511-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c511-2	表記のゆれ（音は正しいと実測）	あいだ＝聞取『間』＝表記のゆれ
c512-1	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
c512-2	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
c513-1	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
c513-2	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c514-1	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
c514-2	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
c515-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c516-1	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c516-2	表記のゆれ（別の検査で決着）	台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c517-1	表記のゆれ（別の検査で決着）	異音は語に重なる（促音・破裂音）＝el_artifact_words で『語なし』0件／台本と聞取の**読みが一致**（el_reading_diff）＝字の当て方の違いだけ
c517-2	表記のゆれ（音は正しいと実測）	径間＝A/B『けいかん』で前『三計観』後『三径間』＝どちらも読みは ケイカン（音は同じ・字だけ違う）
