行	型	該当	本文
c203-1	同形異音語（一般）	人	もう1人、エボーン・エンタープライズ社の点検員がいた。
c203-1	数詞＋助数詞	1人	もう1人、エボーン・エンタープライズ社の点検員がいた。
c203-1	§6の語（キー橋）	エボーン	もう1人、エボーン・エンタープライズ社の点検員がいた。
c203-2	§6の語（キー橋）	州交通局	州交通局の下請けで、コンクリートの乾き具合を見て回っていた。
c204-1	§6の語（キー橋）	州交通局	点検員は、橋の両端にいた州交通局警察の警官と、
c204-2	同形異音語（実績）	話	補修班の作業長と、それぞれ携帯電話の番号を交換していた。
c204-3	同形異音語（一般）	上	橋の上の窓口は、点検員1人だった
c204-3	同形異音語（一般）	人	橋の上の窓口は、点検員1人だった
c204-3	数詞＋助数詞	1人	橋の上の窓口は、点検員1人だった
c205-1	同形異音語（一般）	人	ただし、それは個人どうしの番号の交換だった。
c206-1	§6の語（キー橋）	州交通局	橋の両端には、州交通局警察の車が1台ずつ止まっていた。
c206-2	同形異音語（一般）	事	工事のあいだ、車の流れを落とすためである。
c207-1	同形異音語（一般）	事	工事を始める前に、点検員は州の運用センターにも連絡し、
c208-1	§6の語（キー橋）	州交通局	州交通局と補修班の会社の契約には、こう書いてある。
c208-2	同形異音語（一般）	上	請負者は、州交通局と連絡が取れる手段を用意すること。安全上の要件である。
c208-2	§6の語（キー橋）	州交通局	請負者は、州交通局と連絡が取れる手段を用意すること。安全上の要件である。
c209-1	同形異音語（実績）	話	認められる手段は3つ。携帯電話、市民バンド無線、
c209-1	数詞＋助数詞	3つ	認められる手段は3つ。携帯電話、市民バンド無線、
c210-1	同形異音語（一般）	上	その夜、橋の上にいたのは、この8人だけだった。
c210-1	同形異音語（一般）	人	その夜、橋の上にいたのは、この8人だけだった。
c210-1	数詞＋助数詞	8人	その夜、橋の上にいたのは、この8人だけだった。
c211-1	同形異音語（実績）	間	工事の車は7台。第18径間に4台、第20径間に2台、第22径間に1台。
c211-1	同形異音語（実績）	間	工事の車は7台。第18径間に4台、第20径間に2台、第22径間に1台。
c211-1	同形異音語（実績）	間	工事の車は7台。第18径間に4台、第20径間に2台、第22径間に1台。
c211-1	同形異音語（一般）	事	工事の車は7台。第18径間に4台、第20径間に2台、第22径間に1台。
c211-1	§6の語（キー橋）	径間	工事の車は7台。第18径間に4台、第20径間に2台、第22径間に1台。
c211-1	§6の語（キー橋）	径間	工事の車は7台。第18径間に4台、第20径間に2台、第22径間に1台。
c211-1	§6の語（キー橋）	径間	工事の車は7台。第18径間に4台、第20径間に2台、第22径間に1台。
c212-1	同形異音語（一般）	人	事故のとき、7人は休憩中だった。
c212-1	数詞＋助数詞	7人	事故のとき、7人は休憩中だった。
c212-2	同形異音語（実績）	間	第18径間と第20径間に止めた車の中にいた。
c212-2	同形異音語（実績）	間	第18径間と第20径間に止めた車の中にいた。
c212-2	§6の語（キー橋）	径間	第18径間と第20径間に止めた車の中にいた。
c212-2	§6の語（キー橋）	径間	第18径間と第20径間に止めた車の中にいた。
c213-2	同形異音語（実績）	間	乾いていくコンクリートを見に行き、第22径間の自分の車まで戻ったところだった。
c213-2	§6の語（キー橋）	径間	乾いていくコンクリートを見に行き、第22径間の自分の車まで戻ったところだった。
c214-1	§6の語（キー橋）	シーガート	同じころ、港の奥のシーガート・マリン・ターミナルでは、
c214-2	文頭の数字	1	1隻のコンテナ船が出港の支度をしていた。
c215-1	数詞＋助数詞	11時	積み込みが終わったのは午後11時06分。
c215-1	数詞＋助数詞	06分	積み込みが終わったのは午後11時06分。
c215-2	同形異音語（一般）	日	次の港はスリランカのコロンボ。27日の航海になるはずだった。
c215-2	数詞＋助数詞	27日	次の港はスリランカのコロンボ。27日の航海になるはずだった。
c301-1	§6の語（キー橋）	ダリ	船の名はダリ。シンガポール船籍のコンテナ船である。
c301-2	§6の語（キー橋）	舵	低圧の電気が落ちると、明かりも舵も機関も同時に止まる造りだった。
c302-1	文頭の数字	2	2015年、韓国の現代重工業で造られた。
c302-1	数詞＋助数詞	2015年	2015年、韓国の現代重工業で造られた。
c302-2	数詞＋助数詞	984フィート	全長は984フィート。およそ300メートル。
c302-2	数詞＋助数詞	300メートル	全長は984フィート。およそ300メートル。
c302-3	数詞＋助数詞	1977年	橋が架かった1977年、いちばん大きなコンテナ船でも700フィートだった。
c302-3	数詞＋助数詞	700フィート	橋が架かった1977年、いちばん大きなコンテナ船でも700フィートだった。
c303-1	数詞＋助数詞	4679個	積んでいたのは4679個のコンテナ。重さにして5万5671トン。
c303-2	文頭の数字	2	20フィートのコンテナに直すと、8544個ぶんにあたる。
c303-2	数詞＋助数詞	20フィート	20フィートのコンテナに直すと、8544個ぶんにあたる。
c303-2	数詞＋助数詞	8544個	20フィートのコンテナに直すと、8544個ぶんにあたる。
c304-1	同形異音語（一般）	人	乗員は21人。そこに、港の水先人が2人乗り込む。
c304-1	同形異音語（一般）	人	乗員は21人。そこに、港の水先人が2人乗り込む。
c304-1	数詞＋助数詞	21人	乗員は21人。そこに、港の水先人が2人乗り込む。
c304-1	数詞＋助数詞	2人	乗員は21人。そこに、港の水先人が2人乗り込む。
c304-1	§6の語（キー橋）	水先	乗員は21人。そこに、港の水先人が2人乗り込む。
c305-1	同形異音語（一般）	人	水先人は、その水域を知っている案内役である。
c305-1	§6の語（キー橋）	水先	水先人は、その水域を知っている案内役である。
c305-2	同形異音語（一般）	人	船の指揮は船長のもとにあり、水先人は針路と速力を指示する。
c305-2	§6の語（キー橋）	水先	船の指揮は船長のもとにあり、水先人は針路と速力を指示する。
c306-1	同形異音語（一般）	人	午前0時05分、メリーランド水先人組合の上級水先人と、
c306-1	数詞＋助数詞	0時	午前0時05分、メリーランド水先人組合の上級水先人と、
c306-1	数詞＋助数詞	05分	午前0時05分、メリーランド水先人組合の上級水先人と、
c306-1	§6の語（キー橋）	水先	午前0時05分、メリーランド水先人組合の上級水先人と、
c306-1	§6の語（キー橋）	水先	午前0時05分、メリーランド水先人組合の上級水先人と、
c306-2	同形異音語（一般）	人	訓練中の水先人が乗り込んだ。
c306-2	§6の語（キー橋）	水先	訓練中の水先人が乗り込んだ。
c307-1	文頭の数字	0	0時36分、タグボート2隻に付き添われて岸壁を離れる。
c307-1	数詞＋助数詞	0時	0時36分、タグボート2隻に付き添われて岸壁を離れる。
c307-1	数詞＋助数詞	36分	0時36分、タグボート2隻に付き添われて岸壁を離れる。
c307-1	§6の語（キー橋）	タグ	0時36分、タグボート2隻に付き添われて岸壁を離れる。
c307-2	小数	12.15	喫水、つまり水に沈む深さは12.15メートル。重さは11万2383トンだった。
c307-2	数詞＋助数詞	15メートル	喫水、つまり水に沈む深さは12.15メートル。重さは11万2383トンだった。
c307-2	§6の語（キー橋）	喫水	喫水、つまり水に沈む深さは12.15メートル。重さは11万2383トンだった。
c308-1	§6の語（キー橋）	発電機	このとき、4台ある発電機のうち2台が回っていた。3号機と4号機。
c308-2	文頭の数字	6	6600ボルトの高圧の母線、電気を分ける幹の線につながっている。
c308-2	§6の語（キー橋）	母線	6600ボルトの高圧の母線、電気を分ける幹の線につながっている。
c309-1	§6の語（キー橋）	母線	船の電気は二段になっている。高圧の母線から、
c309-2	§6の語（キー橋）	変圧器	変圧器を通して電圧を落とし、低圧の母線へ送る。
c309-2	§6の語（キー橋）	母線	変圧器を通して電圧を落とし、低圧の母線へ送る。
c310-1	同形異音語（実績）	側	低圧の側が担っていたのは、照明、燃料ポンプ、
c310-2	§6の語（キー橋）	主機	主機関の冷却水ポンプ、そして操舵ポンプ3台のうち2台である。
c310-2	§6の語（キー橋）	操舵	主機関の冷却水ポンプ、そして操舵ポンプ3台のうち2台である。
c311-1	§6の語（キー橋）	舵	つまり、低圧が落ちれば、明かりと舵と機関が同時に止まる。
c311-2	同形異音語（実績）	側	高圧の側が生きていても、である。
c311-2	同形異音語（一般）	生	高圧の側が生きていても、である。
c314-1	文頭の数字	1	1時07分と1時08分、タグボートを順に離す。
c314-1	数詞＋助数詞	1時	1時07分と1時08分、タグボートを順に離す。
c314-1	数詞＋助数詞	07分	1時07分と1時08分、タグボートを順に離す。
c314-1	数詞＋助数詞	1時	1時07分と1時08分、タグボートを順に離す。
c314-1	数詞＋助数詞	08分	1時07分と1時08分、タグボートを順に離す。
c314-1	§6の語（キー橋）	タグ	1時07分と1時08分、タグボートを順に離す。
c314-2	同形異音語（一般）	下	船はフォート・マクヘンリー航路を、南西へ下っていく。
c314-2	§6の語（キー橋）	マクヘンリー	船はフォート・マクヘンリー航路を、南西へ下っていく。
c315-1	§6の語（キー橋）	タグ	港では、船が航路の中で安定したらタグを離すのがふつうだった。
c315-2	同形異音語（実績）	側	速さが上がると、タグの側が船の後ろの流れで危なくなるからである。
c315-2	同形異音語（一般）	上	速さが上がると、タグの側が船の後ろの流れで危なくなるからである。
c315-2	§6の語（キー橋）	タグ	速さが上がると、タグの側が船の後ろの流れで危なくなるからである。
c316-1	数詞＋助数詞	1人	船首には甲板長が1人残った。
c316-2	同形異音語（一般）	人	橋を抜けるまで船首に1人置け、という水先人の指示だった。
c316-2	数詞＋助数詞	1人	橋を抜けるまで船首に1人置け、という水先人の指示だった。
c316-2	§6の語（キー橋）	水先	橋を抜けるまで船首に1人置け、という水先人の指示だった。
c317-1	文頭の数字	1	1時21分。上級水先人が、訓練中の水先人にこう言っている。
c317-1	同形異音語（一般）	人	1時21分。上級水先人が、訓練中の水先人にこう言っている。
c317-1	同形異音語（一般）	人	1時21分。上級水先人が、訓練中の水先人にこう言っている。
c317-1	数詞＋助数詞	1時	1時21分。上級水先人が、訓練中の水先人にこう言っている。
c317-1	数詞＋助数詞	21分	1時21分。上級水先人が、訓練中の水先人にこう言っている。
c317-1	§6の語（キー橋）	水先	1時21分。上級水先人が、訓練中の水先人にこう言っている。
c317-1	§6の語（キー橋）	水先	1時21分。上級水先人が、訓練中の水先人にこう言っている。
c317-2	同形異音語（一般）	下	速力は10ノット以下に保て。
c318-2	数詞＋助数詞	4分	その4分後、明かりが消える。
c401-1	文頭の数字	1	1時25分00秒。低圧の母線が落ちた。
c401-1	数詞＋助数詞	1時	1時25分00秒。低圧の母線が落ちた。
c401-1	数詞＋助数詞	25分	1時25分00秒。低圧の母線が落ちた。
c401-1	数詞＋助数詞	00秒	1時25分00秒。低圧の母線が落ちた。
c401-1	§6の語（キー橋）	母線	1時25分00秒。低圧の母線が落ちた。
c401-2	同形異音語（実績）	間	報告書は、ここからの残り時間を括弧に入れて書いている。マイナス4分9秒。
c401-2	数詞＋助数詞	4分	報告書は、ここからの残り時間を括弧に入れて書いている。マイナス4分9秒。
c401-2	数詞＋助数詞	9秒	報告書は、ここからの残り時間を括弧に入れて書いている。マイナス4分9秒。
c402-1	§6の語（キー橋）	操舵	明かりが消えた。操舵ポンプ3台が全部止まった。
c403-1	小数	8.9	船は8.9ノットで進んでいた。針路142度。
c403-2	小数	3.3	船首から橋までは3200フィート。船の長さの3.3隻ぶんである。
c403-2	数詞＋助数詞	3200フィート	船首から橋までは3200フィート。船の長さの3.3隻ぶんである。
c404-1	同形異音語（実績）	間	舵は、停電した瞬間の中央を向いたまま固まった。
c404-1	§6の語（キー橋）	舵	舵は、停電した瞬間の中央を向いたまま固まった。
c404-3	§6の語（キー橋）	舵	舵は、動かせなかった
c405-1	文頭の数字	3	3秒後の1時25分03秒。航海データ記録装置が、
c405-1	数詞＋助数詞	3秒	3秒後の1時25分03秒。航海データ記録装置が、
c405-1	数詞＋助数詞	1時	3秒後の1時25分03秒。航海データ記録装置が、
c405-1	数詞＋助数詞	25分	3秒後の1時25分03秒。航海データ記録装置が、
c405-1	数詞＋助数詞	03秒	3秒後の1時25分03秒。航海データ記録装置が、
c406-1	§6の語（キー橋）	舵	航海データ記録装置は、位置、速力、針路、舵と機関への指示を、
c407-2	数詞＋助数詞	1分	規則でも求められていない。最初の1分近く、数値が抜けている。
c408-1	文頭の数字	1	1時25分08秒。主機関が止まった。冷却水ポンプが落ちたためである。
c408-1	数詞＋助数詞	1時	1時25分08秒。主機関が止まった。冷却水ポンプが落ちたためである。
c408-1	数詞＋助数詞	25分	1時25分08秒。主機関が止まった。冷却水ポンプが落ちたためである。
c408-1	数詞＋助数詞	08秒	1時25分08秒。主機関が止まった。冷却水ポンプが落ちたためである。
c408-1	§6の語（キー橋）	主機	1時25分08秒。主機関が止まった。冷却水ポンプが落ちたためである。
c409-1	§6の語（キー橋）	錨	船長は、船首の甲板長に錨のそばで待機するよう命じた。
c409-2	同形異音語（一般）	人	上級水先人が指揮を引き取り、舵は効くかと尋ねる。
c409-2	§6の語（キー橋）	水先	上級水先人が指揮を引き取り、舵は効くかと尋ねる。
c409-2	§6の語（キー橋）	舵	上級水先人が指揮を引き取り、舵は効くかと尋ねる。
c410-1	§6の語（キー橋）	操舵	二等航海士と操舵手は、効いていると答えた。
c411-1	文頭の数字	1	1時25分47秒。操舵手が報告する。
c411-1	数詞＋助数詞	1時	1時25分47秒。操舵手が報告する。
c411-1	数詞＋助数詞	25分	1時25分47秒。操舵手が報告する。
c411-1	数詞＋助数詞	47秒	1時25分47秒。操舵手が報告する。
c411-1	§6の語（キー橋）	操舵	1時25分47秒。操舵手が報告する。
c411-2	§6の語（キー橋）	舵	針路が右へ振れています。舵は左いっぱいに当てています。
c412-1	文頭の数字	1	1時25分58秒。停電から58秒。機関室にいた電気技師が気づく。
c412-1	数詞＋助数詞	1時	1時25分58秒。停電から58秒。機関室にいた電気技師が気づく。
c412-1	数詞＋助数詞	25分	1時25分58秒。停電から58秒。機関室にいた電気技師が気づく。
c412-1	数詞＋助数詞	58秒	1時25分58秒。停電から58秒。機関室にいた電気技師が気づく。
c412-1	数詞＋助数詞	58秒	1時25分58秒。停電から58秒。機関室にいた電気技師が気づく。
c412-2	同形異音語（一般）	生	高圧は生きている。落ちているのは低圧だけだ。
c413-1	1モーラ語＋助詞	手で	電気技師は、変圧器につながる遮断器、電気の元栓を2つ、手で閉じた。
c413-1	数詞＋助数詞	2つ	電気技師は、変圧器につながる遮断器、電気の元栓を2つ、手で閉じた。
c413-1	§6の語（キー橋）	変圧器	電気技師は、変圧器につながる遮断器、電気の元栓を2つ、手で閉じた。
c413-1	§6の語（キー橋）	遮断器	電気技師は、変圧器につながる遮断器、電気の元栓を2つ、手で閉じた。
c413-2	§6の語（キー橋）	操舵	明かりが戻り、操舵ポンプ2台が回りはじめる。
c414-1	同形異音語（実績）	話	ほぼ同じ1時25分59秒。上級水先人が電話をかけた。
c414-1	同形異音語（一般）	人	ほぼ同じ1時25分59秒。上級水先人が電話をかけた。
c414-1	数詞＋助数詞	1時	ほぼ同じ1時25分59秒。上級水先人が電話をかけた。
c414-1	数詞＋助数詞	25分	ほぼ同じ1時25分59秒。上級水先人が電話をかけた。
c414-1	数詞＋助数詞	59秒	ほぼ同じ1時25分59秒。上級水先人が電話をかけた。
c414-1	§6の語（キー橋）	水先	ほぼ同じ1時25分59秒。上級水先人が電話をかけた。
c414-2	§6の語（キー橋）	水先	相手は、陸にいる水先人組合の配車係である。
c415-1	同形異音語（実績）	話	電話は7秒で終わっている。このとき橋まで2430フィート。
c415-1	数詞＋助数詞	7秒	電話は7秒で終わっている。このとき橋まで2430フィート。
c415-1	数詞＋助数詞	2430フィート	電話は7秒で終わっている。このとき橋まで2430フィート。
c415-2	小数	8.5	速力8.5ノットで近づいていた。
c416-1	§6の語（キー橋）	舵	電気と舵は戻った。しかし推進は戻らない。
c416-2	同形異音語（一般）	人	主機関は、人が手で掛け直さないと動かない造りである。
c416-2	§6の語（キー橋）	主機	主機関は、人が手で掛け直さないと動かない造りである。
c417-1	文頭の数字	1	1時26分10秒。停電から70秒。非常用の発電機がつながった。
c417-1	数詞＋助数詞	1時	1時26分10秒。停電から70秒。非常用の発電機がつながった。
c417-1	数詞＋助数詞	26分	1時26分10秒。停電から70秒。非常用の発電機がつながった。
c417-1	数詞＋助数詞	10秒	1時26分10秒。停電から70秒。非常用の発電機がつながった。
c417-1	数詞＋助数詞	70秒	1時26分10秒。停電から70秒。非常用の発電機がつながった。
c417-1	§6の語（キー橋）	発電機	1時26分10秒。停電から70秒。非常用の発電機がつながった。
c417-2	文頭の数字	3	3台目の操舵ポンプにも電気が来る。
c417-2	同形異音語（一般）	目	3台目の操舵ポンプにも電気が来る。
c417-2	§6の語（キー橋）	操舵	3台目の操舵ポンプにも電気が来る。
c418-1	文頭の数字	1	1時26分18秒。3台のポンプがそろって回った。
c418-1	数詞＋助数詞	1時	1時26分18秒。3台のポンプがそろって回った。
c418-1	数詞＋助数詞	26分	1時26分18秒。3台のポンプがそろって回った。
c418-1	数詞＋助数詞	18秒	1時26分18秒。3台のポンプがそろって回った。
c418-2	小数	7.5	それでも船首が右へ振れる速さは、毎分7.5度まで上がった。
c418-2	同形異音語（一般）	上	それでも船首が右へ振れる速さは、毎分7.5度まで上がった。
c419-1	文頭の数字	1	1時26分38秒、上級水先人が無線でタグボートを呼ぶ。
c419-1	同形異音語（一般）	人	1時26分38秒、上級水先人が無線でタグボートを呼ぶ。
c419-1	数詞＋助数詞	1時	1時26分38秒、上級水先人が無線でタグボートを呼ぶ。
c419-1	数詞＋助数詞	26分	1時26分38秒、上級水先人が無線でタグボートを呼ぶ。
c419-1	数詞＋助数詞	38秒	1時26分38秒、上級水先人が無線でタグボートを呼ぶ。
c419-1	§6の語（キー橋）	水先	1時26分38秒、上級水先人が無線でタグボートを呼ぶ。
c419-1	§6の語（キー橋）	タグ	1時26分38秒、上級水先人が無線でタグボートを呼ぶ。
c419-2	同形異音語（実績）	話	その6秒後、配車係が州交通局の当直に電話を入れた。
c419-2	数詞＋助数詞	6秒	その6秒後、配車係が州交通局の当直に電話を入れた。
c419-2	§6の語（SL-1）	当直	その6秒後、配車係が州交通局の当直に電話を入れた。
c419-2	§6の語（キー橋）	州交通局	その6秒後、配車係が州交通局の当直に電話を入れた。
c420-2	§6の語（キー橋）	州交通局	配車係は一覧に州交通局の番号を見つけ、昔の訓練どおり、先にそこへ掛けた。
c421-1	文頭の数字	1	1時27分02秒。橋まで1500フィート。
c421-1	数詞＋助数詞	1時	1時27分02秒。橋まで1500フィート。
c421-1	数詞＋助数詞	27分	1時27分02秒。橋まで1500フィート。
c421-1	数詞＋助数詞	02秒	1時27分02秒。橋まで1500フィート。
c421-1	数詞＋助数詞	1500フィート	1時27分02秒。橋まで1500フィート。
c421-2	同形異音語（一般）	人	上級水先人が、左舷の錨を投げよと命じる。
c421-2	§6の語（キー橋）	水先	上級水先人が、左舷の錨を投げよと命じる。
c421-2	§6の語（キー橋）	錨	上級水先人が、左舷の錨を投げよと命じる。
c422-1	同形異音語（一般）	下	その2秒後、船の電気を見張る電力管理装置が、周波数の低下を検知した。
c422-1	数詞＋助数詞	2秒	その2秒後、船の電気を見張る電力管理装置が、周波数の低下を検知した。
c422-2	文頭の数字	3	3号機と4号機が母線から切り離され、高圧も低圧も落ちる。二度目の停電である。
