行	key	val	判定	狙った音	巻き添えの疑い	前の聞取	後の聞取
c606-1	管制官	かんせいかん	見送り（もともと正しい）	カンセエカン		だから管制官は別のやり方を選んだ。	だから管制官は別のやり方を選んだ。
c609-1	管制官	かんせいかん	採用	カンセエカン		バンジー艦がKLMに出した最初の指示はこうだった。	管制官がKLMに出した最初の指示はこうだった。
c611-1	管制官	かんせいかん	採用	カンセエカン		勧獣官はすぐに訂正した。	管政官はすぐに訂正した。
c613-1	管制官	かんせいかん	採用	カンセエカン		管理官の答えは二回続けての否定だった。	管制官の答えは二回続けての否定だった。
c615-1	管制官	かんせいかん	見送り（もともと正しい）	カンセエカン		管制官はその通りだと答えた。滑走路に入り、三番目を左へ出	管制官はその通りだと答えた。滑走路に入り、三番目を左へ出よ。
c620-1	管制官	かんせいかん	効かなかった	カンセエカン	カンセエ→スゴオ	管財官は数えて答えた。	菅生漢は数えて答えた。
c710-1	管制官	かんせいかん	効かなかった	カンセエカン	セエカン→マコトヤスシ	十七時六分五十三秒。関税官が読み上げた。	十七時五分五十三秒。管誠康が読み上げた。
c712-2	管制官	かんせいかん	見送り（もともと正しい）	カンセエカン		管制官は離陸の許可を求められてもいないし、出してもいない。	管制官は離陸の許可を求められてもいないし、出してもいない。
c720-1	管制官	かんせいかん	採用	カンセエカン		十七時六分十八秒。関税官が答えた。まず、OK。	十七時六分十八秒、管制官が答えた。まずOK。
c721-2	管制官	かんせいかん	見送り（もともと正しい）	カンセエカン		管制官はそう送信している。KLMはもう走っている。	管制官はそう送信している。KLMはもう走っている。
c728-1	管制官	かんせいかん	採用	カンセエカン		十七時六分二十五秒、観測艦がパンナムへこう言った。	17時6分25秒。管制官がパンナムへこう言った。
c804-1	管制官	かんせいかん	見送り（もともと正しい）	カンセエカン		訓練の飛行では教官が管制官の役もやる。	訓練の飛行では、教官が管制官の役もやる。
ep07-3	管制官	かんせいかん	採用	カンセエカン		三獣間のOKも適切ではなかった。ただし、離陸はもう始まっていた。	管制官のOKも適切ではなかった。ただし、離陸はもう始まっていた。
c717-1	管制官の側から	かんせいかんの がわから	採用	カンセエカンノガワカラ		漢字絵巻の側から見るとどうなるか。	管制官の側から見るとどうなるか。
c727-3	管制官が言い終える前、パンナムに届いたのは、最後の一音	かんせいかんが言い終える前、パンナムに届いたのは、最後のイチオン	効かなかった	カンセエカンガイイオエルマエパンナムニトドイタノハサイゴノイチオン	セエ→ヨ	管理官が言い終える前、パンナムに届いたのは最後の一音だけだった。	韓世官が言い終える前、パンナムに届いたのは最後の一音だけだった。
c308-1	管制塔	かんせいとう	見送り（もともと正しい）	カンセエトオ	ラ→ジャ	ラス・パルマス空港が開いた後、パンナム機が管制塔を呼んだ。	ジャスパルマス空港が開いた後、パンナム機が管制塔を呼んだ。
c317-1	管制塔	かんせいとう	見送り（もともと正しい）	カンセエトオ		雲が降りると管制塔からは滑走路を走る機体が見えなくなる。	雲が降りると、管制塔からは滑走路を走る機体が見えなくなる。
c401-1	管制塔	かんせいとう	見送り（もともと正しい）	カンセエトオ		KLMは管制塔に出発の予定時刻を尋ね、燃料を足す必要があると伝えた。	KLMは管制塔に出発の予定時刻を尋ね、燃料を足す必要があると伝えた。
c601-2	管制塔	かんせいとう	見送り（もともと正しい）	カンセエトオ		KLNが管制塔を呼び、地上を走る許可を求めた。許可はすぐに出た。	KLMが管制塔を呼び、地上を走る許可を求めた。許可はすぐに出た。
c614-1	管制塔	かんせいとう	見送り（もともと正しい）	カンセエトオ		十七時二分。今度はパンナムが管制塔を呼んだ。	十七時二分、今度はパンナムが管制塔を呼んだ。
c619-1	管制塔	かんせいとう	見送り（もともと正しい）	カンセエトオ		十七時三分二十九秒。パンナムが管制塔に確かめた。	十七時七三分二十九秒。パンナムが管制塔に確かめた。
c718-2	管制塔	かんせいとう	採用	カンセエトオ		カンジェトの録音を初めて一緒に聞いている。	管制塔の録音を初めて一緒に聞いている。
c901-1	管制塔	かんせいとう	採用	カンセエトオ		漢字江島からは何も見えなかった	管制塔からは何も見えなかった。
c902-2	管制塔	かんせいとう	採用	カンセエトオ		カンジエトウにはそれを確かめる手立てがなかった。見えないのである。	管制塔にはそれを確かめる手立てがなかった。見えないのである。
c904-1	管制塔	かんせいとう	採用	カンセエトオ		漢字党はすぐに消防へ警報を出した。	管制塔はすぐに消防へ警報を出した。
c521-1	管制塔は、このことを17時04分58秒	かんせいとうは、このことを十七時四分五十八秒	読みが取れない	カンセエトオハコノコトヲジフンビョオ		三字刀はこのことを十七時六四分五十八秒に僚機へ伝えた。	管制塔はこのことを十七時四分五十八秒に両機へ伝えた。
pr02-1	747	ナナヨンナナ	効かなかった	ナナヨンナナ		その滑走路にボーイング747が2機いた。	その滑走路にボーイング747が二機いた。
c101-1	747	ナナヨンナナ	効かなかった	ナナヨンナナ		Boeing747はジャンボ機と呼ばれ、1970年から飛び始めた。	ボーイング747はジャンボ機と呼ばれ、1970年から飛び始めた。
c102-1	747	ナナヨンナナ	効かなかった	ナナヨンナナ		KLMの機体は登録記号がPH-MIFVという1971年製の747	KLMの機体は登録記号がPHBUFという1971年製の747。
c108-2	747	ナナヨンナナ	効かなかった	ナナヨンナナ		そのうち747での時間は95時間しかなかった。	そのうち七四七での時間は九十五時間しかなかった。
c111-1	747	ナナヨンナナ	効かなかった	ナナヨンナナ		三人目は航空機関士のスルーダー。七四七での時間は五百四十三時間。	三人目は航空機関士のスフルーダー。七四七での時間は五百四十三時間。
c111-3	747	ナナヨンナナ	効かなかった	ナナヨンナナ		当時の七四七の操縦室はこの三人で回していた。	当時の七四七の操縦室はこの三人で回していた。
c114-2	747	ナナヨンナナ	採用	ナナヨンナナ		砂漠47には564時間乗っていた。	七四七には五百六十四時間乗っていた。
c115-2	747	ナナヨンナナ	採用	ナナヨンナナ		航空機関士のワーンズは生47で559時間を飛んでいる。	航空機関士のワーンズは七四七で五百五十九時間を飛んでいる。
c119-1	747	ナナヨンナナ	採用	ナナヨンナナ		1047は大きい分、地上で置く場所も広くいる。	七四七は大きい分、地上で置く場所も広くいる。
c215-1	747	ナナヨンナナ	効かなかった	ナナヨンナナ		一番後ろにパンナムの747が止まった。	一番後ろにパンナムの747が止まった。
c306-1	747	ナナヨンナナ	効かなかった	ナナヨンナナ		誘導路に並んだ五機のうち二機がジャンボ機の七四七である。	誘導路に並んだ五機のうち二機がジャンボ機の七四七である。
c313-2	747	ナナヨンナナ	効かなかった	ナナヨンナナ		隙間は七四七が通り抜けるには足りなかった。	隙間は七四七が通り抜けるには足りなかった。
c701-2	747	ナナヨンナナ	効かなかった	ナナヨンナナ	メエトル→—	幅四十五メートルの上でMark47を回すことになる。	幅四十5mの上で七四七を回すことになる。
c702-2	747	ナナヨンナナ	効かなかった	ナナヨンナナ		幅四十五メートル、霧の中、そして七百四十七。条件が三つとも悪い。	幅四十五メートル、霧の中、そして七四七。条件が三つとも悪い。
c106-2	747での時間は、1,545時間	ナナヨンナナでの時間は、センゴヒャクヨンジュウゴ時間	効かなかった	ナナヨンナナデノジカンハセンゴヒャクヨンジュウゴジカン		そのうち747での時間は1545時間だった。	そのうち七四七での時間は千五百四十五時間だった。
c109-1	747の資格を取ったのは、事故の2か月あまり前の1月19日	ナナヨンナナの資格を取ったのは、事故の2か月あまり前のイチガツ19日	採用	ナナヨンナナノシカクヲトッタノハジコノカゲツアマリマエノイチガツニチ		四四七の資格を取ったのは事故の二ヶ月余り前の1月19日。	七四七の資格を取ったのは事故の二ヶ月余り前の1月19日。
c109-2	1,545時間の人	センゴヒャクヨンジュウゴ時間の人	効かなかった	センゴヒャクヨンジュウゴジカンノヒト		同じ操縦室に1545時間の人と95時間の人が並んでいた	同じ操縦室に1545時間の人と95時間の人が並んでいた。
c115-1	10,800時間のうち、747が	イチマンハッピャク時間のうち、ナナヨンナナが	効かなかった	イチマンハッピャクジカンノオチナナヨンナナガ	グ→ク	副操縦士はブラッグ。 10,800時間のうち 7,047が 2,796時間。	副操縦士はブラック。 一万八百時間のうち七四七が二千七百九十六時間。
c102-2	21,195時間飛び、5,202回着陸	ニマンイッセンヒャクキュウジュウゴ時間飛び、ゴセンニヒャクニ回着陸	効かなかった	ニマンイッセンヒャクキュウジュウゴジカントビゴセンニヒャクニカイチャクリク		この日までに二一千一百九十五時間飛び、五年二百二回着陸していた。	この日までに二万一千百九十五時間飛び、五千二百二回着陸していた。
c103-2	25,725時間	ニマンゴセンナナヒャクニジュウゴ時間	効かなかった	ニマンゴセンナナヒャクニジュウゴジカン		飛んだ時間は二五七二五時間で、KLM機より長く働いていた。	飛んだ時間は二万五千七百二十五時間で、KLM機より長く働いていた。
c106-1	11,700時間	イチマンセンナナヒャク時間	効かなかった	イチマンセンナナヒャクジカン		KLMの機長はフェルトハイゼン・ファン・ザンテン。飛んだ時間は十一千七百時間。	KLMの機長はフェルトハイゼン・ファン・ザンテン。飛んだ時間は一万七百時間。
c114-1	21,043時間	ニマンイッセンヨンジュウサン時間	効かなかった	ニマンイッセンヨンジュウサンジカン		パンナムの機長はグラブス。飛んだ時間は二一千四十三時間である。	パンナムの機長はグラブス。飛んだ時間は二万一千四十三時間である。
c117-1	乗客378人	乗客サンビャクナナジュウハチニン	採用	ジョオキャクサンビャクナナジュウハチニン		パンナム機に乗っていたのは乗員16人と乗客308人。	パンナム機に乗っていたのは、乗員十六人と乗客三百七十八人。
c815-1	乗客234人が乗っていた	乗客ニヒャクサンジュウヨニンが乗っていた	採用	ジョオキャクニヒャクサンジュウヨニンガノッテエタ		KLM機には乗員14人と乗客2034人が乗っていた。	KLM機には乗員14人と乗客234人が乗っていた。
ep10-3	583人が亡くなり	五百八十三人が亡くなり	見送り（もともと正しい）	ニンガナクナリ		二百八十三人が亡くなり、六十一人が生きて出た。一本の滑走路の上である。	五百八十三人が亡くなり、六十一人が生きて出た一本の滑走路の上である。
c303-1	3,400メートル	サンゼンヨンヒャクメートル	効かなかった	サンゼンヨンヒャクメエトル	カッ→—／ロ→ル	滑走路は一本しかない。長さ三四零零メートル、幅四十五メートル。	ソウルは一本しかない。長さ三千四百メートル、幅四十五メートル。
c403-1	55,500リットル	ゴマンゴセンゴヒャクリットル	効かなかった	ゴマンゴセンゴヒャクリットル		実際に入れた量は五十五点五百リットル。	実際に入れた量は五万五千五百リットル。
c405-2	25分の飛行に、55,500リットル	ニジュウゴフンの飛行に、ゴマンゴセンゴヒャクリットル	効かなかった	ニジュウゴフンノヒコオニゴマンゴセンゴヒャクリットル		二十五分の飛行に五十五点五百リットルは多すぎる。	二五分の飛行に五万五千五百リットルは多すぎる。
c701-1	180度向きを	ヒャクハチジュウド向きを	効かなかった	ヒャクハチジュウドムキヲ		KLMは滑走路の端に着いた。そこで度向きを変える。	KLMは滑走路の端に着いた。そこで度向きを変える。
pr05-1	4805便	四千八百五便	見送り（もともと正しい）	ビン	—→イ	実機はKLMオランダ航空の四三八六便。朝九時にアムステルダムを出ていた。	行きはKLMオランダ航空の四千八百五便。朝九時にアムステルダムを出ていた。
c104-1	4805便	四千八百五便	見送り（もともと正しい）	ビン		KLMの四八六五便は定期便ではない。	KLMの四千八百五便は定期便ではない。
c210-2	4805便	四千八百五便	見送り（もともと正しい）	ビン		三八八零号便の乗り継ぎの客であることを示すカードである。	四千八百五便の乗り継ぎの客であることを示すカードである。
c809-1	17時06分43秒	十七時六分四十三秒	見送り（もともと正しい）	ジフンビョオ		十二時六分四十三秒、副操縦士がV1と告げた。	十七時六分四十三秒、副操縦士がV1と告げた。
c706-1	17時05分41秒	十七時五分四十一秒	見送り（もともと正しい）	ジフンビョオ		十七時六分四十一秒。記録装置に出力を進める動きが残っている。	十七時五分四十一秒。記録装置に出力を進める動きが残っている。
pr01-1	1977年3月27日の夕方	千九百七十七年三月二十七日の夕方	採用	ネンサンガツニチノユウガタ		1977年3月21日の夕方5時過ぎ、スペインのカナリア諸島	1977年3月27日の夕方5時過ぎ、スペインのカナリア諸島
ep10-2	1977年3月27日、17時06分50秒	千九百七十七年三月二十七日、十七時六分五十秒	効かなかった	ネンサンガツニチジフンビョオ		1977年3月27日17時6分50秒。	1972年3月27日11時6分50秒。
pr04-3	二機とも	ニキとも	採用	ニキトモ		2人とも来るはずのない空港にいた。	二機とも来るはずのない空港にいた。
c217-2	二機とも	ニキとも	採用	ニキトモ		2人とも本来の行き先へ向かう準備を始めることになる。	二機とも本来の行き先へ向かう準備を始めることになる。
c907-1	駐まっている	とまっている	採用	トマッテエル	チュウ→ト	人にも車にも、つづまっている機体にもぶつかり得る。	人にも車にも止まっている機体にもぶつかり得る。
c716-2	ブレーキが放された	ブレーキが はなされた	採用	ブレエキガハナサレタ		記録ではブレーキが外されたのは十七時六分十一秒。	記録ではブレーキが離されたのは十七時六分十一秒。
c316-1	30側の端	30がわの端	効かなかった	ガワノハジ	—→ミエ	三重瀬川の橋は六百十メートル	三重川の橋は六百十メートル。
c316-2	12側の端	12がわの端	効かなかった	ガワノハジ		十二沢の橋は六百二十九メートル。	十二川の橋は六百二十九メートル。
c214-2	SATAの	サタの	採用	サタノ	テ→デ	ブラーテンスの七三七、スターリングの七二七、サターのDC-8である。	ブラーデンスの737、スターリングの727、SATAのDC8である。
