場面	一致率	送った文	聞こえた文	送信文
c103-2	1.000	遠く離れたレーダー基地に、電気と熱を送るための試作機である。	遠く離れたレーダー基地に電気と熱を送るための試作機である	遠く離れたレーダー基地に、電気と熱を送るための試作機である。
c104-1	0.902	もとの名前は、アルゴンヌ低出力炉。頭文字をとって ALPR。	元の名前はアルゴンヌ低出力炉。頭文字を取ってALPR。	もとの名前は、アルゴンヌ低出力炉。頭文字をとって ALPR。
c104-2	0.810	のちに軍の呼び名にあわせ、SL-1 と改められた。	後に軍の呼び名に合わせ、3L1と改められた。	のちに軍の呼び名にあわせ、SL-1 と改められた。
c105-1	0.944	報告書は、この型の利点を4つ挙げている。	報告書はこの方の利点を四つ挙げている。	報告書は、この型の利点を4つ挙げている。
c105-2	1.000	貨物機で運べる。1回の燃料で3年動く。	貨物機で運べる。一回の燃料で三年動く。	貨物機で運べる。1回の燃料で3年動く。
c106-1	1.000	地面の上に建てられるので、極地でも工事ができる。	地面の上に建てられるので、極地でも工事ができる。	地面の上に建てられるので、極地でも工事ができる。
c106-2	1.000	そして、大量の水を必要としない。	そして大量の水を必要としない	そして、大量の水を必要としない。
c107-1	1.000	つまり、遠い場所に運んで、そこで動かすための炉だった。	つまり遠い場所に運んでそこで動かすための炉だった。	つまり、遠い場所に運んで、そこで動かすための炉だった。
c107-2	1.000	建設は、1957年に始まった。	建設は1957年に始まった。	建設は、1957年に始まった。
c108-1	0.895	円筒の鋼板を組み上げ、その中に炉を入れる。	円筒の後半を組み上げ、その中に炉を入れる。	円筒の鋼板を組み上げ、その中に炉を入れる。
c108-2	0.950	地下には掘らない。地面の上に、そのまま立てる。	地下には掘らない。地面の上にそのまま建てる。	地下には掘らない。地面の上に、そのまま立てる。
c109-1	0.906	出力は、熱で3000キロワット。取り出す電気は300キロワット、	出力は熱で三千キロワット、取り出す電気は三百キロワット。	出力は、熱で3000キロワット。取り出す電気は300キロワット、
c109-2	0.933	暖房の熱が400キロワットである。	暖房の熱が四百キロワットである。	暖房の熱が400キロワットである。
c110-1	0.979	中心にあるのが圧力容器。高さはおよそ14フィート半。	中心にあるのが圧力容器。高さはおよそ十四フィート半	中心にあるのが圧力容器。高さはおよそ14フィート半。
c110-2	1.000	厚さ4分の3インチの鋼でできた、縦長の筒である。	厚さ四分の三インチの鋼でできた縦長の筒である。	厚さ4分の3インチの鋼でできた、縦長の筒である。
c111-1	0.980	その中に、燃料が40体入っている。1体は9枚の板の束で、	その中に燃料が四十体入っている。一体は九枚の板の束で	その中に、燃料が40体入っている。1体は9枚の板の束で、
c111-2	0.774	ウラン235は、全部で14キログラム。	ウラン235は全部で14kg	ウラン235は、全部で14キログラム。
c112-1	0.864	濃縮度は91パーセント。試験炉らしい、高い数字である。	濃縮度は九十一%。試験炉らしい高い数字である。	のうしゅくどは91パーセント。試験炉らしい、高い数字である。
c112-2	1.000	板の側面には、ホウ素を含んだ帯が溶接してあった。	板の側面には、ホウ素を含んだ帯が溶接してあった。	板の側面には、ほうそを含んだ帯が溶接してあった。
c113-1	1.000	このホウ素は、反応が進みすぎないよう抑える役をしている。	このホウ素は反応が進みすぎないよう抑える役をしている。	このホウ素は、反応が進みすぎないよう抑える役をしている。
c113-2	1.000	ところが、そのホウ素が、炉の中から減っていた。	ところが、そのホウ素が炉の中から減っていた。	ところが、そのホウ素が、炉の中から減っていた。
c114-1	0.964	報告書は「何らかの分からない仕組みで、ホウ素が失われた」と書き、	報告書は何らかのわからない仕組みでホウ素が失われたと書き	報告書は「何らかの分からない仕組みで、ホウ素が失われた」と書き、
c114-2	1.000	どれだけ失われたかは決められない、と続けている。	どれだけ失われたかは決められないと続けている。	どれだけ失われたかは決められない、と続けている。
c115-1	0.955	対策として、カドミウムの板を6枚、炉に差してある。	対策としてカドミウムの板を六枚炉に挿してある。	対策として、カドミウムの板を6枚、炉に差してある。
c115-2	1.000	2番と6番の棒の溝に、3枚ずつ。	二番と六番の棒の溝に三枚ずつ	2番と6番の棒の溝に、3枚ずつ。
c116-1	1.000	制御棒は5本。カドミウムを金属で挟んだ、十字の板である。	制御棒は五本、カドミウムを金属で挟んだ十字の板である。	制御棒は5本。カドミウムを金属で挟んだ、十字の板である。
c116-2	1.000	1本の重さは、およそ22キログラム。	一本の重さはおよそ二十二キログラム。	1本の重さは、およそ22キログラム。
c117-1	1.000	棒はラックとピニオン、つまり歯棒と歯車で上下する。	棒はラックとピニオン、つまり歯棒と歯車で上下する。	棒はラックとピニオン、つまり歯棒と歯車で上下する。
c117-2	1.000	電磁クラッチの電流を切ると、棒は自分の重さで落ちる。	電磁クラッチの電流を切ると、棒は自分の重さで落ちる。	電磁クラッチの電流を切ると、棒は自分の重さで落ちる。
c118-1	0.936	全行程は30インチ。落としきるまで2秒とかからない。	全工程は三十インチ。落としきるまで二秒とかからない。	全行程は30インチ。落としきるまで2秒とかからない。
c118-2	1.000	これが緊急停止、スクラムである。	これが緊急停止、スクラムである。	これが緊急停止、スクラムである。
c119-1	1.000	放射線を止めているのは、主に砂利である。	放射線を止めているのは主に砂利である。	放射線を止めているのは、主に砂利である。
c119-2	1.000	12フィートで足りると見積もられたが、16フィート入れてあった。	12フィートで足りると見積もられたが、16フィート入れてあった。	12フィートで足りると見積もられたが、16フィート入れてあった。
c120-1	1.000	炉の蓋の上には、放射線を遮る鋼と板と、コンクリートのブロックが載る。	炉の蓋の上には放射線を遮る鋼と板とコンクリートのブロックが載る。	炉の蓋の上には、放射線を遮る鋼と板と、コンクリートのブロックが載る。
c120-2	1.000	これが遮蔽ブロック。炉の中心から半径6フィートを覆っている。	これが遮蔽ブロック。炉の中心から半径六フィートを覆っている	これが遮蔽ブロック。炉の中心から半径6フィートを覆っている。
c121-1	1.000	そしてここに、この炉の作りが出ている。	そしてここにこの炉の作りが出ている。	そしてここに、この炉の作りが出ている。
c121-2	1.000	報告書の3ページに、こう書いてある。	報告書の三ページにこう書いてある	報告書の3ページに、こう書いてある。
c121-3	1.000	遮蔽ブロックは、外さないと届かない	遮蔽ブロックは外さないと届かない。	遮蔽ブロックは、外さないと届かない
c122-1	1.000	初めて臨界、つまり核反応がひとりでに続く状態になったのは、	初めて臨界、つまり核反応がひとりでに続く状態になったのは	初めて臨界、つまり核反応がひとりでに続く状態になったのは、
c122-2	1.000	1958年8月11日。翌年2月から、運転は民間の会社に移っている。	1958年8月11日。翌年2月から運転は民間の会社に移っている。	1958年8月11日。翌年2月から、運転は民間の会社に移っている。
c123-1	1.000	事故までの運転量は、炉の寿命のおよそ4割。	事故までの運転量は炉の寿命のおよそ四割。	事故までの運転量は、炉の寿命のおよそ4割。
c123-2	1.000	燃料は、まだ半分も使っていなかった。	燃料はまだ半分も使っていなかった。	燃料は、まだ半分も使っていなかった。
c201-1	0.984	運転員は、軍から来ていた。訓練はバージニア州のフォート・ベルボアで、	運転員は軍から来ていた。訓練はバージニア州のフォートベルボーアで	運転員は、軍から来ていた。訓練はバージニア州のフォート・ベルボアで、
c201-2	0.818	8か月の課程から始まる。	八ヶ月の過程から始まる	8か月の課程から始まる。
c202-1	0.960	前半の4か月は座学。機械、電気、原子力、そして放射線の管理。	前半の四ヶ月は座学。機械、電気、原子力、そして放射線の管理。	前半の4か月は座学。機械、電気、原子力、そして放射線の管理。
c202-2	0.950	後半の4か月は、専門ごとの保守の実習である。	後半の四ヶ月は専門ごとの保守の実習である	後半の4か月は、専門ごとの保守の実習である。
c203-1	0.930	そのあと現場に配属され、最初の3週間はまた座学。	その後現場に配属され、最初の三週間はまた座学	そのあと現場に配属され、最初の3週間はまた座学。
c203-2	0.941	それから、当直の班に入って実地に就く。	それから当直の班に入って実地につく。	それから、当直の班に入って実地に就く。
c204-1	0.962	およそ3か月働くと、筆記試験がある。通れば、口頭試問が2回。	およそ三ヶ月働くと筆記試験がある。通れば口頭試問が二回。	およそ3か月働くと、筆記試験がある。通れば、口頭試問が2回。
c204-2	1.000	軍の側と、運転を請け負った会社の側である。	軍の側と運転を請け負った会社の側である	軍の側と、運転を請け負った会社の側である。
c205-1	0.927	両方に通って、はじめて運転員として認定される。	両方に通って初めて運転員として認定される。	両方に通って、はじめて運転員として認定される。
c205-2	0.955	当直長になるには、そこからさらに6か月かかった。	当直長になるには、そこからさらに六ヶ月かかった。	当直長になるには、そこからさらに6か月かかった。
c206-1	1.000	報告書は、その夜いた3人の名前を本文に書いていない。	報告書はその夜いた三人の名前を本文に書いていない。	報告書は、その夜いた3人の名前を本文に書いていない。
c206-2	0.927	書いてあるのは、この訓練の仕組みのほうである。	書いてあるのはこの訓練の仕組みの方である。	書いてあるのは、この訓練の仕組みのほうである。
c207-1	1.000	炉は、年末年始を挟んで止まっていた。	炉は年末年始を挟んで止まっていた。	炉は、年末年始を挟んで止まっていた。
c207-2	1.000	止めたのは1960年12月23日。クリスマス休暇のためである。	止めたのは1960年12月23日、クリスマス休暇のためである。	止めたのは1960年12月23日。クリスマス休暇のためである。
c208-1	0.955	12月27日から30日にかけて、点検と計器の校正、	十二月二十七日から三十日にかけて点検と計器の校正	12月27日から30日にかけて、点検と計器の校正、
c208-2	0.844	復水ポンプの改造、弁と配管の工事が行われている。	伏水ポンプの改造、ベント配管の工事が行われている。	復水ポンプの改造、弁と配管の工事が行われている。
c209-1	0.933	年が明けて1月3日。深夜0時から朝8時の当直4人が、建物を開けた。	年が明けて一月三日、深夜零時から朝八時の当直四人が建物を空けた。	年が明けて1月3日。深夜0時から朝8時の当直4人が、建物を開けた。
c209-2	0.941	最初の作業は、炉の蓋のまわりから遮蔽ブロックを外すこと。	最初の作業は炉の蓋の周りから遮蔽ブロックを外すこと	最初の作業は、炉の蓋のまわりから遮蔽ブロックを外すこと。
c210-1	1.000	次に、圧力容器を水で満たす。上端から1フィート下まで。	次に圧力容器を水で満たす。上端から一フィート下まで。	次に、圧力容器を水で満たす。上端から1フィート下まで。
c210-2	0.884	そのうえで、制御棒の駆動部と栓を取り外している。	その上で制御棒の駆動部と線を取り外している。	そのうえで、制御棒の駆動部と栓を取り外している。
c211-1	1.000	それから、水位を蓋の下から6インチのところまで下げた。	それから水位を蓋の下から六インチのところまで下げた。	それから、水位を蓋の下から6インチのところまで下げた。
c211-2	1.000	次の作業のためである。	次の作業のためである。	次の作業のためである。
c212-1	1.000	1月3日の日中、44本の細い棒が炉に差し込まれた。	1月3日の日中、44本の細い棒が炉に差し込まれた。	1月3日の日中、44本の細い棒が炉に差し込まれた。
c212-2	0.905	燃料の板と板のあいだに入れる、測定用の棒である。	燃料の板と板の間に入れる測定用の棒である。	燃料の板と板のあいだに入れる、測定用の棒である。
c213-1	1.000	アルミの管の中に、コバルトを混ぜた線が短く入っている。	アルミの管の中にコバルトを混ぜた線が短く入っている	アルミの管の中に、コバルトを混ぜた線が短く入っている。
c213-2	0.936	中性子がどこにどれだけ来たかを、あとから測る道具だ。	中性子がどこにどれだけ来たかを後から測る道具だ。	中性子がどこにどれだけ来たかを、あとから測る道具だ。
c214-1	1.000	午後4時。3人の当直が、日勤の班と交代した。	午後四時、三人の当直が日勤の班と交代した。	午後4時。3人の当直が、日勤の班と交代した。
c214-2	1.000	その夜やることは、指示書に9項目、書かれていた。	その夜やることは指示書に九項目書かれていた	その夜やることは、指示書に9項目、書かれていた。
c215-1	0.938	1、炉の水を汲み下げる。手順書54番。	一、炉の水をくみ下げる。手順書五十四番。	1、炉の水を汲み下げる。手順書54番。
c215-2	0.971	2、制御棒を組み直し、栓を入れ、遮蔽ブロックを戻す。ただし上の蓋は開けたまま。	二、制御棒を組み直し、線を入れ、遮蔽ブロックを戻す。ただし、上の蓋は開けたまま。	2、制御棒を組み直し、栓を入れ、遮蔽ブロックを戻す。ただし上の蓋は開けたまま。
c216-1	1.000	3、棒の駆動モーターをつなぐ。4、制御棒の位置をゼロに合わせる。	三、棒の駆動モーターをつなぐ。四、制御棒の位置をゼロに合わせる。	3、棒の駆動モーターをつなぐ。4、制御棒の位置をゼロに合わせる。
c216-2	0.917	5、始動確認表を通す。6、冷えた状態で棒を落としてみる。	五、指導確認表を通す。六、冷えた状態で棒を落としてみる。	5、しどう確認表を通す。6、冷えた状態で棒を落としてみる。
c217-1	0.917	7、300ポンドまで圧をかけて漏れを見る。上の栓を戻す。	七、三百ポンドまで圧をかけて漏れを見る。上の線を戻す。	7、300ポンドまで圧をかけて漏れを見る。上の栓を戻す。
c217-2	0.939	8、熱い状態で棒を落とす。9、3000キロワットまで上げる。	八、熱い状態で棒を落とす。九、三千キロワットまで上げる。	8、熱い状態で棒を落とす。9、3000キロワットまで上げる。
c218-1	1.000	順番に見ていくと、この夜は「起動の前の日」にあたる。	順番に見ていくと、この夜は「起動の前の日」にあたる。	順番に見ていくと、この夜は「起動の前の日」にあたる。
c218-2	1.000	動かすのは翌朝で、その夜は、そのための組み立てだった。	動かすのは翌朝で、その夜はそのための組み立てだった。	動かすのは翌朝で、その夜は、そのための組み立てだった。
c219-1	1.000	制御棒を組み直すというのは、外してあった駆動部を、	制御棒を組み直すというのは、外してあった駆動部を	制御棒を組み直すというのは、外してあった駆動部を、
c219-2	1.000	炉の中の棒に、もう一度つなぐ作業のことである。	炉の中の棒にもう一度つなぐ作業のことである。	炉の中の棒に、もう一度つなぐ作業のことである。
c220-1	1.000	ただし、その作業を具体的にどう行うかは、	ただし、その作業を具体的にどう行うかは	ただし、その作業を具体的にどう行うかは、
c220-2	1.000	この報告書には書かれていない。原因を扱う報告書は、別にある。	この報告書には書かれていない。原因を扱う報告書は別にある。	この報告書には書かれていない。原因を扱う報告書は、別にある。
c221-1	0.913	運転日誌の最後の記載は、午後5時半から9時のあいだ。	運転日誌の最後の記載は午後五時半から九時の間。	運転日誌の最後の記載は、午後5時半から9時のあいだ。
c221-2	0.963	「炉の水槽を汲んだ。水位計が目盛りに入った。プラス5フィート」。	炉の水槽を組んだ。水位計が目盛りに入った。プラス五フィート。	「炉の水槽を汲んだ。水位計が目盛りに入った。プラス5フィート」。
c222-1	1.000	「全部の棒に、栓と筒などを戻している」。	全部の棒に栓と筒などを戻している。	「全部の棒に、栓と筒などを戻している」。
c222-2	1.000	指示書の2番、そのままである。	指示書の二番、そのままである。	指示書の2番、そのままである。
c223-1	1.000	そして報告書は、5ページでこう書いている。	そして報告書は五ページでこう書いている。	そして報告書は、5ページでこう書いている。
c223-2	1.000	その2番の作業中だった	その二番の作業中だった	その2番の作業中だった
c301-1	1.000	午後9時1分に何が起きたのかを、見た人はいない。	午後九時一分に何が起きたのかを見た人はいない。	午後9時1分に何が起きたのかを、見た人はいない。
c301-2	0.914	その場にいた3人は、みな亡くなっている。	その場にいた三人は皆亡くなっている。	その場にいた3人は、みな亡くなっている。
c302-1	1.000	記録に残っているのは、3つ。建屋の熱の警報。	記録に残っているのは三つ。建屋の熱の警報	記録に残っているのは、3つ。建屋の熱の警報。
c302-2	1.000	0.9マイル離れた門衛所の測定器。そして、止まった制御盤。	0.9マイル離れた門衛所の測定器、そして止まった制御盤。	0.9マイル離れた門衛所の測定器。そして、止まった制御盤。
c303-1	0.927	外から見えたものは、いつもどおりの蒸気だった。	外から見えたものはいつも通りの蒸気だった。	外から見えたものは、いつもどおりの蒸気だった。
c303-2	1.000	音も、光も、外には出ていない。	音も光も外には出ていない。	音も、光も、外には出ていない。
c304-1	1.000	報告書は前書きで、建屋の損傷は「わずか」だったと書いている。	報告書は前書きで建屋の損傷はわずかだったと書いている。	報告書は前書きで、建屋の損傷は「わずか」だったと書いている。
c304-2	1.000	壊れたのは、建物ではなかった。	壊れたのは建物ではなかった。	壊れたのは、建物ではなかった。
c305-1	1.000	1月6日、屋根に穴が開いたように見え、空から撮り直している。	一月六日。屋根に穴が開いたように見え、空から撮り直している。	1月6日、屋根に穴が開いたように見え、空から撮り直している。
c305-2	1.000	穴に見えたのは、排気口に巻いてあった布だった。	穴に見えたのは排気口に巻いてあった布だった。	穴に見えたのは、排気口に巻いてあった布だった。
c306-1	0.895	円筒にも、下の杭にも、目に見える損傷は無い。	円頭にも下の杭にも目に見える損傷はない。	円筒にも、下の杭にも、目に見える損傷は無い。
c306-2	0.985	建屋から25フィート離れて、毎時2.5レントゲン。放射線の、当時の単位だ。	建屋から二十五フィート離れて毎時二点五レントゲン。放射線の当時の単位だ。	たてやから25フィート離れて、毎時2.5レントゲン。放射線の、当時の単位だ。
c307-1	1.000	つまり、壊れたのは中だけである。	つまり壊れたのは中だけである。	つまり、壊れたのは中だけである。
c307-2	1.000	では中はどうなっていたのか。それを見るまでに、時間がかかった。	では、中はどうなっていたのか。それを見るまでに時間がかかった。	では中はどうなっていたのか。それを見るまでに、時間がかかった。
c308-1	0.970	動画で撮れたのが2月22日。テレビカメラを入れたのが3月16日と17日。	動画で撮れたのが二月二十二日。テレビカメラを入れたのが三月十六日と十七日。	動画で撮れたのが2月22日。テレビカメラを入れたのが3月16日と17日。
c308-2	0.929	事故から、2か月半が経っている。	事故から二ヶ月半が経っている。	事故から、2か月半が経っている。
c309-1	1.000	写した絵を読んだのは、海軍の写真判読センターと、	写した絵を読んだのは海軍の写真判読センターと	写した絵を読んだのは、海軍の写真判読センターと、
c309-2	1.000	運転を請け負った会社の技術者たちである。	運転を請け負った会社の技術者たちである。	運転を請け負った会社の技術者たちである。
c310-1	1.000	炉心には、1番から9番まで番号が振ってある。	炉心には一番から九番まで番号が振ってある	炉心には、1番から9番まで番号が振ってある。
c310-2	1.000	制御棒の位置である。読み取りは、その番号ごとに並んでいる。	制御棒の位置である。読み取りはその番号ごとに並んでいる	制御棒の位置である。読み取りは、その番号ごとに並んでいる。
c312-1	1.000	1番と3番。棒を囲う覆いは、折れ、ねじれ、	一番と三番。棒を囲う覆いは折れ、ねじれ	1番と3番。棒を囲う覆いは、折れ、ねじれ、
c312-2	0.952	炉心を囲う鋼の筒、熱遮蔽に押しつけられていた。	炉心を囲う鋼の筒、熱遮蔽に押し付けられていた	炉心を囲う鋼の筒、熱遮蔽に押しつけられていた。
c312-3	1.000	3番では、棒があった場所に、口の開いた穴が残っている。	三番では棒があった場所に口の開いた穴が残っている。	3番では、棒があった場所に、口の開いた穴が残っている。
c314-1	1.000	4番。覆いは、壁の配管に叩きつけられている。	四番、覆いは壁の配管に叩きつけられている。	4番。覆いは、壁の配管に叩きつけられている。
c314-2	0.951	1インチ半の給水管は、上端が引きちぎられ、3番のほうへねじれていた。	一インチ半の給水管は上端が引きちぎられ、三番の方へねじれていた。	1インチ半の給水管は、上端が引きちぎられ、3番のほうへねじれていた。
c316-1	0.852	7番。棒と覆いは6インチから8インチ、壁のほうへずれていた。	七番、ボート覆いは六インチから八インチ壁の方へずれていた。	7番。棒と覆いは6インチから8インチ、壁のほうへずれていた。
c316-2	0.963	棒の延長と歯棒も、継手のところで曲がるか、折れるかしている。	棒の延長と羽棒も継手のところで曲がるか折れるかしている。	棒の延長と歯棒も、つぎ手のところで曲がるか、折れるかしている。
c317-1	0.963	8番。覆いは燃料の高さでねじれ、熱遮蔽に押しつけられていた。	八番。覆いは燃料の高さでねじれ、熱遮蔽に押し付けられていた。	8番。覆いは燃料の高さでねじれ、熱遮蔽に押しつけられていた。
c317-2	1.000	押さえ具はひどくねじれ、隙間に燃料箱の蓋が挟まっている。	押さえ具はひどくねじれ、隙間に燃料箱の蓋が挟まっている。	押さえ具はひどくねじれ、隙間に燃料箱の蓋が挟まっている。
c318-1	1.000	5番と6番は、ほとんど読み取れていない。	五番と六番はほとんど読み取れていない。	5番と6番は、ほとんど読み取れていない。
c318-2	1.000	どちらも、9番の影に入っていたからである。	どちらも九番の影に入っていたからである。	どちらも、9番の影に入っていたからである。
c319-1	1.000	では9番はどこにあったのか。9番の場所は、	では九番はどこにあったのか。九番の場所は	では9番はどこにあったのか。9番の場所は、
c319-2	1.000	9番自身の刃に塞がれていた。	九番。自身の刃に塞がれていた。	9番自身の刃に塞がれていた。
c320-1	0.872	刃はほぼ水平に倒れ、1番と2番のあたりから、	葉はほぼ水平に倒れ、一番と二番の辺りから	刃はほぼ水平に倒れ、1番と2番のあたりから、
c320-2	0.889	6番と7番のほうへ渡っていた。	六番と七番の方へ渡っていた。	6番と7番のほうへ渡っていた。
c321-1	0.933	その刃の外側の被覆は、破れ、ねじれ、	その歯の外側の被覆は破れ、ねじれ	その刃の外側の被覆は、破れ、ねじれ、
c321-2	1.000	中心の板から、部分ごとに剥がれていた。	中心の板から部分ごとに剥がれていた	中心の板から、部分ごとに剥がれていた。
c322-1	0.969	下の散水環、つまり炉心に水をかける輪の管は、壁から引きちぎられていた。	下の散水管、つまり炉心に水をかける輪の管は壁から引きちぎられていた。	下の散水環、つまり炉心に水をかける輪の管は、壁から引きちぎられていた。
c322-2	1.000	8番の上あたりでは、炉心の面より6フィート上まで持ち上がっている。	八番の上あたりでは炉心の面より六フィート上まで持ち上がっている。	8番の上あたりでは、炉心の面より6フィート上まで持ち上がっている。
c323-1	0.950	しかもその上に、燃料箱の蓋が2枚、載っていた。	しかもその上に燃料箱の蓋が二枚乗っていた。	しかもその上に、燃料箱の蓋が2枚、載っていた。
c323-2	0.926	上の散水環も何か所かで壁から外れ、炉心の上を横切っていた。	上の散水管も何箇所かで壁から外れ、炉心の上を横切っていた。	上の散水環も何か所かで壁から外れ、炉心の上を横切っていた。
c324-1	0.923	数えられた燃料箱は19個。あと2個は、たぶんそれだろう、という判定である。	数えられた燃料箱は19個、あと2個は多分それだろうという判定である。	数えられた燃料箱は19個。あと2個は、たぶんそれだろう、という判定である。
c324-2	1.000	4つの蓋は、それとは別に見つかっている。	四つの蓋はそれとは別に見つかっている。	4つの蓋は、それとは別に見つかっている。
c325-1	1.000	燃料そのものは、半分ほどが見分けられた。	燃料そのものは半分ほどが見分けられた。	燃料そのものは、半分ほどが見分けられた。
c325-2	0.880	いずれもねじれ、潰れ、もとの位置から壁のほうへ動いていた。	いずれもねじれ、潰れ、元の位置から壁の方へ動いていた。	いずれもねじれ、潰れ、もとの位置から壁のほうへ動いていた。
c326-1	1.000	そして9番について、運転会社の判読はこう書いている。	そして九番について運転会社の判読はこう書いている。	そして9番について、運転会社の判読はこう書いている。
c326-2	0.929	9番は、炉から完全に外れていた	九番はロから完全に外れていた。	9番は、炉から完全に外れていた
c327-1	0.923	炉心の構造の上に、載っていた。	炉心の構造の上に乗っていた	炉心の構造の上に、載っていた。
c327-2	0.903	一方、圧力容器の壁にも熱遮蔽にも損傷は無い。水も、まったく見えなかった。	一方、圧力容器の壁にも熱遮蔽にも損傷はない。水も全く見えなかった。	一方、圧力容器の壁にも熱遮蔽にも損傷は無い。水も、まったく見えなかった。
c328-1	1.000	判読の結論は、ここで止まる。炉心が全体として乱れた、と。	判読の結論はここで止まる。炉心が全体として乱れたと	判読の結論は、ここで止まる。炉心が全体として乱れた、と。
c328-2	0.963	棒がどれだけ動き、何秒だったのかは、この208ページに無い。	棒がどれだけ動き、何秒だったのかはこの 208ページにない	棒がどれだけ動き、何秒だったのかは、この208ページに無い。
c401-1	1.000	午後9時1分。炉の建屋にある、熱を感じる警報が鳴った。	午後九時一分、炉の建屋にある熱を感じる警報が鳴った。	午後9時1分。炉の建屋にある、熱を感じる警報が鳴った。
