行	テイク数	判定	各テイクの聞取	本文
c419-1	3	採用（文字起こしが台本と合う）	take1: 一時二十六分三十八秒。上級。推薦人が無線でタグボートを呼ぶ。 || take2: 一時二十六分三十八秒。上級。推薦人が無線でタグボートを呼ぶ。 || take3: 一時二十六分三十八秒、上級水先人が無線でタグボートを呼ぶ。	1時26分38秒、上級水先人が無線でタグボートを呼ぶ。
c421-2	3	要耳（全テイク落ち・所見最少を採用）	take1: 上級推薦人が「左舷の錨を投げよう」と命じる || take2: 上級推薦人が左舷の錨を投げよと命じる。 || take3: 承久随遷人が左舷の錨を投げよと命じる。	上級水先人が、左舷の錨を投げよと命じる。
c423-2	3	要耳（全テイク落ち・所見最少を採用）	take1: 血圧が戻る。それでも手気管は止まったままである。 || take2: 低圧が戻る。それでも手記感は止まったままである。 || take3: 軽圧が戻る。それでも手気管は止まったままである。	低圧が戻る。それでも主機関は止まったままである。
c424-2	3	要耳（全テイク落ち・所見最少を採用）	take1: スク力7.5ノット || take2: 風強きく七点五ノット || take3: 水陸七点五ノット	速力7.5ノット。
c503-2	1	採用（文字起こしが台本と合う）	take1: 南端の警官も北行きを塞いだ。	南端の警官も、北行きを塞いだ。
c504-2	1	採用（文字起こしが台本と合う）	take1: この後、橋に入った一般の車は一台もない。	このあと、橋に入った一般の車は1台も無い。
c505-2	1	採用（文字起こしが台本と合う）	take1: 水先人と配車係と州交通局の素早さがより大きな人命の損失を防いだ	水先人と配車係と州交通局の素早さが、より大きな人命の損失を防いだ、と。
c506-2	1	採用（文字起こしが台本と合う）	take1: 警官はこう答えた。	警官は、こう答えた。
c511-2	1	採用（文字起こしが台本と合う）	take1: 警官と橋の上の作業員や点検員の間に即時の連絡の取り決めはなかった。	警官と、橋の上の作業員や点検員のあいだに、即時の連絡の取り決めは無かった。
c514-2	3	要耳（全テイク落ち・所見最少を採用）	take1: 対十八景観の四台からはおよそ五百十六メートルである。 || take2: 第十八警官の四大からはおよそ五百十六メートルである。 || take3: 第十八警官の四大からはおよそ516mである。	第18径間の4台からは、およそ516メートルである。
c520-1	3	採用（文字起こしが台本と合う）	take1: 一時五十五分、州交通局警察の手が二十番焼却の近くでその一人を見つけた。 || take2: 一時五十五分、州交通局警察の手が二〇番馬脚の近くでその一人を見つけた。 || take3: 一時五十五分、州交通局警察の点が二十番橋脚の近くでその一人を見つけた。	1時55分。州交通局警察の艇が、20番橋脚の近くでその1人を見つけた。
c521-2	1	採用（文字起こしが台本と合う）	take1: 警官と同じ頃に点検員と作業員にも伝わっていたら	警官と同じころに、点検員と作業員にも伝わっていたら。
c601-1	1	採用（文字起こしが台本と合う）	take1: 船主の右舷が当たったのは十七番橋脚の北西の柱だった。	船首の右舷が当たったのは、17番橋脚の北西の柱だった。
c602-1	1	採用（文字起こしが台本と合う）	take1: 当たった時の力を橋の設計指針の式で出してみると	当たったときの力を、橋の設計指針の式で出してみると、
c602-2	1	採用（文字起こしが台本と合う）	take1: 橋脚の体力の四倍を超えた	橋脚の耐力の、4倍を超えた
c609-2	3	要耳（全テイク落ち・所見最少を採用）	take1: ヒーハシの川の上の参詣館は確かにその部材で組まれていた。 || take2: キー橋の川の上の三景館は確かにその部材で組まれていた。 || take3: ひいばしの川の上の三景観は確かにその部材で組まれていた	キー橋の川の上の3径間は、たしかにその部材で組まれていた。
c615-2	3	要耳（全テイク落ち・所見最少を採用）	take1: 祐誉院に上がったのも、船が橋脚に届いた時の備えのガワだった。 || take2: 友友院に上がったのも、船が橋脚に届いた時の備えの側だった。 || take3: 雄鷹院に上がったのも、船が橋脚に届いた時の備えの側だった	寄与要因に挙がったのも、船が橋脚に届いたときの備えの側だった。
c618-2	1	採用（文字起こしが台本と合う）	take1: 船の乗員が軽傷一人。点検員に怪我はなかった。	船の乗員が軽傷1人。点検員にけがは無かった。
c620-1	1	採用（文字起こしが台本と合う）	take1: 残る4人も5月7日までに見つかっている。	残る4人も、5月7日までに見つかっている。
c620-2	1	採用（文字起こしが台本と合う）	take1: 六人は全員車の中で見つかった。	6人は全員、車の中で見つかった。
c701-1	1	採用（文字起こしが台本と合う）	take1: 事故の後、船は現場に残された。	事故のあと、船は現場に残された。
c701-2	1	採用（文字起こしが台本と合う）	take1: 調査員が乗り込んだのは四月一日である。	調査員が乗り込んだのは、4月1日である。
c703-2	1	採用（文字起こしが台本と合う）	take1: 一号の変圧器につながる高圧の遮断機を閉じる。	1号の変圧器につながる、高圧の遮断器を閉じる。
c705-1	1	採用（文字起こしが台本と合う）	take1: 四月十日。専門家が来て試すと、遮断機は何度も正常に動いた。	4月10日。専門家が来て試すと、遮断器は何度も正常に動いた。
c708-1	1	採用（文字起こしが台本と合う）	take1: 四月十二日。前触れも警報もなく低圧が落ちた。	4月12日。前ぶれも警報も無く、低圧が落ちた。
c708-2	1	採用（文字起こしが台本と合う）	take1: 3月26日の停電と同じ形だった。	3月26日の停電と、同じ形だった。
c709-1	3	採用（文字起こしが台本と合う）	take1: 四月二十四日、操船所の技術者が電力解析機を二台取り付けた。 || take2: 七月二十四日、造船所の技術者が電力解析機を二台取り付けた。 || take3: 四月二十四日、造船所の技術者が電力解析機を二台取り付けた。	4月24日、造船所の技術者が電力解析器を2台取り付けた。
c710-1	1	採用（文字起こしが台本と合う）	take1: 4月29日午前6時12分頃、また同じ遮断機が落ちた。	4月29日、午前6時12分ごろ。また同じ遮断器が落ちた。
c712-1	3	要耳（全テイク落ち・所見最少を採用）	take1: この遮断機には不足電圧引きずし装置という部品がついている。 || take2: この遮断機には不足電圧引きずし装置という部品がついている || take3: この遮断機には不足電圧引きずし装置という部品がついている。	この遮断器には、不足電圧引外し装置という部品が付いている。
c714-1	1	採用（文字起こしが台本と合う）	take1: 技術者が調べると、途中の接点はどれも正常だった。それなのに	技術者が調べると、途中の接点はどれも正常だった。それなのに、
c715-2	1	採用（文字起こしが台本と合う）	take1: 緩んだつなぎ目が一つ見つかる。輪ゴム車の三口の端子台、番号は三百八十一。	緩んだつなぎ目が1つ見つかる。ワゴ社の3口の端子台。番号は381。
c718-2	1	採用（文字起こしが台本と合う）	take1: 遮断機が開き、船は停電した。三月二十六日と同じ形の警報の出ない停電である。	遮断器が開き、船は停電した。3月26日と同じ形の、警報の出ない停電である。
c720-1	1	採用（文字起こしが台本と合う）	take1: 材料研究室に運んで調べると、端子台の口の面と	材料研究室に運んで調べると、端子台の口の面と、
c725-1	1	採用（文字起こしが台本と合う）	take1: Wire Oneでは、その帯が先の金具の青い襟まで覆っていた。	ワイヤーワンでは、その帯が、先の金具の青い襟まで覆っていた。
c725-3	1	採用（文字起こしが台本と合う）	take1: 帯が栓を奥まで入れさせなかった。	帯が、線を奥まで入れさせなかった
c801-1	1	採用（文字起こしが台本と合う）	take1: キー橋に船が当たったのは2024年が初めてではない。	キー橋に船が当たったのは、2024年が初めてではない。
c803-2	1	採用（文字起こしが台本と合う）	take1: 当たった先は同じ十七番橋脚だった。	当たった先は、同じ17番橋脚だった。
c805-1	3	要耳（全テイク落ち・所見最少を採用）	take1: 防潮溝は壊れたが、元の設計通りに作り直された。 || take2: 防潮溝は壊れたが、元の設計通りに作り直された。 || take3: 防潮溝は壊れたが、元の設計通りに作り直された。	防衝工は壊れたが、元の設計どおりに造り直された。
c806-1	1	採用（文字起こしが台本と合う）	take1: 橋がかかってからの四十七年で船は大きくなった。	橋が架かってからの47年で、船は大きくなった。
c808-2	1	採用（文字起こしが台本と合う）	take1: ばら積み船が当たり、橋桁がおよそ150フィート下の湾へ落ちた。	ばら積み船が当たり、橋桁がおよそ150フィート下の湾へ落ちた。
c809-1	1	採用（文字起こしが台本と合う）	take1: 長距離バス一台、小型トラック一台、乗用車六台が湾に落ち	長距離バス1台、小型トラック1台、乗用車6台が湾に落ち、
c809-2	1	採用（文字起こしが台本と合う）	take1: 35人が亡くなった。	35人が亡くなった。
c813-1	2	採用（文字起こしが台本と合う）	take1: ヒー橋は1977年の橋なので、州交通局に義務はなかった。 || take2: キー橋は1977年の橋なので、州交通局に義務はなかった。	キー橋は1977年の橋なので、州交通局に義務は無かった。
c814-1	1	採用（文字起こしが台本と合う）	take1: 民衆交通局はこの指針を引用する別の基準を作る委員会にいた。	州交通局は、この指針を引用する別の基準を作る委員会にいた。
c816-1	3	要耳（全テイク落ち・所見最少を採用）	take1: 重要とされる橋のしきい値は年に一万分の1。 || take2: 重要とされる橋のしきい値は年に一万分の1。 || take3: 重要とされる橋のしきい値は年に一万分の	重要とされる橋のしきい値は、年に1万分の1。
c817-1	1	採用（文字起こしが台本と合う）	take1: 事故の後、NTSBがこの計算をキー橋に当てた。	事故のあと、NTSBがこの計算をキー橋に当てた。
c817-3	1	採用（文字起こしが台本と合う）	take1: しきい値のおよそ三十倍	しきい値の、およそ30倍
c820-2	1	採用（文字起こしが台本と合う）	take1: 外港、船が通る水路をまたぐ橋は二十六の州に百七十六ある。	外航船が通る水路をまたぐ橋は、26の州に176ある。
c821-1	1	採用（文字起こしが台本と合う）	take1: そのうち四十の橋が二千二年から二千二十三年の間に渡られている。	そのうち40の橋が、2002年から2023年のあいだに当たられている。
c824-2	3	要耳（全テイク落ち・所見最少を採用）	take1: ヒー橋には危険な時に車を橋に入れないための装置がなかった。 || take2: T橋には危険な時に車を橋にひれないための装置がなかった。 || take3: ひい橋には危険な時に車を橋に入れないための装置がなかった。	キー橋には、危険なときに車を橋に入れないための装置が無かった。
c903-1	1	採用（文字起こしが台本と合う）	take1: 航路の管理は陸軍工兵隊のボルチモア地区	航路の管理は、陸軍工兵隊のボルチモア地区。
c903-2	1	採用（文字起こしが台本と合う）	take1: 撤去は海軍のサルベージ潜水監督官が率いた。	撤去は、海軍のサルベージ・潜水監督官が率いた。
c904-2	1	採用（文字起こしが台本と合う）	take1: 引き揚げのための重量物のクレーンと端毛も入った。	引き揚げのための、重量物のクレーンとはしけも入った。
c905-1	2	採用（文字起こしが台本と合う）	take1: 六月十三日、船の上に乗ったままの橋桁を火薬で切り離した。 || take2: 五月十三日。船の上に乗ったままの橋桁を火薬で切り離した。	5月13日。船の上に乗ったままの橋桁を、火薬で切り離した。
c907-1	1	採用（文字起こしが台本と合う）	take1: 五月二十日、ダリが浮かび航路から出された。	5月20日、ダリが浮かび、航路から出された。
c907-2	1	採用（文字起こしが台本と合う）	take1: 岸壁に戻して積み荷と残骸を下ろしていく。	岸壁に戻して、積荷と残骸を降ろしていく。
c908-1	1	採用（文字起こしが台本と合う）	take1: 5月21日、限られた幅の仮の航路が開いた。	5月21日、限られた幅の仮の航路が開いた。
c910-1	1	採用（文字起こしが台本と合う）	take1: 六月十日、フォート・マクヘンリー航路が再開した。	6月10日、フォート・マクヘンリー航路が再開した。
c910-2	3	要耳（全テイク落ち・所見最少を採用）	take1: フーズラックから七十六日である。 || take2: 風俗から七十六日である。 || take3: クーズラックから七十六日である。	崩落から76日である。
c911-2	1	採用（文字起こしが台本と合う）	take1: 圧を下げ、中を窒素に置き換えて安全にし、六月二十八日に繋ぎ直している。	圧を下げ、中を窒素に置き換えて安全にし、6月28日につなぎ直している。
c914-2	1	採用（文字起こしが台本と合う）	take1: 九月十九日には中国の造船所へ。修理が終わったのは翌年一月十六日である。	9月19日には中国の造船所へ。修理が終わったのは、翌年1月16日である。
c916-3	1	採用（文字起こしが台本と合う）	take1: 主航路の上の桁下は二百三十フィートになる。	主航路の上の桁下は、230フィートになる。
c917-2	1	採用（文字起こしが台本と合う）	take1: 主景観は三千三百フィート、塔と塔の間は千六百フィートになる。	主径間は3300フィート。塔と塔のあいだは1600フィートになる。
c918-2	1	採用（文字起こしが台本と合う）	take1: 壊れるようになるのは2030年の後半とされている。	通れるようになるのは、2030年の後半とされている。
ca02-1	1	採用（文字起こしが台本と合う）	take1: 端子台を作っている我が社への勧告はこうである。	端子台を作っているワゴ社への勧告は、こうである。
ca08-3	2	採用（文字起こしが台本と合う）	take1: 足の上にはその道がなかった。 || take2: 橋の上にはその道がなかった。	橋の上には、その道が無かった
ca09-1	2	採用（文字起こしが台本と合う）	take1: 車の側にも警告が出た。閾値を超えている発信。 || take2: 車の側にも勧告が出た。しきい値を超えている橋	車の側にも勧告が出た。しきい値を超えている橋、
ca11-2	3	要耳（全テイク落ち・所見最少を採用）	take1: マイクを別々に取れること。公開データ記録装置への勧告である。 || take2: マイクを別々に取れること。高解像度記録装置への勧告である。 || take3: マイクを別々に取れること。公開データ記録装置への勧告である。	マイクを別々に録れること。航海データ記録装置への勧告である。
ca12-2	3	要耳（全テイク落ち・所見最少を採用）	take1: 有用因は三つ。橋に近すぎたこと、橋の側に備えがなかったこと || take2: 誘因は三つ。橋に近すぎたこと、橋の側に備えがなかったこと || take3: 誘因は三つ。橋に近すぎたこと、橋の側に備えがなかったこと	寄与要因は3つ。橋に近すぎたこと。橋の側に備えが無かったこと。
ep02-2	1	採用（文字起こしが台本と合う）	take1: その間28秒である。	そのあいだ、28秒である。
