行	判定	食い違い	台本の読み	聞取の読み	台本	聞取
c306-2	読み一致		フゴオガカワッタコトニキヅイタノハジフンデアル	フゴオガカワッタコトニキヅイタノハジフンデアル	符号が変わったことに気づいたのは、8時51分である。	符号が変わったことに気づいたのは八時五十一分である。
c307-1	読み一致		ジフンカンセエカンハドオリョオニコオツタエテエル	ジフンカンセエカンハドオリョオニコオツタエテエル	8時53分。管制官は同僚にこう伝えている。	八時五十三分、管制官は同僚にこう伝えている。
c310-2	読みが違う	タ→マ	タダシソノジョオホオハカンセエニモグンニモマワッテエナイ	マダシソノジョオホオハカンセエニモグンニモマワッテエナイ	ただしその情報は、管制にも軍にも回っていない。	まだし、その情報は管制にも軍にも回っていない。
c311-1	読み一致		ムネハネンカラヒトガハイリハジメタタテモノデアル	ムネハネンカラヒトガハイリハジメタタテモノデアル	2棟は、1970年から人が入りはじめた建物である。	二棟は1970年から人が入り始めた建物である。
c311-2	読みが違う	アイダ→マ	ニュウヨオクノマチノカオトシテネンノアイダタッテエタ	ニュウヨオクノマチノカオトシテネンノマタッテエタ	ニューヨークの街の顔として、30年のあいだ建っていた。	ニューヨークの街の顔として三十年の間建っていた。
c313-1	読みが違う	アガ→ナ	キタトオノオエノホオカラケムリガアガッテエル	キタトオノオエノホオカラケムリガナッテエル	北棟の上のほうから、煙が上がっている。	北塔の上の方から煙がなっている。
c314-2	読みが違う	アイダ→カン／ジュウ→ナカ	ブンノアイダマチジュウノカンシンガキタトオニアツマッテエタ	ブンノカンマチナカノカンシンガキタトオニアツマッテエタ	17分のあいだ、街じゅうの関心が北棟に集まっていた。	十七分の間、町中の関心が北塔に集まっていた。
c317-2	読み一致		ボオクウシレエブガコノビンノコトヲシッタノハコノシュンカンデアル	ボオクウシレエブガコノビンノコトヲシッタノハコノシュンカンデアル	防空司令部がこの便のことを知ったのは、この瞬間である。	防空司令部がこの便のことを知ったのはこの瞬間である。
c318-1	読み一致		ボオクウシレエブハビンノノットリヲジゼンニキイテエナイ	ボオクウシレエブハビンノノットリヲジゼンニキイテエナイ	防空司令部は、175便の乗っ取りを事前に聞いていない。	防空司令部は百七十五便の乗っ取りを事前に聞いていない。
c319-3	読みが違う	アト→ノチ	ソレガジッコオサレタアトハキロクニノコッテエナイ	ソレガジッコオサレタノチハキロクニノコッテエナイ	それが実行された跡は、記録に残っていない。	それが実行された後は記録に残っていない。
c320-2	読み一致		ソノドレガノットラレテエルノカダレニモワカラナイ	ソノドレガノットラレテエルノカダレニモワカラナイ	そのどれが乗っ取られているのか、誰にも分からない。	そのどれが乗っ取られているのか誰にもわからない。
c321-1	読みが違う	—→イッ	キメカラキメマデフンアッタ	イッキメカラキメマデフンアッタ	1機目から2機目まで、17分あった。	一期目から二期目まで十七分あった
c321-2	読み一致		キメガブツカッタシュンカンニジコデハナイトダレモガワカッタ	キメガブツカッタシュンカンニジコデハナイトダレモガワカッタ	2機目がぶつかった瞬間に、事故ではないと誰もが分かった。	二機目がぶつかった瞬間に事故ではないと誰もがわかった。
c321-3	読み一致		ココカラサキゼンベエノソラノアツカイガカワッテエク	ココカラサキゼンベエノソラノアツカイガカワッテエク	ここから先、全米の空の扱いが変わっていく。	ここから先、全米の空の扱いが変わっていく。
c322-2	読み一致		ダレカガキヅイタトシテモシラセヲトドケルサキガナカッタ	ダレカガキヅイタトシテモシラセヲトドケルサキガナカッタ	誰かが気づいたとしても、知らせを届ける先が無かった。	誰かが気づいたとしても知らせを届ける先がなかった。
c322-3	読み一致		キメハサイゴマデオエテエナカッタ	キメハサイゴマデオエテエナカッタ	2機目は、最後まで追えていなかった	二期目は最後まで終えていなかった。
c401-1	読み一致		ジフンビョオノジテンデノットラレタビンハアトキ	ジフンビョオノジテンデノットラレタビンハアトキ	9時3分11秒の時点で、乗っ取られた便はあと2機。	四時三分十一秒の時点で乗っ取られた便はあと二機
c401-2	読み一致		ビントビンガマダソラヲトンデエル	ビントビンガマダソラヲトンデエル	77便と93便が、まだ空を飛んでいる。	二七便と九十三便がまだ空を飛んでいる。
c403-1	読み一致		ジフンビンハフダンドオリノテエジコオシンヲシテエル	ジフンビンハフダンドオリノテエジコオシンヲシテエル	8時51分。77便は、ふだんどおりの定時交信をしている。	八時五十一分、七十七便は普段通りの定時更新をしている。
c405-3	読み一致		カンセエノガメンカラビンハカンゼンニキエテシマッタ	カンセエノガメンカラビンハカンゼンニキエテシマッタ	管制の画面から、77便は完全に消えてしまった。	管制の画面から七十七便は完全に消えてしまった。
c406-2	読み一致		ドモヨビカケタガマッタクオオトオガナイ	ドモヨビカケタガマッタクオオトオガナイ	何度も呼びかけたが、まったく応答が無い。	何度も呼びかけたが、全く応答がない。
c407-1	読み一致		カンセエハビンガドコカニツイラクシタノダロオトカンガエタ	カンセエハビンガドコカニツイラクシタノダロオトカンガエタ	管制は、77便がどこかに墜落したのだろうと考えた。	管制は七十七便がどこかに墜落したのだろうと考えた。
c407-3	読み一致		シュウノケエサツニモオチタキノホオコクガナイカヲキイテエル	シュウノケエサツニモオチタキノホオコクガナイカヲキイテエル	州の警察にも、落ちた機の報告が無いかを聞いている。	州の警察にも落ちた木の報告がないかを聞いている。
c411-1	読み一致		ゴカッケエノワガジュウニモイレコニナッタツクリヲシテエル	ゴカッケエノワガジュウニモイレコニナッタツクリヲシテエル	五角形の輪が、何重にも入れ子になった造りをしている。	五角形の輪が何重にも入れ子になった作りをしている。
c412-1	読み一致		ゴカッケエノマンナカニハヒロイナカニワガアル	ゴカッケエノマンナカニハヒロイナカニワガアル	五角形の真ん中には、広い中庭がある。	五角形の真ん中には広い中庭がある。
c417-1	読み一致		テンハペンタゴンノセエナンニシキロマイルマデキテエタ	テンハペンタゴンノセエナンニシキロマイルマデキテエタ	点は、ペンタゴンの西南西8キロ（5マイル）まで来ていた。	点はペンタゴンの西南西八キロ、五マイルまで来ていた。
c418-2	読み一致		フツウノチャクリクノフリカタトハセンノカタチガマルデチガウ	フツウノチャクリクノフリカタトハセンノカタチガマルデチガウ	ふつうの着陸の降り方とは、線の形がまるで違う。	普通の着陸の降り方とは線の形がまるで違う。
c504-2	読み一致		タダシモオトンデエルキニタイシテハマダナニモイッテエナイ	タダシモオトンデエルキニタイシテハマダナニモイッテエナイ	ただし、もう飛んでいる機に対しては、まだ何も言っていない。	ただし、もう飛んでいる機に対してはまだ何も言っていない。
c505-1	読み一致		カッソオロノテマエマデデテエタキタイガソノバデトマル	カッソオロノテマエマデデテエタキタイガソノバデトマル	滑走路の手前まで出ていた機体が、その場で止まる。	滑走路の手前まで出ていた機体がその場で止まる。
c505-2	読み一致		トオジョオグチヲハナレタキモオゴカナイマママタサレタ	トオジョオグチヲハナレタキモオゴカナイマママタサレタ	搭乗口を離れた機も、動かないまま待たされた。	搭乗口を離れたきも動かないまま待たされた。
c506-2	読み一致		トメラレルノハコレカラトブキダケダッタ	トメラレルノハコレカラトブキダケダッタ	止められるのは、これから飛ぶ機だけだった。	止められるのはこれから飛ぶ木だけだった。
c509-1	読み一致		カンセエカンハジブンノタントオスルクウイキノキヲキズツオロシテエク	カンセエカンハジブンノタントオスルクウイキノキヲキズツオロシテエク	管制官は、自分の担当する空域の機を1機ずつ降ろしていく。	管制官は自分の担当する空域の機を一機ずつ降ろしていく。
c510-1	読み一致		アメリカノソラヲクニゴトトジタコトハドモナカッタ	アメリカノソラヲクニゴトトジタコトハドモナカッタ	アメリカの空を、国ごと閉じたことは一度も無かった。	アメリカの空を国ごと閉じたことは一度もなかった。
c510-3	読み一致		コレハゼンレエノナイメエレエダッタ	コレハゼンレエノナイメエレエダッタ	これは、前例の無い命令だった	これは前例のない命令だった。
c513-2	読み一致		ユウドオロニトメタママソノヒヲオエタクウコオモアル	ユウドオロニトメタママソノヒヲオエタクウコオモアル	誘導路に止めたまま、その日を終えた空港もある。	誘導路に止めたままその日を終えた空港もある。
c514-2	読み一致		テンガキエルコトガコノヒハジメテヨイシラセニナッタ	テンガキエルコトガコノヒハジメテヨイシラセニナッタ	点が消えることが、この日はじめて良い報せになった。	点が消えることがこの日初めて良い知らせになった。
c515-1	読み一致		メエレエカラホドナクミンカンキハホトンドゼンブガチジョオニオリタ	メエレエカラホドナクミンカンキハホトンドゼンブガチジョオニオリタ	命令からほどなく、民間機はほとんど全部が地上に降りた。	命令から程なく、民間機はほとんど全部が地上に降りた。
c516-1	読み一致		オロシタサキハヨテエニナカッタクウコオバカリダッタ	オロシタサキハヨテエニナカッタクウコオバカリダッタ	降ろした先は、予定に無かった空港ばかりだった。	降ろした先は予定になかった空港ばかりだった。
c518-1	読み一致		コレダケノカズノキヲドニマトメテオロシテエル	コレダケノカズノキヲドニマトメテオロシテエル	これだけの数の機を、一度にまとめて降ろしている。	これだけの数の木を一度にまとめて下ろしている。
c519-2	読み一致		テビキニナイコトヲソノバデキメテヤリキッタトカイテエル	テビキニナイコトヲソノバデキメテヤリキッタトカイテエル	手引きに無いことを、その場で決めてやりきった、と書いている。	手引きにないことをその場で決めてやりきったと書いている。
c520-1	読み一致		ジフンニリリクヲトメジフンニゼンキヲオロスメエレエヲダシタ	ジフンニリリクヲトメジフンニゼンキヲオロスメエレエヲダシタ	9時25分に離陸を止め、9時42分に全機を降ろす命令を出した。	九時二十五分に離陸を止め、九時四十二分に全機を下ろす命令を出した。
c606-2	読み一致		オナジシュウハスウヲツカッテエタホカノビンモコノオトヲキイテエル	オナジシュウハスウヲツカッテエタホカノビンモコノオトヲキイテエル	同じ周波数を使っていたほかの便も、この音を聞いている。	同じ周波数を使っていた他の便もこの音を聞いている。
c607-1	読みが違う	ホカ→タ	ジフンカンセエカンハホカノビンニジュンニトイアワセテエク	ジフンカンセエカンハタノビンニジュンニトイアワセテエク	9時30分。管制官は、ほかの便に順に問い合わせていく。	九時三十分、管制官は他の便に順に問い合わせていく。
c608-2	読み一致		ドヨビカケテモヘンジガナイ	ドヨビカケテモヘンジガナイ	何度呼びかけても、返事が無い。	何度呼びかけても返事がない。
c609-1	読み一致		ジフンカンセエノムセンニドメノコエガナガレタ	ジフンカンセエノムセンニドメノコエガナガレタ	9時32分。管制の無線に、3度目の声が流れた。	九時三十二分、管制の無線に三度目の声が流れた。
c609-2	読み一致		セキニツイテエロキナイニバクダンガアルトイッテエル	セキニツイテエロキナイニバクダンガアルトイッテエル	席に着いていろ、機内に爆弾がある、と言っている。	席についていろ。機内に爆弾があると言っている。
c609-3	読み一致		キャクシツニムケタホオソオガムセンニノッテシマッタモノデアル	キャクシツニムケタホオソオガムセンニノッテシマッタモノデアル	客室に向けた放送が、無線に乗ってしまったものである。	客室に向けた放送が無線に乗ってしまったものである。
c610-2	読み一致		ニシヘムカッテエタキガムキヲカエタコトニナル	ニシヘムカッテエタキガムキヲカエタコトニナル	西へ向かっていた機が、向きを変えたことになる。	西へ向かっていた木が向きを変えたことになる。
c610-3	読み一致		キメハキタミチヲヒキカエシタ	キメハキタミチヲヒキカエシタ	4機目は、来た道を引き返した	四期目は来た道を引き返した。
c613-2	読み一致		ビンガノットラレタトイウシラセハレンポオコオクウキョクノホンブニトドイテエタ	ビンガノットラレタトイウシラセハレンポオコオクウキョクノホンブニトドイテエタ	93便が乗っ取られたという報せは、連邦航空局の本部に届いていた。	二三便が乗っ取られたという知らせは、連邦航空局の本部に届いていた。
c701-1	読み一致		ジフンビョオノットラレタビンハソラカラナクナッタ	ジフンビョオノットラレタビンハソラカラナクナッタ	10時3分11秒。乗っ取られた便は、空から無くなった。	十時三分十一秒、乗っ取られた便は空からなくなった。
c704-2	読み一致		オオベキキガガメンノドコニイルノカダレモイエナカッタ	オオベキキガガメンノドコニイルノカダレモイエナカッタ	追うべき機が画面のどこにいるのか、誰も言えなかった。	追うべき木が画面のどこにいるのか誰も言えなかった。
c705-1	読み一致		ハッシンヲシジシタショオコオノコトバガトオチョクノロクオンニノコッテエル	ハッシンヲシジシタショオコオノコトバガトオチョクノロクオンニノコッテエル	発進を指示した将校の言葉が、当直の録音に残っている。	発信を指示した将校の言葉が当直の録音に残っている。
c705-2	読み一致		ドコヘムカワセレバイイノカワカラナイホオガクガホシイト	ドコヘムカワセレバイイノカワカラナイホオガクガホシイト	どこへ向かわせればいいのか分からない、方角がほしい、と。	どこへ向かわせればいいのかわからない。方角が欲しいと。
c708-1	読み一致		コノトキラングレエキノムカウサキトシテカンガエラレテエタノハ	コノトキラングレエキノムカウサキトシテカンガエラレテエタノハ	このときラングレー機の向かう先として考えられていたのは、	この時ラングレー、気の向かう先として考えられていたのは
c708-2	読み一致		ニュウヨオクダッタネンリョオノヘッタセンパツキトノコオタイデアル	ニュウヨオクダッタネンリョオノヘッタセンパツキトノコオタイデアル	ニューヨークだった。燃料の減った先発機との交代である。	ニューヨークだった。燃料の減った先発機との交代である。
c710-2	読みが違う	ハ→ガ	コノシラセガドコカラデタノカハイマモワカッテエナイ	コノシラセガドコカラデタノカガイマモワカッテエナイ	この知らせがどこから出たのかは、いまも分かっていない。	この知らせがどこから出たのかが今もわかっていない。
c711-1	読み一致		ジフンラングレエニハッシンガメエジラレタ	ジフンラングレエニハッシンガメエジラレタ	9時24分、ラングレーに発進が命じられた。	九時二十四分、ラングレーに発信が命じられた。
c712-2	読みが違う	—→ア	ソコカラムキナオッテシュトノホオガクヘモドッテエル	アソコカラムキナオッテシュトノホオガクヘモドッテエル	そこから向き直って、首都の方角へ戻っている。	あそこから向き直って、首都の方角へ戻っている。
c715-2	読み一致		ビンハソノトキスデニオチテエタ	ビンハソノトキスデニオチテエタ	93便は、そのときすでに墜ちていた。	九十三便はその時すでに落ちていた。
c718-1	読みが違う	—→イッ	キノオチノットリヲジゼンニグンヘシラサレタノハキダケ	キノオチノットリヲジゼンニグンヘシラサレタノハイッキダケ	4機のうち、乗っ取りを事前に軍へ知らされたのは1機だけ。	四基のうち、乗っ取りを事前に軍へ知らされたのは一基だけ。
c718-2	読み一致		ノコルキハオチルマデノットリトシテツタワッテエナイ	ノコルキハオチルマデノットリトシテツタワッテエナイ	残る3機は、墜ちるまで乗っ取りとして伝わっていない。	残る三機は落ちるまで乗っ取りとして伝わっていない。
c719-1	読み一致		シュトノベツノキチカラモセントオキガアガッテエタ	シュトノベツノキチカラモセントオキガアガッテエタ	首都の別の基地からも、戦闘機が上がっていた。	首都の別の基地からも戦闘機が上がっていた。
c719-2	読み一致		タダシコチラハグンノシキケエトオノソトカラデタキデアル	タダシコチラハグンノシキケエトオノソトカラデタキデアル	ただしこちらは、軍の指揮系統の外から出た機である。	ただし、こちらは軍の指揮系統の外から出た木である。
c720-2	読み一致		ビンガノットラレタコトヲグンハオチルマデシラナカッタ	ビンガノットラレタコトヲグンハオチルマデシラナカッタ	93便が乗っ取られたことを、軍は墜ちるまで知らなかった。	九十三便が乗っ取られたことを軍は落ちるまで知らなかった。
c803-1	読み一致		カンセエノムセンハフダンカラズットロクオンサレテエル	カンセエノムセンハフダンカラズットロクオンサレテエル	管制の無線は、ふだんからずっと録音されている。	感性の無線は普段からずっと録音されている。
c803-2	読みが違う	ロク→ト	ボオクウシレエブノトオチョクセキモオナジヨオニロクラレテエタ	ボオクウシレエブノトオチョクセキモオナジヨオニトラレテエタ	防空司令部の当直席も、同じように録られていた。	防空司令部の当直席も同じように撮られていた。
c808-2	読み一致		イインカイハロクオンノホオヲトッテエル	イインカイハロクオンノホオヲトッテエル	委員会は、録音のほうを採っている。	委員会は録音の方を取っている？
c809-2	読み一致		ジッサイニハソンザイシナイビンニムケテトンデエタ	ジッサイニハソンザイシナイビンニムケテトンデエタ	実際には、存在しない便に向けて飛んでいた。	実際には存在しない瓶に向けて飛んでいた。
c810-2	読み一致		コノドオガニデテクルコオセキノガメンガマサニソレデアル	コノドオガニデテクルコオセキノガメンガマサニソレデアル	この動画に出てくる航跡の画面が、まさにそれである。	この動画に出てくる鉱石の画面がまさにそれである。
c812-2	読み一致		カンセエノトケエトタテモノヲシラベルガワノキジュンハベツノモノダッタ	カンセエノトケエトタテモノヲシラベルガワノキジュンハベツノモノダッタ	管制の時計と、建物を調べる側の基準は、別のものだった。	完成の時計と建物を調べる側の基準は別のものだった。
c814-1	読み一致		カンセエノトケエハドノビンガイツキエタカヲアワセルタメノモノ	カンセエノトケエハドノビンガイツキエタカヲアワセルタメノモノ	管制の時計は、どの便がいつ消えたかを合わせるためのもの。	慣性の時計はどの瓶がいつ消えたかを合わせるためのもの。
c814-2	読みが違う	ヒ→ニチ	タテモノガワノトケエハイツヒガドコヘマワッタカヲアワセルタメノモノ	タテモノガワノトケエハイツニチガドコヘマワッタカヲアワセルタメノモノ	建物側の時計は、いつ火がどこへ回ったかを合わせるためのもの。	建物側の時計はいつ日がどこへ回ったかを合わせるためのもの
c815-2	読み一致		ブンタンイノコマカイキジュツハソコニゼンブカカレテエル	ブンタンイノコマカイキジュツハソコニゼンブカカレテエル	分単位のこまかい記述は、そこに全部書かれている。	分単位の細かい記述はそこに全部書かれている。
c816-1	読み一致		ワカッテエナイコトモソノママカカレテエル	ワカッテエナイコトモソノママカカレテエル	分かっていないことも、そのまま書かれている。	わかっていないこともそのまま書かれている。
c817-1	読み一致		イインカイハワカラナイコトヲワカラナイトカイタ	イインカイハワカラナイコトヲワカラナイトカイタ	委員会は、分からないことを分からないと書いた。	委員会はわからないことをわからないと書いた。
c902-1	読みが違う	エ→ヤ	ソレマデホアンケンサハコオクウカイシャガギョオシャニタノンデエッテエタ	ソレマデホアンケンサハコオクウカイシャガギョオシャニタノンデヤッテエタ	それまで、保安検査は航空会社が業者に頼んで行っていた。	それまで保安検査は航空会社が業者に頼んでやっていた。
c903-1	読みが違う	アト→ゴ	ソオジュウシツノトビラモソノアトヅクリガカワッタ	ソオジュウシツノトビラモソノゴヅクリガカワッタ	操縦室の扉も、そのあと造りが変わった。	操縦室の扉もその後作りが変わった。
c904-1	読み一致		ハワタリセンチインチミマンノハモノモ	ハワタリセンチインチミマンノハモノモ	刃渡り10センチ（4インチ）未満の刃物も、	刃渡り十センチ、四インチ未満の刃物も
c905-1	読み一致		カワッタノハクウコオノガワダケデハナイ	カワッタノハクウコオノガワダケデハナイ	変わったのは、空港の側だけではない。	変わったのは空港のガワだけではない。
c905-2	読みが違う	アト→ノチ	カンセエトグントノツナギカタモコノヒノアトニツクリナオサレタ	カンセエトグントノツナギカタモコノヒノノチニツクリナオサレタ	管制と軍とのつなぎ方も、この日のあとに作り直された。	管制と軍とのつなぎ方もこの日の後に作り直された。
c906-1	読み一致		トオジハシラセガホンブヲダンモアガッテカラグンヘワタルキマリダッタ	トオジハシラセガホンブヲダンモアガッテカラグンヘワタルキマリダッタ	当時は、報せが本部を何段も上がってから軍へ渡る決まりだった。	当時は知らせが本部を何段も上がってから軍へ渡る決まりだった。
c910-1	読みが違う	ジュウ→ナカ	ツキニチヨリマエクニジュウノソラヲトジルトイウカンガエハナカッタ	ツキニチヨリマエクニナカノソラヲトジルトイウカンガエハナカッタ	9月11日より前、国じゅうの空を閉じるという考えは無かった。	9月11日より前、国中の空を閉じるという考えはなかった。
ep02-3	読み一致		コノドオガハソノツノビンメエダケデクミタテタ	コノドオガハソノヨッツノビンメエダケデクミタテタ	この動画は、その4つの便名だけで組み立てた。	この動画はその四つの便名だけで組み立てた
ep03-1	読みが違う	キ→オニ／フン→クブ	キヲオッテエタヒトタチニトドイタユウヨハフントフンダッタ	オニヲオッテエタヒトタチニトドイタユウヨハクブトフンダッタ	4機を追っていた人たちに届いた猶予は、9分と、0分だった。	四鬼を追っていた人たちに届いた猶予は九分と零分だった。
