行	検査	何が	台本	聞取
c727-3	1字の入れ替え	制	管制官が言い終える前、パンナムに届いたのは、最後の一音だけだった。	管理官が言い終える前、パンナムに届いたのは最後の一音だけだった。
c728-1	字の欠け	制官管	17時06分25秒。管制官がパンナムへ、こう言った。	十七時六分二十五秒、観測艦がパンナムへこう言った。
c728-2	頭欠け	滑→ソ	滑走路を出たら知らせてください。まだ出ていない、という意味である。	ソウルを出たら知らせてください。まだ出ていないという意味である。
c728-2	字の欠け	滑走路	滑走路を出たら知らせてください。まだ出ていない、という意味である。	ソウルを出たら知らせてください。まだ出ていないという意味である。
c732-1	字の欠け	定肯返	17時06分35秒。返ってきたのは、強い肯定だった。	十七時六分三十五秒。帰ってきたのは強い皇帝だった。
c801-1	1字の入れ替え	副	副操縦士も、航空機関士も、それ以上は何も言わなかった。	操縦士も航空機関士もそれ以上は何も言わなかった。
c806-1	1字の入れ替え	灯	17時06分40秒ごろ。パンナムの機長が、前方に灯りを見た。	十七時六分四十秒頃、パンナムの機長が前方に明かりを見た。
c808-2	頭欠け	滑→バ	滑走路の外へ機体を出そうとしている。もう、間に合わなかった。	バッツールの外へ機体を出そうとしている。もう間に合わなかった。
c808-2	字の欠け	滑走路	滑走路の外へ機体を出そうとしている。もう、間に合わなかった。	バッツールの外へ機体を出そうとしている。もう間に合わなかった。
c809-1	頭欠け	17→12	17時06分43秒。副操縦士が、V1、と告げた。	十二時六分四十三秒、副操縦士がV1と告げた。
c813-1	1字の入れ替え	脚	主脚は、パンナムの右の内側のエンジンのあたりに激突した。	主客はパンナムの右の内側のエンジンの辺りに激突した。
c901-1	同形異音語	塔	管制塔からは、何も見えなかった。	漢字江島からは何も見えなかった。
c901-1	字の欠け	制管	管制塔からは、何も見えなかった。	漢字江島からは何も見えなかった。
c901-2	1字の入れ替え	雲	地面についた雲の帯が、視界をふさいでいる。	地面についた蜘蛛の帯が視界を塞いでいる。
c902-1	1字の入れ替え	分	どこで鳴ったのかも、なぜ鳴ったのかも分からない。	どこで鳴ったのかも、なぜ鳴ったのかもわからない。
c902-2	同形異音語	塔	管制塔には、それを確かめる手立てが無かった。見えないのである。	カンジエトウにはそれを確かめる手立てがなかった。見えないのである。
c902-2	頭欠け	管→カ	管制塔には、それを確かめる手立てが無かった。見えないのである。	カンジエトウにはそれを確かめる手立てがなかった。見えないのである。
c902-2	字の欠け	制無管	管制塔には、それを確かめる手立てが無かった。見えないのである。	カンジエトウにはそれを確かめる手立てがなかった。見えないのである。
c903-2	1字の入れ替え	分	場所も、理由も、分からないままである。	場所も理由もわからないままである。
c904-1	同形異音語	塔	管制塔は、すぐに消防へ警報を出した。	漢字党はすぐに消防へ警報を出した。
c904-1	字の欠け	制管	管制塔は、すぐに消防へ警報を出した。	漢字党はすぐに消防へ警報を出した。
c904-3	1字の入れ替え	分	火がどこにあるのかは、まだ誰にも分からない。	火がどこにあるのかはまだ誰にもわからない。
c905-1	1字の入れ替え	来	そこへ、空港で働く会社の人が、消防の詰所へやって来た。	そこへ空港で働く会社の人が消防の詰め所へやってきた。
c907-1	1字の入れ替え	駐	人にも、車にも、駐まっている機体にもぶつかりうる。	人にも車にも、つづまっている機体にもぶつかりうる。
c911-2	1字の入れ替え	分	そして、近づいてはじめて、それが何なのかが分かった。	そして近づいて初めてそれが何なのかがわかった。
c913-1	頭欠け	消→ヤ	消防は、ここで初めて知ることになる。	ヤオボーはここで初めて知ることになる。
c913-1	字の欠け	消防	消防は、ここで初めて知ることになる。	ヤオボーはここで初めて知ることになる。
c913-2	1字の入れ替え	機	燃えていたのは、二機だった	燃えていたのは二基だった。
c914-1	字の欠け	消防	消防は、二つ目の機体に力を移した。	吉雄坊は二つ目の機体に力を移した。
c915-2	1字の入れ替え	無	二階の部屋と、胴体の上側のほとんどが無くなった。	二階の部屋と胴体の上側のほとんどがなくなった。
ep02-2	字の欠け	定肯	四つ。航空機関士の問いに、強い肯定で答えた。	四つ。航空機関士の問いに強い高低で答えた。
ep03-2	字の欠け	会止	そして四つとも、止まるための機会だった。	そして四つとも泊まるための機械だった。
ep06-3	字の欠け	葉言	言葉が適切でなかったこと。パンナムが三番目で出なかったこと。異例の混雑。	賭場が適切でなかったこと。パンナムが三番目で出なかったこと。異例の混雑。
ep07-3	頭欠け	None→3	管制官の「オーケー」も適切ではなかった。ただし離陸は、もう始まっていた。	三獣間のOKも適切ではなかった。ただし、離陸はもう始まっていた。
ep07-3	字の欠け	制官管	管制官の「オーケー」も適切ではなかった。ただし離陸は、もう始まっていた。	三獣間のOKも適切ではなかった。ただし、離陸はもう始まっていた。
ep10-3	頭欠け	583→283	583人が亡くなり、61人が生きて出た。1本の滑走路の上である。	二百八十三人が亡くなり、六十一人が生きて出た。一本の滑走路の上である。
