行	テイク数	判定	各テイクの聞取	本文
c813-1	1	採用（文字起こしが台本と合う）	take1: 建屋は切って埋めることになった。	建屋は、切って埋めることになった。
c814-1	1	採用（文字起こしが台本と合う）	take1: フォートベルボアから爆破の専門家が来て	フォート・ベルボアから爆破の専門家が来て、
c815-1	1	採用（文字起こしが台本と合う）	take1: 運転会の床を落とし、入った割れ目から二つに割って	運転階の床を落とし、入った割れ目から2つに割って、
c816-2	1	採用（文字起こしが台本と合う）	take1: そこに新しい埋設土を掘ってあった。	そこに、新しい埋設地を掘ってあった。
c819-2	2	採用（文字起こしが台本と合う）	take1: Oシャノーの量でおよそ600キュリー || take2: 放射能の量でおよそ600キュリー	放射能の量で、およそ600キュリー。
c821-2	1	採用（文字起こしが台本と合う）	take1: 坑道を十六マイル運ぶ間に人が浴びる量の方が大きいからだ。	公道を16マイル運ぶあいだに、人が浴びる量のほうが大きいからだ。
c823-2	1	採用（文字起こしが台本と合う）	take1: 記録文書は今の状態を一行で書く。	記録文書は、いまの状態を1行で書く。
c905-1	1	採用（文字起こしが台本と合う）	take1: 次に原子力委員会 AEC の委員が1961年6月に議会でそう述べたという記録。	次に、原子力委員会AECの委員が、1961年6月に議会でそう述べたという記録。
c909-2	1	採用（文字起こしが台本と合う）	take1: 書き出しはこうだ。	書き出しはこうだ。
c910-2	1	採用（文字起こしが台本と合う）	take1: 今後は認めない。そう言い切りたい。だが、と続く。	今後は認めない。そう言い切りたい。だが、と続く。
c912-3	1	採用（文字起こしが台本と合う）	take1: 事故から一年十ヶ月。この時点で、成文にはなっていない	事故から1年10か月。この時点で、条文にはなっていない。
c913-1	1	採用（文字起こしが台本と合う）	take1: ただし、同じ説にこの事故の一番鋭い数字がある。	ただし同じ節に、この事故のいちばん鋭い数字がある。
c915-3	1	採用（文字起こしが台本と合う）	take1: 止めた路で棒を扱う危険。	止めた炉で棒を扱う危険
ep02-1	4	要耳（全テイク落ち・所見最少を採用）	take1: 一番熱い記録は原因ではなく後始末の方にある || take2: 一番熱い記録は原因ではなく後始末の方にある。 || take3: 一番熱い記録は原因ではなく後始末の方にある。 || take4: 一番熱い記録は原因ではなく後始末の方にある。	いちばん厚い記録は、原因ではなく、後始末のほうにある。
ep04-1	1	採用（文字起こしが台本と合う）	take1: 続きはこうである。それが結局、アイダホ支所の全部の部署と	続きはこうである。それが結局、アイダホ支所の全部の部署と、
