scene	decision	chosen	takes	flags	text
c330-2	real	1	3	take1: 途中に浮いた音: 190ms（2.42秒地点・振幅22625＝本文の2.4倍／前90ms・後170ms の無音） || take2: 途中に浮いた音: 190ms（2.26秒地点・振幅18232＝本文の1.9倍／前210ms・後170ms の無音） || take3: 途中に浮いた音: 200ms（2.34秒地点・振幅16403＝本文の2.0倍／前110ms・後190ms の無音）	プールサイドを歩いている人からは、絶対に見えない。
c335-2	unsure	1	3	take1: 途中に浮いた音: 170ms（2.42秒地点・振幅16762＝本文の1.7倍／前220ms・後100ms の無音） || take2: 途中に浮いた音: 220ms（2.55秒地点・振幅12254＝本文の1.5倍／前130ms・後90ms の無音） || take3: 途中に浮いた音: 220ms（2.30秒地点・振幅16293＝本文の1.7倍／前130ms・後80ms の無音）	筋書きは、計算だけでなく、実験でも確かめられている。
c336-1	clean	3	3	take1: 末尾に余計な音: 150ms の無音 → 180ms の音（2.62秒地点・振幅14195＝本文の1.1倍） || take2: 末尾に余計な音: 140ms の無音 → 150ms の音（2.71秒地点・振幅11623＝本文の0.9倍） || take3: clean	ここまでで、何が起きたのかは分かった。
c403-1	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 160ms の音（3.36秒地点・振幅7730＝本文の1.2倍） || take2: clean	ひとつは、設計そのものの、耐える力の不足。
c407-1	unsure	1	3	take1: 途中に浮いた音: 100ms（0.94秒地点・振幅13049＝本文の1.6倍／前230ms・後130ms の無音） || take2: 途中に浮いた音: 130ms（0.89秒地点・振幅18328＝本文の1.9倍／前160ms・後120ms の無音） || take3: 途中に浮いた音: 150ms（0.89秒地点・振幅15934＝本文の2.0倍／前180ms・後110ms の無音）	印は、1か所や2か所ではない。
c410-2	clean	2	2	take1: 先頭に余計な音: 130ms の音（振幅18880＝本文の2.8倍）のあと 80ms の無音 || take2: clean	鉄筋があるはずの深さ。下の線が、実際に鉄筋のあった深さである。
c411-2	clean	2	2	take1: 先頭に余計な音: 110ms の音（振幅21049＝本文の2.3倍）のあと 120ms の無音 || take2: clean	鉄筋を錆から守るために、わざと付けてある厚みである。
c414-2	clean	3	3	take1: 先頭に余計な音: 130ms の音（振幅25692＝本文の2.2倍）のあと 110ms の無音 || take2: 先頭に余計な音: 130ms の音（振幅27123＝本文の2.7倍）のあと 80ms の無音 || take3: clean	鉄筋が守られて、錆びにくくなるからである。
c415-2	clean	3	3	take1: 途中に浮いた音: 140ms（1.82秒地点・振幅18134＝本文の1.7倍／前170ms・後100ms の無音） || take2: 途中に浮いた音: 140ms（1.86秒地点・振幅20439＝本文の1.9倍／前180ms・後80ms の無音） || take3: clean	かぶりが厚いぶんだけ、鉄筋が下に押し下げられるからである。
c426-2	unsure	1	3	take1: 末尾に余計な音: 110ms の無音 → 190ms の音（1.87秒地点・振幅16363＝本文の2.0倍） || take2: 末尾に余計な音: 110ms の無音 → 130ms の音（2.19秒地点・振幅12482＝本文の1.4倍） || take3: 末尾に余計な音: 80ms の無音 → 160ms の音（2.04秒地点・振幅13990＝本文の1.5倍）	4本のはずが、2本だった
c428-2	clean	2	2	take1: 途中に浮いた音: 200ms（2.59秒地点・振幅16213＝本文の2.3倍／前90ms・後110ms の無音） || take2: clean	この場所では、という断りが、はっきり付けてある。
c429-2	clean	3	3	take1: 末尾に余計な音: 100ms の無音 → 130ms の音（4.27秒地点・振幅15406＝本文の1.5倍） || take2: 末尾に余計な音: 100ms の無音 → 190ms の音（4.93秒地点・振幅14098＝本文の1.2倍） || take3: clean	書いてあるのは、プールデッキの床では、指定より少ないのが通例だった、
c431-2	clean	2	2	take1: 途中に浮いた音: 220ms（2.89秒地点・振幅25196＝本文の2.5倍／前210ms・後170ms の無音） || take2: clean	運ぶときには警察の護衛が付いた、と NIST は書いている。
c432-2	clean	3	3	take1: 途中に浮いた音: 170ms（1.44秒地点・振幅17406＝本文の1.9倍／前150ms・後130ms の無音） || take2: 途中に浮いた音: 150ms（1.48秒地点・振幅13357＝本文の1.9倍／前220ms・後120ms の無音） || take3: clean	この2つだけが、括弧でくくられている理由である。
c501-1	unsure	1	3	take1: 先頭に余計な音: 150ms の音（振幅19690＝本文の1.9倍）のあと 120ms の無音 || take2: 末尾に余計な音: 80ms の無音 → 210ms の音（2.50秒地点・振幅7787＝本文の1.2倍） || take3: 先頭に余計な音: 160ms の音（振幅30646＝本文の3.7倍）のあと 140ms の無音	括弧の外にある3つを、順に見ていく。
c509-2	clean	3	3	take1: 途中に浮いた音: 240ms（2.13秒地点・振幅22103＝本文の1.8倍／前160ms・後80ms の無音） || take2: 途中に浮いた音: 240ms（2.16秒地点・振幅25251＝本文の2.6倍／前130ms・後90ms の無音） || take3: clean	どれだけ増えたかは、場所によってばらばらである。
c512-1	clean	2	2	take1: 途中に浮いた音: 170ms（0.87秒地点・振幅17911＝本文の2.3倍／前170ms・後100ms の無音） || take2: clean	見出しは、鉄筋の腐食。
c527-2	unsure	1	3	take1: 末尾に余計な音: 140ms の無音 → 230ms の音（3.85秒地点・振幅14976＝本文の1.9倍） || take2: 末尾に余計な音: 150ms の無音 → 160ms の音（3.67秒地点・振幅13445＝本文の1.7倍） || take3: 末尾に余計な音: 140ms の無音 → 200ms の音（3.96秒地点・振幅16018＝本文の2.2倍）	もともと小さかった余裕が、少しずつ削られていった。
c601-2	clean	2	2	take1: 途中に浮いた音: 140ms（5.18秒地点・振幅17076＝本文の2.2倍／前130ms・後110ms の無音） || take2: clean	壊れたのは、プールデッキの下にある、柱2本と床とのつなぎ目だった。
c616-1	clean	2	2	take1: 先頭に余計な音: 120ms の音（振幅31527＝本文の3.0倍）のあと 120ms の無音 || take2: clean	鉄筋は、コンクリートに埋まっている長さで力を伝えている。
c625-2	real	1	3	take1: 途中に浮いた音: 140ms（2.67秒地点・振幅12801＝本文の1.8倍／前130ms・後110ms の無音） || take2: 途中に浮いた音: 160ms（2.39秒地点・振幅18954＝本文の2.5倍／前130ms・後140ms の無音） || take3: 途中に浮いた音: 160ms（2.89秒地点・振幅17774＝本文の2.2倍／前150ms・後120ms の無音）	破壊が塔のなかを、どう広がっていったか、である。
c702-1	clean	2	2	take1: 先頭に余計な音: 190ms の音（振幅21845＝本文の2.8倍）のあと 120ms の無音 || take2: clean	残ったのが、ここまで見てきた筋書きである。
c707-2	clean	2	2	take1: 末尾に余計な音: 110ms の無音 → 190ms の音（4.37秒地点・振幅9607＝本文の1.2倍） || take2: clean	NIST が測った最短の距離は、およそ9フィートだった。
c711-2	clean	2	2	take1: 先頭に余計な音: 190ms の音（振幅25908＝本文の2.9倍）のあと 80ms の無音 || take2: clean	使ったのは、地面と建物を一緒に解く計算である。
c714-2	clean	2	2	take1: 途中に浮いた音: 150ms（2.18秒地点・振幅17815＝本文の2.2倍／前120ms・後90ms の無音） || take2: clean	ひとつめは、振動がどう減っていったか、である。
c719-2	clean	3	3	take1: 末尾に余計な音: 120ms の無音 → 140ms の音（1.94秒地点・振幅10029＝本文の1.6倍） || take2: 末尾に余計な音: 140ms の無音 → 180ms の音（2.14秒地点・振幅13322＝本文の1.9倍） || take3: clean	感じたというのは、本当だった。
c724-1	clean	2	2	take1: 途中に浮いた音: 140ms（2.03秒地点・振幅17493＝本文の2.8倍／前540ms・後90ms の無音） || take2: clean	ハリケーンと高潮。突発的にかかる、衝撃荷重。
c726-1	clean	2	2	take1: 末尾に余計な音: 110ms の無音 → 240ms の音（2.00秒地点・振幅14942＝本文の1.3倍） || take2: clean	外から加えられたものではなかった。
ep02-2	clean	2	2	take1: 先頭に余計な音: 190ms の音（振幅22106＝本文の4.7倍）のあと 100ms の無音 || take2: clean	設計の耐力不足。そして、施工の、設計図からの逸脱。
ep04-2	clean	2	2	take1: 途中に浮いた音: 190ms（2.62秒地点・振幅25522＝本文の3.7倍／前420ms・後230ms の無音） || take2: clean	2つめにも、広い範囲、と付いている。
ep10-2	unsure	1	3	take1: 途中に浮いた音: 200ms（1.06秒地点・振幅28252＝本文の2.7倍／前130ms・後180ms の無音） || take2: 途中に浮いた音: 240ms（0.93秒地点・振幅28461＝本文の3.2倍／前120ms・後90ms の無音） || take3: 途中に浮いた音: 190ms（1.13秒地点・振幅27895＝本文の3.0倍／前150ms・後200ms の無音）	建設が終わった、その時点からである。
ep11-2	unsure	1	3	take1: 途中に浮いた音: 170ms（0.89秒地点・振幅19756＝本文の1.5倍／前130ms・後120ms の無音） || take2: 末尾に余計な音: 140ms の無音 → 190ms の音（2.40秒地点・振幅10614＝本文の1.0倍） || take3: 途中に浮いた音: 200ms（0.88秒地点・振幅20950＝本文の2.2倍／前160ms・後90ms の無音）	余裕は決定的に小さかった
c112-2	clean	3	3	take1: 途中に浮いた音: 140ms（1.53秒地点・振幅21049＝本文の2.3倍／前240ms・後170ms の無音） || take2: 途中に浮いた音: 140ms（1.49秒地点・振幅23350＝本文の2.9倍／前170ms・後180ms の無音） || take3: clean	センチに直すと、いってんにセンチほど。それだけのずれで、
c310-2	unsure	1	3	take1: 途中に浮いた音: 160ms（3.17秒地点・振幅19846＝本文の2.7倍／前200ms・後130ms の無音） || take2: 途中に浮いた音: 180ms（3.01秒地点・振幅25883＝本文の3.5倍／前150ms・後110ms の無音） || take3: 途中に浮いた音: 170ms（3.28秒地点・振幅26446＝本文の3.9倍／前150ms・後180ms の無音）	柱のほうは、ゆかを突き抜けた形で、立ったまま残る。
c625-2	unsure	1	3	take1: 途中に浮いた音: 190ms（2.70秒地点・振幅19321＝本文の2.2倍／前90ms・後90ms の無音） || take2: 途中に浮いた音: 160ms（2.52秒地点・振幅17280＝本文の2.3倍／前110ms・後110ms の無音） || take3: 途中に浮いた音: 170ms（2.68秒地点・振幅24218＝本文の1.9倍／前120ms・後110ms の無音）	破壊が塔のなかを、どう広がっていったか、である。
c416-2	clean	2	2	take1: 途中に浮いた音: 140ms（1.88秒地点・振幅19522＝本文の1.9倍／前200ms・後80ms の無音） || take2: clean	上の鉄筋が下がったぶん、鉄筋から板のかめんまでの距離が縮む。
c429-2	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 160ms の音（4.80秒地点・振幅8965＝本文の1.0倍） || take2: clean	書いてあるのは、プールデッキのゆかでは、指定より少ないのが通例だった、
c518-2	real	1	3	take1: 途中に浮いた音: 160ms（0.87秒地点・振幅23861＝本文の3.0倍／前160ms・後100ms の無音） || take2: 途中に浮いた音: 160ms（0.78秒地点・振幅21940＝本文の2.8倍／前90ms・後90ms の無音） || take3: 途中に浮いた音: 140ms（0.79秒地点・振幅22489＝本文の2.7倍／前200ms・後100ms の無音）	ニスト は、鉄筋の標本を、数百本の単位で評価している。
c607-1	clean	2	2	take1: 末尾に余計な音: 120ms の無音 → 170ms の音（4.31秒地点・振幅9065＝本文の1.2倍） || take2: clean	ニスト が実物大で作ったのは、まさにこの部分だった。
c611-1	clean	2	2	take1: 末尾に余計な音: 110ms の無音 → 230ms の音（3.50秒地点・振幅11857＝本文の1.0倍） || take2: clean	右側のゆかは、外れて、斜めに下がっている。
c707-2	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 180ms の音（4.05秒地点・振幅8271＝本文の1.0倍） || take2: clean	ニスト が測った最短の距離は、およそ9フィートだった。
pr04-2	clean	2	2	take1: 途中に浮いた音: 110ms（1.64秒地点・振幅11299＝本文の1.8倍／前110ms・後150ms の無音） || take2: clean	下に沈んだ量は、いってんにセンチほど。それが、最初の合図である。
pr04-2	clean	3	3	take1: 途中に浮いた音: 120ms（1.61秒地点・振幅20346＝本文の2.7倍／前120ms・後200ms の無音） || take2: 途中に浮いた音: 130ms（1.56秒地点・振幅15125＝本文の1.7倍／前130ms・後120ms の無音） || take3: clean	下に沈んだ量は、いってんにセンチほど。それが、最初の合図である。
pr04-2	clean	3	3	take1: 途中に浮いた音: 120ms（1.58秒地点・振幅19138＝本文の2.2倍／前110ms・後140ms の無音） || take2: 途中に浮いた音: 100ms（1.73秒地点・振幅19139＝本文の2.3倍／前270ms・後150ms の無音） || take3: clean	下に沈んだ量は、いってんにセンチほど。それが、最初の合図である。
c629-2	clean	2	2	take1: 途中に浮いた音: 200ms（4.19秒地点・振幅22508＝本文の2.8倍／前100ms・後100ms の無音） || take2: clean	検討されたニジュウヨンとおりのうち、最後に残った1つである。
pr04-2	clean	2	2	take1: 途中に浮いた音: 130ms（1.52秒地点・振幅16394＝本文の1.9倍／前130ms・後210ms の無音） || take2: clean	下に沈んだ量は、一点二センチほど。それが、最初の合図である。
c114-1	clean	3	3	take1: 途中に浮いた音: 110ms（0.96秒地点・振幅16775＝本文の2.2倍／前160ms・後130ms の無音） || take2: 途中に浮いた音: 130ms（0.97秒地点・振幅17503＝本文の2.2倍／前120ms・後100ms の無音） || take3: clean	逆にいえば、一点二センチは、人が見て気づく量ではない。
c122-2	clean	2	2	take1: 先頭に余計な音: 50ms の音（振幅27752＝本文の3.9倍）のあと 110ms の無音 || take2: clean	一点二センチだったものが、2.5センチになっている。
c228-2	clean	2	2	take1: 途中に浮いた音: 150ms（1.37秒地点・振幅26960＝本文の3.6倍／前580ms・後100ms の無音） || take2: clean	9分前、6分から7分前、5分から6分前、4分から5分前。ふんの単位になる。
