行	key	val	前	後	前の聞取	後の聞取
c113-2	0.008ジュール	れいてんれいれいはちジュール	0.929	0.929	その名帯は0.08ジュール。一円玉を80センチ落とすほどの力。	その名帯は0.008ジュール。一円玉を八十センチ落とすほどの力。
c220-2	最初は1983年	最初は センキュウヒャクハチジュウサンねん	0.894	0.844	最初は 1983年、約四十八かける三十センチが欠けている。	最初は1983年、約48×30cmが描けている。
c305-1	2台の映像	ニダイの映像	0.850	0.950	次代の映像に映ったコマの時刻と破片の位置	二台の映像に映ったコマの時刻と破片の位置。
c515-1	19,700立方センチ	いちまんきゅうせんななひゃく立方センチ	0.923	0.950	今回ぶつかった破片は約十九千七百立方センチ。	今回ぶつかった破片は約一万九千七百立方センチ
c520-3	15通りの経路	ジュウゴとおりの経路	0.941	0.941	十も通りの経路のうち、一通りだけが二十一度で当たると出た。	十も通りの経路のうち一通りだけが二十一度で当たると出た。
c524-1	1月24日、チーム	イチガツ24日、チーム	1.000	1.000	1月24日、チームの説明会には立ち見が出た。	一月二十四日、チームの説明会には立ち見が出た。
c703-2	255周目	ニヒャクゴジュウゴ周目	0.981	0.963	百五十五周目である。乗員は地上の1割ほどの重さを感じていた。	二百五十五週目である。乗員は地上の 一割ほどの重さを感じていた。
c704-3	ここを0秒とする	ここを ゼロびょうとする	0.979	0.958	ここを秒とする。以後は時刻と突入からの秒数で示す。	ここを零秒とする。以後は時刻と突入からの秒数で示す。
c709-1	突入から290秒後	突入から ニヒャクキュウジュウ秒後	0.920	0.920	突入から二百九十秒後、前の縁の奥の温度計が上がり始めた。	突入から二百九十秒後、前の縁の奥の温度計が上がり始めた。
c709-2	425秒後には	ヨンヒャクニジュウゴ秒後には	0.958	1.000	225秒後には翼を支える桁の裏の温度計も動き出す。	四百二十五秒後には翼を支える桁の裏の温度計も動き出す。
c710-2	約4,400度	約よんせんよんひゃく度	1.000	1.000	中に入った空気は約四四〇〇度あった可能性がある。	中に入った空気は約四四〇〇度あった可能性がある。
c811-2	83,900点	はちまんさんぜんきゅうひゃく点	0.870	0.828	回収されたのは八千九百点。	回収されたのは八幡さん、1900点。
c807-1	270の機関から	ニヒャクナナジュウの機関から	0.750	1.000	麻薬70の期間から2万5000人以上が加わった。	270の機関から二万五千人以上が加わった。
pr02-2	9時00分18秒	クジ ゼロフン ジュウハチビョウ	0.794	0.806	だが、コロンビア号は九時零零分十八秒、テキサスの空でバラバラになった。	だが、コロンビア号は九時零分十八秒、テキサスの空でバラバラになった
c725-1	9時00分18秒	クジ ゼロフン ジュウハチビョウ	0.906	0.892	九時零分十八秒。地上の人が撮っていた映像に機体が分かれる様子が映る。	対し、0分18秒。地上の人が撮っていた映像に機体が分かれる様子が映る。
c704-1	8時44分09秒	8時44分 ゼロキュウビョウ	0.933	0.800	八時四十四分零九秒、大気圏に入った。	八時四十四分零九秒、待機圏に入った。
c212-2	離陸から追い	りりく から追い	0.919	0.821	陸から追い続ける役目はそのうち五箇所	リリクから追い続ける役目はそのうち五箇所。
c403-1	積み荷の実験	積み荷 の実験	0.893	0.909	SM2の実験をまとめる責任者はマイケルアンダーソン 43歳。	隅々の実験をまとめる責任者はマイケルアンダーソン四十三歳。
c511-1	計算のほうは	けいさん のほうは	0.780	0.800	理恵さんの方は写真を求める前から進んでいた。	Kさんの方は写真を求める前から進んでいた。
c411-2	黙とうをささげて	もくとう をささげて	0.820	0.833	十三日目には過去の事故で亡くなった人たちにダマトウを捧げている。	十三日目には過去の事故で亡くなった人たちにも苦闘を捧げている。
c617-2	NASAは確かめ	NASA は確かめ	0.800	1.000	噂は確かめられなかった。	NASAは確かめられなかった。
c807-2	広さを当たった	広さを 当たった	0.941	0.898	延べ150万時間をかけて四国の半分ほどの広さを渡った。	延べ百五十万時間をかけて四国の半分ほどの広さを渡った
c520-3	15通りの経路	ジュウゴ とおりの経路	0.941	0.980	十も通りの経路のうち、一通りだけが二十一度で当たると出た。	十五通りの経路のうち一通りだけが二十一度で当たると出た。
c615-1	チタンの小片	チタンの しょうへん	0.944	0.889	塞ぐ材料は重い金属の工具、チタンの小刀。	操る材料は重い金属の工具、チタンの小片。
c902-3	8枚目の下半分	8枚目の したはんぶん	0.923	0.962	破ったのは断熱材一辺、当たったのは八枚目の一半分である。	破ったのは断熱材一辺、当たったのは八枚目の下半分である。
c710-2	約4,400度	約 ヨンセンヨンヒャク度	1.000	0.955	中に入った空気は約四四〇〇度あった可能性がある。	中に入った空気は約四千四百度あった可能性がある。
c811-2	83,900点	ハチマンサンゼンキュウヒャクてん	0.833	0.917	回収されたのは八十千点九百点。	回収されたのは八万三千九百点。
c316-1	1,052キロ	センゴジュウニキロ	0.926	0.923	飛行中に出した速さの見積もりは時速六百三から一点五十二キロ。	飛行中に出した速さの見積もりは時速六百三から千五十二キロ。
c210-1	920キロ	キュウヒャクニジュウキロ	0.880	0.833	ぶつかった時の速さの差は時速約670から920キロ。	ぶつかった時の速さの差は時速約六百七十から九百二十キロ。
c210-1	約670	約 ロッピャクナナジュウ	0.880	0.833	ぶつかった時の速さの差は時速約670から920キロ。	ぶつかった時の速さの差は時速約六百七十から九百二十キロ。
pr02-2	号は、9時00分18秒	号は、クジ ゼロフン ジュウハチビョウ	0.794	0.806	だが、コロンビア号は九時零零分十八秒、テキサスの空でバラバラになった。	だが、コロンビア号は九時零分十八秒、テキサスの空でバラバラになった
