行	所見	本文
c213-2	末尾に余計な音: 80ms の無音 → 160ms の音（5.55秒地点・振幅8144＝本文の0.9倍）	乾いていくコンクリートを見に行き、第22径間の自分の車まで戻ったところだった。
c215-1	末尾に余計な音: 80ms の無音 → 220ms の音（3.76秒地点・振幅13292＝本文の1.1倍）	積み込みが終わったのは午後11時06分。
c301-2	末尾に余計な音: 110ms の無音 → 180ms の音（4.72秒地点・振幅8257＝本文の0.9倍）	低圧の電気が落ちると、明かりも舵も機関も同時に止まる造りだった。
c307-1	途中に浮いた音: 230ms（1.06秒地点・振幅14717＝本文の1.8倍／前120ms・後770ms の無音）	0時36分、タグボート2隻に付き添われて岸壁を離れる。
c307-1	途中に 770ms の無音（1.29秒地点）	0時36分、タグボート2隻に付き添われて岸壁を離れる。
c307-2	末尾に余計な音: 90ms の無音 → 160ms の音（9.54秒地点・振幅11407＝本文の1.5倍）	喫水、つまり水に沈む深さは12.15メートル。重さは11万2383トンだった。
c309-1	途中に 880ms の無音（2.20秒地点）	船の電気は二段になっている。高圧の母線から、
c312-1	途中に浮いた音: 140ms（3.45秒地点・振幅21392＝本文の2.1倍／前170ms・後100ms の無音）	燃料はタンクに180万ガロン、およそ680万リットル。
c313-3	末尾に余計な音: 170ms の無音 → 240ms の音（2.33秒地点・振幅18046＝本文の1.9倍）	端子台は、船に数千個あった
c315-1	末尾に余計な音: 90ms の無音 → 190ms の音（4.47秒地点・振幅12393＝本文の1.1倍）	港では、船が航路の中で安定したらタグを離すのがふつうだった。
c316-1	末尾に余計な音: 130ms の無音 → 160ms の音（2.36秒地点・振幅15012＝本文の1.5倍）	船首には甲板長が1人残った。
c317-1	途中に 800ms の無音（1.65秒地点）	1時21分。上級水先人が、訓練中の水先人にこう言っている。
c401-2	途中に 750ms の無音（3.74秒地点）	報告書は、ここからの残り時間を括弧に入れて書いている。マイナス4分9秒。
c402-1	末尾に余計な音: 90ms の無音 → 200ms の音（4.00秒地点・振幅7697＝本文の1.3倍）	明かりが消えた。操舵ポンプ3台が全部止まった。
c402-1	途中に 710ms の無音（1.01秒地点）	明かりが消えた。操舵ポンプ3台が全部止まった。
c404-3	末尾に余計な音: 90ms の無音 → 180ms の音（1.65秒地点・振幅8571＝本文の1.1倍）	舵は、動かせなかった
c405-1	途中に 700ms の無音（3.40秒地点）	3秒後の1時25分03秒。航海データ記録装置が、
c408-1	途中に 700ms の無音（2.41秒地点）	1時25分08秒。主機関が止まった。冷却水ポンプが落ちたためである。
c408-1	途中に 970ms の無音（4.48秒地点）	1時25分08秒。主機関が止まった。冷却水ポンプが落ちたためである。
c417-1	末尾に余計な音: 80ms の無音 → 130ms の音（6.16秒地点・振幅17339＝本文の1.7倍）	1時26分10秒。停電から70秒。非常用の発電機がつながった。
c418-1	末尾に余計な音: 100ms の無音 → 170ms の音（4.94秒地点・振幅14523＝本文の1.8倍）	1時26分18秒。3台のポンプがそろって回った。
c424-1	末尾に余計な音: 120ms の無音 → 210ms の音（8.39秒地点・振幅15985＝本文の1.7倍）	1時27分46秒。橋まで939フィート。船の長さ1隻ぶんを切った。
c424-1	途中に 790ms の無音（5.39秒地点）	1時27分46秒。橋まで939フィート。船の長さ1隻ぶんを切った。
c425-2	途中に 740ms の無音（2.35秒地点）	二等航海士がつまみを回した。補機が最初の停電で止まっており、動かなかった。
c501-1	途中に浮いた音: 160ms（0.89秒地点・振幅22821＝本文の2.8倍／前250ms・後130ms の無音）	時計を、1分16秒だけ戻す。
c504-2	途中に浮いた音: 200ms（1.55秒地点・振幅16640＝本文の1.6倍／前120ms・後120ms の無音）	このあと、橋に入った一般の車は1台も無い。
c508-1	末尾に余計な音: 150ms の無音 → 200ms の音（1.71秒地点・振幅11403＝本文の1.7倍）	その前に、船が当たった。
c510-2	末尾に余計な音: 110ms の無音 → 130ms の音（2.94秒地点・振幅11666＝本文の1.0倍）	警官は、点検員に電話をかけなかった
c513-2	途中に浮いた音: 150ms（1.29秒地点・振幅18350＝本文の2.5倍／前110ms・後260ms の無音）	本人たちは知らなかった、と報告書は書いている。
c517-1	途中に 830ms の無音（1.94秒地点）	点検員は、音を聞いた。報告書の言葉では、崩れるような雷の音。
c520-1	途中に 700ms の無音（1.13秒地点）	1時55分。州交通局警察の艇が、20番橋脚の近くでその1人を見つけた。
c601-1	末尾に余計な音: 100ms の無音 → 120ms の音（4.88秒地点・振幅10519＝本文の1.1倍）	船首の右舷が当たったのは、17番橋脚の北西の柱だった。
c608-2	途中に浮いた音: 120ms（1.34秒地点・振幅16035＝本文の1.8倍／前120ms・後110ms の無音）	橋の骨組みが、1本壊れれば落ちる造りだったからではないか。
c612-1	先頭に余計な音: 70ms の音（振幅27577＝本文の2.4倍）のあと 100ms の無音	6つ目が、その部材だった。
c614-2	途中に 710ms の無音（0.80秒地点）	17番橋脚が崩れたとき、力の道筋の重要な部分が取り除かれた。
c614-2	途中に 800ms の無音（3.24秒地点）	17番橋脚が崩れたとき、力の道筋の重要な部分が取り除かれた。
c702-1	末尾に余計な音: 80ms の無音 → 160ms の音（4.21秒地点・振幅6228＝本文の1.0倍）	目的は1つ。なぜ停電したのかを突き止めることだった。
c704-2	末尾に余計な音: 90ms の無音 → 220ms の音（2.73秒地点・振幅14962＝本文の1.4倍）	造船所の遮断器の専門家を呼ぶことになった。
c708-1	途中に 950ms の無音（1.35秒地点）	4月12日。前ぶれも警報も無く、低圧が落ちた。
c714-1	途中に浮いた音: 230ms（3.81秒地点・振幅11898＝本文の1.6倍／前90ms・後600ms の無音）	技術者が調べると、途中の接点はどれも正常だった。それなのに、
c715-1	途中に浮いた音: 110ms（1.64秒地点・振幅13079＝本文の1.5倍／前80ms・後120ms の無音）	そこで、信号線を1本ずつ当たっていった。
c715-2	途中に 1310ms の無音（2.34秒地点）	緩んだつなぎ目が1つ見つかる。ワゴ社の3口の端子台。番号は381。
c715-2	途中に 780ms の無音（6.16秒地点）	緩んだつなぎ目が1つ見つかる。ワゴ社の3口の端子台。番号は381。
c716-2	末尾に余計な音: 100ms の無音 → 230ms の音（3.98秒地点・振幅17047＝本文の2.0倍）	ワイヤーワンを抜いて挿し直すと、装置に電気が戻った。
c718-2	途中に 870ms の無音（2.42秒地点）	遮断器が開き、船は停電した。3月26日と同じ形の、警報の出ない停電である。
c723-2	途中に浮いた音: 110ms（2.68秒地点・振幅18258＝本文の1.9倍／前80ms・後100ms の無音）	船を造るとき、配電盤の線には1本ずつ、ラベルの帯が巻かれていた。
c725-3	末尾に余計な音: 130ms の無音 → 130ms の音（2.55秒地点・振幅13140＝本文の1.3倍）	帯が、線を奥まで入れさせなかった
c802-2	末尾に余計な音: 90ms の無音 → 210ms の音（3.21秒地点・振幅12894＝本文の1.3倍）	橋からおよそ600ヤードのところで操舵を失った。
c814-2	末尾に余計な音: 100ms の無音 → 220ms の音（4.97秒地点・振幅9742＝本文の1.2倍）	州の道路行政も、2009年の指針そのものの開発委員だった。
c901-2	末尾に余計な音: 130ms の無音 → 180ms の音（3.21秒地点・振幅12408＝本文の1.4倍）	ボルチモア港に出入りする船が、すべて止まった。
c904-1	末尾に余計な音: 80ms の無音 → 140ms の音（5.11秒地点・振幅14650＝本文の1.3倍）	測量船がソナーで残骸の形を測り、潜水士が水中に入った。
c905-1	途中に 720ms の無音（1.34秒地点）	5月13日。船の上に乗ったままの橋桁を、火薬で切り離した。
c908-1	途中に 740ms の無音（1.47秒地点）	5月21日、限られた幅の仮の航路が開いた。
c912-1	末尾に余計な音: 100ms の無音 → 180ms の音（5.85秒地点・振幅15027＝本文の1.6倍）	積んでいた4679個のコンテナのうち、56個が危険物だった。
c917-2	途中に 710ms の無音（2.40秒地点）	主径間は3300フィート。塔と塔のあいだは1600フィートになる。
ca09-1	途中に 750ms の無音（2.06秒地点）	車の側にも勧告が出た。しきい値を超えている橋、
ca12-1	途中に浮いた音: 130ms（1.31秒地点・振幅23285＝本文の2.0倍／前190ms・後110ms の無音）	推定原因は、一本の信号線の緩みだった。
ep02-1	先頭に余計な音: 10ms の音（振幅662＝本文の0.1倍）のあと 80ms の無音	1時27分53秒に指示が出て、1時28分21秒に車が止まった。
ep03-2	末尾に余計な音: 130ms の無音 → 160ms の音（2.44秒地点・振幅11882＝本文の1.4倍）	素早い封鎖が、命を救った
ep05-1	途中に 720ms の無音（1.68秒地点）	報告書はこう結んでいる。緊急のときに橋から退避させるための、
ep06-1	先頭に余計な音: 130ms の音（振幅20788＝本文の2.4倍）のあと 110ms の無音	一本の信号線と、掛からなかった一本の電話。
ep06-1	途中に浮いた音: 190ms（2.44秒地点・振幅24768＝本文の2.8倍／前100ms・後100ms の無音）	一本の信号線と、掛からなかった一本の電話。
