行	型	該当	本文
pr06-3	§6の語（9.11）	手引き	犯人と戦うことは、手引きのどこにも書かれていない。
pr06-3	EL_YOMI 既存	犯人と→はんにんと×1	犯人と戦うことは、手引きのどこにも書かれていない。
pr07-2	数詞＋助数詞	2004年	アメリカの独立調査委員会が2004年に出した。委員会報告と呼ぶ。
pr07-2	§6の語（9.11）	独立調査委員会	アメリカの独立調査委員会が2004年に出した。委員会報告と呼ぶ。
pr07-2	§6の語（9.11）	委員会報告	アメリカの独立調査委員会が2004年に出した。委員会報告と呼ぶ。
pr08-1	同形異音語（一般）	物	建物がなぜ崩れたのかは、別の役所が別に調べている。
pr09-2	同形異音語（一般）	物	航空路管制センターという。空港の管制塔とは別の建物である。
pr09-2	§6の語（9.11）	航空路	航空路管制センターという。空港の管制塔とは別の建物である。
pr09-2	§6の語（9.11）	管制	航空路管制センターという。空港の管制塔とは別の建物である。
pr09-2	§6の語（9.11）	管制	航空路管制センターという。空港の管制塔とは別の建物である。
pr11-1	同形異音語（一般）	日	この日、2,973人が亡くなった。
pr11-1	同形異音語（一般）	人	この日、2,973人が亡くなった。
pr11-1	数詞＋助数詞	973人	この日、2,973人が亡くなった。
pr11-3	同形異音語（実績）	側	この数に、乗っ取った側の19人は入っていない。
pr11-3	同形異音語（一般）	人	この数に、乗っ取った側の19人は入っていない。
pr11-3	数詞＋助数詞	19人	この数に、乗っ取った側の19人は入っていない。
pr12-1	同形異音語（一般）	人	これは、4機の飛行機と、それを追っていた人たちの記録である。
c101-1	同形異音語（実績）	間	出てくる時刻は、すべてアメリカ東部の時間である。
c103-1	§6の語（9.11）	世界貿易センター	その先っぽに、世界貿易センターが建っていた。
c103-2	文頭の数字	7	7棟の建物と、地下の商店街をまとめて、そう呼んでいる。
c103-2	同形異音語（一般）	物	7棟の建物と、地下の商店街をまとめて、そう呼んでいる。
c103-2	同形異音語（一般）	下	7棟の建物と、地下の商店街をまとめて、そう呼んでいる。
c103-2	EL_YOMI 既存	7棟→ななとう×1	7棟の建物と、地下の商店街をまとめて、そう呼んでいる。
c104-1	文頭の数字	4	4便の出発地は3か所。ボストン、ワシントン、ニューアークである。
c104-1	§6の語（9.11）	ニューアーク	4便の出発地は3か所。ボストン、ワシントン、ニューアークである。
c105-1	EL_YOMI 既存	便名→びんめい×1	便名は、アメリカン11便、ユナイテッド175便、
c105-2	数詞＋助数詞	4つ	アメリカン77便、ユナイテッド93便の4つ。
c105-3	EL_YOMI 既存	便名→びんめい×1	この動画では、最後までこの便名で呼ぶ。
c107-1	§6の語（9.11）	ダレス	ワシントン郊外のダレス空港から、アメリカン77便。
c107-2	§6の語（9.11）	ニューアーク	ニューヨーク近郊のニューアーク空港から、ユナイテッド93便。
c108-1	文頭の数字	1	11便と175便の機種は、ボーイング767だった。
c108-2	数詞＋助数詞	2本	客室の通路が2本ある、胴体の太い大型機である。
c108-2	EL_YOMI 既存	客室→きゃくしつ×1	客室の通路が2本ある、胴体の太い大型機である。
c109-1	文頭の数字	7	77便と93便は、ボーイング757という機種。
c109-1	EL_YOMI 既存	ボーイング757→ボーイングななごなな×1	77便と93便は、ボーイング757という機種。
c109-1	EL_YOMI 既存	77便と→ナナジュウナナ便と×1	77便と93便は、ボーイング757という機種。
c109-1	EL_YOMI 既存	93便は→キュウジュウサン便は×1	77便と93便は、ボーイング757という機種。
c109-2	数詞＋助数詞	1本	通路が1本の、767よりひとまわり細い機体である。
c109-2	§6の語（9.11）	機体	通路が1本の、767よりひとまわり細い機体である。
c110-1	文頭の数字	1	175便と93便は、その朝いつもより客が少なかった。
c110-1	EL_YOMI 既存	175便と→ヒャクナナジュウゴ便と×1	175便と93便は、その朝いつもより客が少なかった。
c110-1	EL_YOMI 既存	93便は→キュウジュウサン便は×1	175便と93便は、その朝いつもより客が少なかった。
c110-2	文頭の数字	9	93便は182席に37人。175便は168席に56人である。
c110-2	同形異音語（一般）	人	93便は182席に37人。175便は168席に56人である。
c110-2	同形異音語（一般）	人	93便は182席に37人。175便は168席に56人である。
c110-2	数詞＋助数詞	37人	93便は182席に37人。175便は168席に56人である。
c110-2	数詞＋助数詞	56人	93便は182席に37人。175便は168席に56人である。
c110-2	EL_YOMI 既存	175便は→ヒャクナナジュウゴ便は×1	93便は182席に37人。175便は168席に56人である。
c110-2	EL_YOMI 既存	93便は→キュウジュウサン便は×1	93便は182席に37人。175便は168席に56人である。
c111-1	§6の語（9.11）	保安検査	出発の前には、いまと同じように保安検査がある。
c111-2	同形異音語（一般）	物	金属探知機をくぐり、手荷物をエックス線に通す手順だった。
c112-2	同形異音語（一般）	人	鳴った人だけ、係員が手に持つ棒でもう一度調べる。
c112-2	EL_YOMI 既存	鳴った人→なった人×1	鳴った人だけ、係員が手に持つ棒でもう一度調べる。
c113-1	同形異音語（一般）	物	当時は、刃渡り10センチ（4インチ）未満の刃物なら、
c113-1	数詞＋助数詞	10センチ	当時は、刃渡り10センチ（4インチ）未満の刃物なら、
c113-1	数詞＋助数詞	4インチ	当時は、刃渡り10センチ（4インチ）未満の刃物なら、
c113-1	§6の語（SL-1）	刃	当時は、刃渡り10センチ（4インチ）未満の刃物なら、
c113-1	§6の語（SL-1）	刃	当時は、刃渡り10センチ（4インチ）未満の刃物なら、
c113-1	EL_YOMI 既存	刃渡り→はわたり×1	当時は、刃渡り10センチ（4インチ）未満の刃物なら、
c113-2	§6の語（9.11）	手引き	機内に持ち込めた。航空会社の手引きが、はっきり認めていた。
c114-2	§6の語（9.11）	連邦航空保安官	訓練を受けた連邦航空保安官の数は、この時点で、
c114-3	同形異音語（一般）	人	全米で33人。国内線には原則いない
c114-3	数詞＋助数詞	33人	全米で33人。国内線には原則いない
c114-3	§6の語（9.11）	原則	全米で33人。国内線には原則いない
c115-1	文頭の数字	7	7時59分。アメリカン11便が、ボストンを離陸した。
c115-1	数詞＋助数詞	7時	7時59分。アメリカン11便が、ボストンを離陸した。
c115-1	数詞＋助数詞	59分	7時59分。アメリカン11便が、ボストンを離陸した。
c115-2	同形異音語（一般）	人	乗っていたのは、乗客81人と、乗員11人である。
c115-2	同形異音語（一般）	人	乗っていたのは、乗客81人と、乗員11人である。
c115-2	数詞＋助数詞	81人	乗っていたのは、乗客81人と、乗員11人である。
c115-2	数詞＋助数詞	11人	乗っていたのは、乗客81人と、乗員11人である。
c115-2	§6の語（9.11）	乗員	乗っていたのは、乗客81人と、乗員11人である。
c116-1	文頭の数字	8	8時14分。ユナイテッド175便が、同じ空港を離陸する。
c116-1	数詞＋助数詞	8時	8時14分。ユナイテッド175便が、同じ空港を離陸する。
c116-1	数詞＋助数詞	14分	8時14分。ユナイテッド175便が、同じ空港を離陸する。
c116-2	同形異音語（一般）	人	こちらは、乗客56人と乗員9人だった。
c116-2	同形異音語（一般）	人	こちらは、乗客56人と乗員9人だった。
c116-2	数詞＋助数詞	56人	こちらは、乗客56人と乗員9人だった。
c116-2	数詞＋助数詞	9人	こちらは、乗客56人と乗員9人だった。
c116-2	§6の語（9.11）	乗員	こちらは、乗客56人と乗員9人だった。
c117-1	文頭の数字	8	8時20分。アメリカン77便が、ダレス空港を離陸した。
c117-1	数詞＋助数詞	8時	8時20分。アメリカン77便が、ダレス空港を離陸した。
c117-1	数詞＋助数詞	20分	8時20分。アメリカン77便が、ダレス空港を離陸した。
c117-1	§6の語（9.11）	ダレス	8時20分。アメリカン77便が、ダレス空港を離陸した。
c117-2	同形異音語（一般）	人	乗客58人と乗員6人。あわせて64人が乗っている。
c117-2	同形異音語（一般）	人	乗客58人と乗員6人。あわせて64人が乗っている。
c117-2	同形異音語（一般）	人	乗客58人と乗員6人。あわせて64人が乗っている。
c117-2	数詞＋助数詞	58人	乗客58人と乗員6人。あわせて64人が乗っている。
c117-2	数詞＋助数詞	6人	乗客58人と乗員6人。あわせて64人が乗っている。
c117-2	数詞＋助数詞	64人	乗客58人と乗員6人。あわせて64人が乗っている。
c117-2	§6の語（9.11）	乗員	乗客58人と乗員6人。あわせて64人が乗っている。
c118-1	文頭の数字	8	8時42分。ユナイテッド93便が、ニューアークを離陸した。
c118-1	数詞＋助数詞	8時	8時42分。ユナイテッド93便が、ニューアークを離陸した。
c118-1	数詞＋助数詞	42分	8時42分。ユナイテッド93便が、ニューアークを離陸した。
c118-1	§6の語（9.11）	ニューアーク	8時42分。ユナイテッド93便が、ニューアークを離陸した。
c118-1	EL_YOMI 既存	93便が→キュウジュウサン便が×1	8時42分。ユナイテッド93便が、ニューアークを離陸した。
c118-2	数詞＋助数詞	25分	朝の混雑で、離陸は25分あまり遅れている。
c119-1	文頭の数字	4	4機はどれも、長い距離を飛ぶために燃料を満載していた。
c119-2	EL_YOMI 既存	43,150リットル→よんまんさんぜんひゃくごじゅうリットル×1	積める量は、最大でおよそ43,150リットル、11,400ガロンである。
c119-2	EL_YOMI 既存	11,400ガロン→いちまんせんよんひゃくガロン×1	積める量は、最大でおよそ43,150リットル、11,400ガロンである。
c120-1	文頭の数字	7	7時59分から8時42分まで、43分のあいだに、
c120-1	数詞＋助数詞	7時	7時59分から8時42分まで、43分のあいだに、
c120-1	数詞＋助数詞	59分	7時59分から8時42分まで、43分のあいだに、
c120-1	数詞＋助数詞	8時	7時59分から8時42分まで、43分のあいだに、
c120-1	数詞＋助数詞	42分	7時59分から8時42分まで、43分のあいだに、
c120-1	数詞＋助数詞	43分	7時59分から8時42分まで、43分のあいだに、
c120-2	文頭の数字	4	4機はすべて空に上がった。
c120-2	同形異音語（一般）	上	4機はすべて空に上がった。
c121-1	§6の語（9.11）	共通戦略	この決まりには、名前が付いていた。共通戦略という。
c121-2	同形異音語（一般）	人	犯人と交渉し、安全に着陸させることを最優先にしていた。
c121-2	EL_YOMI 既存	犯人と→はんにんと×1	犯人と交渉し、安全に着陸させることを最優先にしていた。
c121-3	文頭の数字	1	1986年からの15年、アメリカ機は1機も乗っ取られていない。
c121-3	数詞＋助数詞	1986年	1986年からの15年、アメリカ機は1機も乗っ取られていない。
c121-3	数詞＋助数詞	15年	1986年からの15年、アメリカ機は1機も乗っ取られていない。
c122-1	§6の語（9.11）	管制	乗っ取りが分かると、管制官はまず上司に報せる。
c122-1	EL_YOMI 既存	管制官→かんせいかん×1	乗っ取りが分かると、管制官はまず上司に報せる。
c122-1	EL_YOMI 既存	報せ→しらせ×1	乗っ取りが分かると、管制官はまず上司に報せる。
c122-2	同形異音語（一般）	上	報せは連邦航空局という役所の本部へ上がり、国防総省へ渡る。
c122-2	§6の語（9.11）	連邦航空局	報せは連邦航空局という役所の本部へ上がり、国防総省へ渡る。
c122-2	§6の語（9.11）	国防総省	報せは連邦航空局という役所の本部へ上がり、国防総省へ渡る。
c122-2	EL_YOMI 既存	報せ→しらせ×1	報せは連邦航空局という役所の本部へ上がり、国防総省へ渡る。
c122-3	EL_YOMI 既存	軍の→ぐんの×1	軍の指揮系統をまた降りて、やっと戦闘機が動く。
c123-2	同形異音語（実績）	話	そのうち2か所が、この日の話に出てくる。
c123-2	同形異音語（一般）	日	そのうち2か所が、この日の話に出てくる。
c124-3	EL_YOMI 既存	想定の外→そうてい の外×1	想定の外から、その朝は始まった
c201-1	文頭の数字	8	8時14分の少し前。11便は高度およそ7,900メートル、
c201-1	数詞＋助数詞	8時	8時14分の少し前。11便は高度およそ7,900メートル、
c201-1	数詞＋助数詞	14分	8時14分の少し前。11便は高度およそ7,900メートル、
c201-1	数詞＋助数詞	900メートル	8時14分の少し前。11便は高度およそ7,900メートル、
c201-2	文頭の数字	2	26,000フィートまで上がっていた。ここまでは異常が無い。
c201-2	同形異音語（一般）	上	26,000フィートまで上がっていた。ここまでは異常が無い。
c201-2	数詞＋助数詞	000フィート	26,000フィートまで上がっていた。ここまでは異常が無い。
c201-2	EL_YOMI 既存	26,000フィート→にまんろくせんフィート×1	26,000フィートまで上がっていた。ここまでは異常が無い。
c202-1	§6の語（9.11）	操縦室	当時の規則でも、操縦室の扉は飛行中は閉めて施錠する。
c203-1	同形異音語（一般）	人	飛行機を乗っ取ったのは、4機あわせて19人である。
c203-1	数詞＋助数詞	19人	飛行機を乗っ取ったのは、4機あわせて19人である。
c203-2	文頭の数字	1	11便、175便、77便に5人ずつ。93便だけが4人だった。
c203-2	同形異音語（一般）	人	11便、175便、77便に5人ずつ。93便だけが4人だった。
c203-2	同形異音語（一般）	人	11便、175便、77便に5人ずつ。93便だけが4人だった。
c203-2	数詞＋助数詞	5人	11便、175便、77便に5人ずつ。93便だけが4人だった。
c203-2	数詞＋助数詞	4人	11便、175便、77便に5人ずつ。93便だけが4人だった。
c204-1	文頭の数字	1	19人は全員、当日の保安検査を通り抜けている。
c204-1	同形異音語（一般）	人	19人は全員、当日の保安検査を通り抜けている。
c204-1	同形異音語（一般）	日	19人は全員、当日の保安検査を通り抜けている。
c204-1	数詞＋助数詞	19人	19人は全員、当日の保安検査を通り抜けている。
c204-1	§6の語（9.11）	保安検査	19人は全員、当日の保安検査を通り抜けている。
c204-2	同形異音語（一般）	人	検査係のうち、あとから彼らを思い出せた人はいなかった。
c205-1	文頭の数字	8	8時19分。11便の客室乗務員が、会社の予約窓口に電話した。
c205-1	同形異音語（実績）	話	8時19分。11便の客室乗務員が、会社の予約窓口に電話した。
c205-1	数詞＋助数詞	8時	8時19分。11便の客室乗務員が、会社の予約窓口に電話した。
c205-1	数詞＋助数詞	19分	8時19分。11便の客室乗務員が、会社の予約窓口に電話した。
c205-1	§6の語（9.11）	客室乗務員	8時19分。11便の客室乗務員が、会社の予約窓口に電話した。
c205-2	§6の語（9.11）	操縦室	操縦室が応答しない、と伝えている。
c206-1	同形異音語（実績）	話	この電話は、長いあいだ切れずに続いた。
c206-2	同形異音語（一般）	人	操縦室に入った人の座席番号まで、落ち着いて伝えている。
c206-2	§6の語（9.11）	操縦室	操縦室に入った人の座席番号まで、落ち着いて伝えている。
c207-1	文頭の数字	8	8時21分。11便のトランスポンダが切られた。
c207-1	数詞＋助数詞	8時	8時21分。11便のトランスポンダが切られた。
c207-1	数詞＋助数詞	21分	8時21分。11便のトランスポンダが切られた。
c207-1	§6の語（9.11）	トランスポンダ	8時21分。11便のトランスポンダが切られた。
c207-2	§6の語（9.11）	管制	管制官の画面から、便名と高度の表示が消える。
c207-2	EL_YOMI 既存	管制官→かんせいかん×1	管制官の画面から、便名と高度の表示が消える。
c207-2	EL_YOMI 既存	便名→びんめい×1	管制官の画面から、便名と高度の表示が消える。
c208-1	§6の語（9.11）	トランスポンダ	トランスポンダは、機体が自分から名乗るための装置である。
c208-1	§6の語（9.11）	機体	トランスポンダは、機体が自分から名乗るための装置である。
c208-2	鉤括弧	「	「私はこの便で、いまこの高さです」と自動で返す。
c208-2	鉤括弧	」	「私はこの便で、いまこの高さです」と自動で返す。
c209-1	同形異音語（一般）	物	電波が物に当たって跳ね返るのが、一次レーダー。
c209-1	§6の語（9.11）	一次レーダー	電波が物に当たって跳ね返るのが、一次レーダー。
c209-2	§6の語（9.11）	機体	機体が電波に答えて返すのが、二次レーダーである。
c209-2	§6の語（9.11）	二次レーダー	機体が電波に答えて返すのが、二次レーダーである。
c209-3	§6の語（9.11）	管制	管制官がふだん画面で見ていたのは、後者だった。
c209-3	EL_YOMI 既存	管制官→かんせいかん×1	管制官がふだん画面で見ていたのは、後者だった。
c210-1	§6の語（9.11）	一次レーダー	一次レーダーの点は、ふだんは画面に出していない。
c210-1	EL_YOMI 既存	点は→てんは×1	一次レーダーの点は、ふだんは画面に出していない。
c210-2	§6の語（9.11）	管制	出すには、管制官が自分で表示の設定を切り替える必要がある。
c210-2	EL_YOMI 既存	出すには→だすには×1	出すには、管制官が自分で表示の設定を切り替える必要がある。
c210-2	EL_YOMI 既存	管制官→かんせいかん×1	出すには、管制官が自分で表示の設定を切り替える必要がある。
c211-1	文頭の数字	8	8時24分38秒。11便から、管制の無線に声が流れた。
c211-1	数詞＋助数詞	8時	8時24分38秒。11便から、管制の無線に声が流れた。
c211-1	数詞＋助数詞	24分	8時24分38秒。11便から、管制の無線に声が流れた。
c211-1	数詞＋助数詞	38秒	8時24分38秒。11便から、管制の無線に声が流れた。
c211-1	§6の語（9.11）	管制	8時24分38秒。11便から、管制の無線に声が流れた。
c211-1	§6の語（9.11）	無線	8時24分38秒。11便から、管制の無線に声が流れた。
c211-1	EL_YOMI 既存	管制→かんせい×1	8時24分38秒。11便から、管制の無線に声が流れた。
c211-2	鉤括弧	「	「複数の飛行機がある」
c211-2	鉤括弧	」	「複数の飛行機がある」
c212-1	§6の語（9.11）	管制	ところが、担当の管制官にはこの一言が聞き取れなかった。
c212-1	EL_YOMI 既存	管制官→かんせいかん×1	ところが、担当の管制官にはこの一言が聞き取れなかった。
c213-1	文頭の数字	1	11便が向かった先が、世界貿易センターである。
c213-1	§6の語（9.11）	世界貿易センター	11便が向かった先が、世界貿易センターである。
c213-2	文頭の数字	7	7棟あるうち、いちばん背の高い2棟をツインタワーと呼んだ。
c213-2	EL_YOMI 既存	7棟→ななとう×1	7棟あるうち、いちばん背の高い2棟をツインタワーと呼んだ。
c214-1	数詞＋助数詞	110階	北棟と南棟。どちらも110階建てだった。
c214-1	§6の語（9.11）	北棟	北棟と南棟。どちらも110階建てだった。
c214-1	§6の語（9.11）	南棟	北棟と南棟。どちらも110階建てだった。
c214-1	EL_YOMI 既存	北棟→きたとう×1	北棟と南棟。どちらも110階建てだった。
c214-1	EL_YOMI 既存	南棟→みなみとう×1	北棟と南棟。どちらも110階建てだった。
c214-2	同形異音語（実績）	方	事務所の広さは、2棟あわせておよそ97万平方メートルである。
c215-1	同形異音語（一般）	物	建物の断面は、1辺がおよそ63メートル、208フィートの正方形。
c215-1	数詞＋助数詞	63メートル	建物の断面は、1辺がおよそ63メートル、208フィートの正方形。
c215-1	数詞＋助数詞	208フィート	建物の断面は、1辺がおよそ63メートル、208フィートの正方形。
c215-2	同形異音語（一般）	上	上から見ると、細長い箱が2つ並んでいた。
c215-2	数詞＋助数詞	2つ	上から見ると、細長い箱が2つ並んでいた。
c216-1	文頭の数字	2	2棟の高さは、およそ411メートル。
c216-1	数詞＋助数詞	411メートル	2棟の高さは、およそ411メートル。
c216-2	数詞＋助数詞	350フィート	委員会報告が書いているのは、もとの単位で1,350フィートである。
c216-2	§6の語（9.11）	委員会報告	委員会報告が書いているのは、もとの単位で1,350フィートである。
c216-3	小数	1.2	東京タワーが333メートルだから、その1.2倍になる。
c216-3	数詞＋助数詞	333メートル	東京タワーが333メートルだから、その1.2倍になる。
c216-3	数詞＋助数詞	2倍	東京タワーが333メートルだから、その1.2倍になる。
c217-2	同形異音語（一般）	物	建物を調べた役所の資料では、北棟の屋上まで417メートル。
c217-2	同形異音語（一般）	上	建物を調べた役所の資料では、北棟の屋上まで417メートル。
c217-2	数詞＋助数詞	417メートル	建物を調べた役所の資料では、北棟の屋上まで417メートル。
c217-2	§6の語（9.11）	北棟	建物を調べた役所の資料では、北棟の屋上まで417メートル。
c217-2	EL_YOMI 既存	北棟→きたとう×1	建物を調べた役所の資料では、北棟の屋上まで417メートル。
c217-3	同形異音語（一般）	上	屋上のアンテナの先までなら、527メートルになる。
c217-3	数詞＋助数詞	527メートル	屋上のアンテナの先までなら、527メートルになる。
c218-1	文頭の数字	2	2棟は、事務所として貸し出されていた建物である。
c218-1	同形異音語（一般）	物	2棟は、事務所として貸し出されていた建物である。
c218-1	EL_YOMI 既存	2棟は→にとうは×1	2棟は、事務所として貸し出されていた建物である。
c218-2	同形異音語（実績）	間	ただし火曜の8時台は、人がまだ入りきっていない時間だった。
c218-2	同形異音語（一般）	人	ただし火曜の8時台は、人がまだ入りきっていない時間だった。
c218-2	数詞＋助数詞	8時	ただし火曜の8時台は、人がまだ入りきっていない時間だった。
c219-1	文頭の数字	8	8時34分。ボストンの管制センターは、決められた手順を飛ばして、
c219-1	数詞＋助数詞	8時	8時34分。ボストンの管制センターは、決められた手順を飛ばして、
c219-1	数詞＋助数詞	34分	8時34分。ボストンの管制センターは、決められた手順を飛ばして、
c219-1	§6の語（9.11）	管制	8時34分。ボストンの管制センターは、決められた手順を飛ばして、
c219-1	EL_YOMI 既存	管制→かんせい×1	8時34分。ボストンの管制センターは、決められた手順を飛ばして、
c220-1	文頭の数字	8	8時37分52秒。ようやく防空の当直につながる。
c220-1	数詞＋助数詞	8時	8時37分52秒。ようやく防空の当直につながる。
c220-1	数詞＋助数詞	37分	8時37分52秒。ようやく防空の当直につながる。
c220-1	数詞＋助数詞	52秒	8時37分52秒。ようやく防空の当直につながる。
c220-1	§6の語（SL-1）	当直	8時37分52秒。ようやく防空の当直につながる。
c220-1	§6の語（9.11）	当直	8時37分52秒。ようやく防空の当直につながる。
c220-2	同形異音語（一般）	物	訓練か本物かと聞かれ、管制官は「訓練ではない」と答えた。
c220-2	鉤括弧	「	訓練か本物かと聞かれ、管制官は「訓練ではない」と答えた。
c220-2	鉤括弧	」	訓練か本物かと聞かれ、管制官は「訓練ではない」と答えた。
c220-2	§6の語（9.11）	管制	訓練か本物かと聞かれ、管制官は「訓練ではない」と答えた。
c220-2	EL_YOMI 既存	管制官→かんせいかん×1	訓練か本物かと聞かれ、管制官は「訓練ではない」と答えた。
c221-1	§6の語（9.11）	北東航空防衛セクター	つながった先は、北東航空防衛セクターという部署である。
c221-2	§6の語（SL-1）	当直	ニューヨーク州ローマにある、防空の当直室だった。
c221-2	§6の語（9.11）	当直	ニューヨーク州ローマにある、防空の当直室だった。
c221-2	EL_YOMI 既存	当直室→とうちょく室×1	ニューヨーク州ローマにある、防空の当直室だった。
c221-3	同形異音語（一般）	下	この動画では、以下これを防空司令部と呼ぶ。
c221-3	§6の語（9.11）	防空司令部	この動画では、以下これを防空司令部と呼ぶ。
c221-3	EL_YOMI 既存	防空司令部→ぼうくう司令部×1	この動画では、以下これを防空司令部と呼ぶ。
c222-1	文頭の数字	8	8時46分。オーティス基地のF-15に、発進が命じられた。
c222-1	数詞＋助数詞	8時	8時46分。オーティス基地のF-15に、発進が命じられた。
c222-1	数詞＋助数詞	46分	8時46分。オーティス基地のF-15に、発進が命じられた。
c222-1	§6の語（9.11）	オーティス	8時46分。オーティス基地のF-15に、発進が命じられた。
c222-1	英字・記号	F	8時46分。オーティス基地のF-15に、発進が命じられた。
c222-1	EL_YOMI 既存	F-15→エフじゅうご×1	8時46分。オーティス基地のF-15に、発進が命じられた。
c223-1	同形異音語（一般）	下	名前の消えた点が、ニューヨークへ向かって南へ下りていく。
c223-2	§6の語（9.11）	管制	管制が追えているのは、跳ね返りの点だけである。
c223-2	§6の語（9.11）	跳ね返り	管制が追えているのは、跳ね返りの点だけである。
c223-2	EL_YOMI 既存	管制→かんせい×1	管制が追えているのは、跳ね返りの点だけである。
c224-1	数詞＋助数詞	8分	防空司令部が知らされてから、8分48秒後のことだった。
c224-1	数詞＋助数詞	48秒	防空司令部が知らされてから、8分48秒後のことだった。
c224-1	§6の語（9.11）	防空司令部	防空司令部が知らされてから、8分48秒後のことだった。
c224-1	EL_YOMI 既存	防空司令部→ぼうくう司令部×1	防空司令部が知らされてから、8分48秒後のことだった。
c224-2	文頭の数字	8	8時46分40秒。1機目が北棟にぶつかった
c224-2	同形異音語（一般）	目	8時46分40秒。1機目が北棟にぶつかった
c224-2	数詞＋助数詞	8時	8時46分40秒。1機目が北棟にぶつかった
c224-2	数詞＋助数詞	46分	8時46分40秒。1機目が北棟にぶつかった
c224-2	数詞＋助数詞	40秒	8時46分40秒。1機目が北棟にぶつかった
c224-2	§6の語（9.11）	北棟	8時46分40秒。1機目が北棟にぶつかった
c224-2	EL_YOMI 既存	北棟→きたとう×1	8時46分40秒。1機目が北棟にぶつかった
c301-1	文頭の数字	8	8時46分40秒の時点で、乗っ取られた便はあと3機ある。
c301-1	数詞＋助数詞	8時	8時46分40秒の時点で、乗っ取られた便はあと3機ある。
c301-1	数詞＋助数詞	46分	8時46分40秒の時点で、乗っ取られた便はあと3機ある。
c301-1	数詞＋助数詞	40秒	8時46分40秒の時点で、乗っ取られた便はあと3機ある。
c301-2	文頭の数字	1	175便、77便、93便が、まだ空を飛んでいる。
c301-2	EL_YOMI 既存	93便が→キュウジュウサン便が×1	175便、77便、93便が、まだ空を飛んでいる。
c302-1	文頭の数字	1	175便は、11便の15分あとに同じ空港を出ていた。
c302-1	数詞＋助数詞	15分	175便は、11便の15分あとに同じ空港を出ていた。
c302-1	EL_YOMI 既存	175便は→ヒャクナナジュウゴ便は×1	175便は、11便の15分あとに同じ空港を出ていた。
c302-2	文頭の数字	8	8時33分には、高度およそ9,400メートルに達している。
c302-2	数詞＋助数詞	8時	8時33分には、高度およそ9,400メートルに達している。
c302-2	数詞＋助数詞	33分	8時33分には、高度およそ9,400メートルに達している。
c302-2	数詞＋助数詞	400メートル	8時33分には、高度およそ9,400メートルに達している。
c303-1	同形異音語（実績）	方	管制は175便に、行方の分からない11便を探してくれと頼んでいる。
c303-1	§6の語（9.11）	管制	管制は175便に、行方の分からない11便を探してくれと頼んでいる。
