行	扱い	理由
c215-2	表記のゆれ（同音の別字）	栓→線（せん）
c216-2	直した（EL_YOMI）＋残りは表記のゆれ	始動確認表→しどう確認表。聞取「指導確認表」＝しどう と読めている（前は「シード」）
c217-1	取り直し（文字起こし合格）	3テイク
c218-1	取り直し（文字起こし合格）	3テイク
c221-2	表記のゆれ（同音の別字）	汲んだ→組んだ（くんだ）
c302-1	要耳（低）「は、」の間に浮いた音	mid 1.75-1.91秒・振幅比2.7。重なるのは助詞「は」（1.38-2.04秒＝読点の溜め）だけで促音が無い。文字起こしは台本どおり
c303-1	正しい（異音の所見は促音）	末尾「だっ|た」。取り直しでも聞取は台本どおり
c306-1	表記のゆれ（同音の別字）	円筒（えんとう）→円頭（えんとう）／無い→ない
c306-2	直した（EL_YOMI）＋取り直し2回	建屋から25フィート→たてやから25フィート。1回目の採用テイクは「毎時」→「毎月」（1字の取り違え）だったので取り直した。この穴を塞ぐ検査④「意味の語」を el_check_heard に足した
c310-1	取り直し（文字起こし合格）	1テイク
c312-2	取り直し（文字起こし合格）	1テイク
c316-1	表記のゆれ（同音の別字）	棒と覆い→ボート覆い（ぼうと）
c316-2	取り直し（文字起こし合格）	1テイク／継手→つぎ手
c318-1	取り直し（文字起こし合格）	1テイク
c320-1	表記のゆれ（同音の別字）	刃→葉（は）
c320-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 89%
c321-1	表記のゆれ（同音の別字）	刃→歯（は）
c322-1	取り直し（文字起こし合格）	4テイク
c323-1	表記のゆれ（同音の別字）	載って→乗って（のって）
c323-2	表記のゆれ（同音の別字）	散水環→散水管（さんすいかん）。台本第2版 §6-3 の期待読みと一致
c325-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c326-2	表記のゆれ（かな書き）	炉→ロ（ろ）
c327-1	正しい（異音の所見は促音）	「載|っ|て」
c327-2	取り直し（文字起こし合格）	1テイク
c328-1	取り直し（文字起こし合格）	2テイク
c328-2	表記のゆれ（読みは同じ）	無い→ない
c401-1	正しい（異音の所見は促音）	末尾「鳴|っ|た」
c402-1	取り直し（文字起こし合格）	3テイク
c402-2	正しい（異音の所見は促音）	末尾「鳴|っ|た」
c404-2	要耳（中）文頭の「門衛所」	4テイク取り直しても「毛営所／毛営上」。かな「もんえいしょを」は A/B で悪化（王室／毛炎症）＝**決着せず**。文中の門衛所（c417-1）は正しく取れている
c405-1	表記のゆれ（読みは同じ）	分からない→わからない
c408-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 89%
c410-1	正しい（異音の所見は促音）	末尾「向|か|っ|た」
c410-2	表記のゆれ（読みは同じ）	無い→ない
c412-1	表記のゆれ（同音の別字）	構外→郊外（こうがい）
c413-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 88%
c413-2	取り直し（文字起こし合格）	1テイク
c414-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 87%
c415-1	正しい（異音の所見は促音）	「だ|っ|た。」
c417-1	取り直し（文字起こし合格）	4テイク／値が→あたいが
c418-1	表記のゆれ（同音の別字）	構外→郊外（こうがい）
c422-1	取り直し（文字起こし合格）	1テイク
c422-2	取り直し（文字起こし合格）	1テイク
c423-1	表記のゆれ（同音の別字）	移って→映って（うつって）
c503-2	取り直し（文字起こし合格）	2テイク
c504-2	表記のゆれ（A/B で確定）	計器→ケーキ。かな「けいきを」を送っても聞取は「ケーキ」＝送った音に関係なく Scribe がそう書く
c505-1	表記のゆれ（同音の別字）	灯り→明かり（あかり）
c507-2	表記のゆれ（低）	アイダホ支所→会田保守所。4テイク取り直した。音は あいだほ・し(ゅ)・しょ でほぼ同じ。要耳一覧にも載せた
c509-1	表記のゆれ（同音の別字）	運転階→運転会（うんてんかい）
c509-2	取り直し（文字起こし合格）	1テイク
c511-1	取り直し（文字起こし合格）	1テイク
c511-2	表記のゆれ（検査の穴）	台本 1000 → 聞取「1,000」。区切りのカンマで数として拾えていないだけ
c512-2	正しい（異音の所見は促音）	「だ|っ|た」
c513-1	正しい（異音の所見は促音）	「入|っ|た」と「持|っ|て」の2か所とも促音
c514-1	取り直し（文字起こし合格）	1テイク
c514-2	表記のゆれ（読みは同じ）	分かっている→わかっている
c515-2	取り直し（文字起こし合格）	1テイク
c516-1	取り直し（文字起こし合格）	3テイク
c516-2	正しい（異音の所見は促音）	「だ|っ|た」
c517-1	取り直し（文字起こし合格）	1テイク
c517-2	正しい（異音の所見は促音）	「落ち合|っ|た」。取り直し1回で聞取「門から」（前は「本から」）
c518-1	表記のゆれ（同音の別字）	診た→見た（みた）。台本第2版 §6-3 の期待読み「みた」と一致／「こう書く」→「口角」（こうかく）も同音
c519-1	表記のゆれ（同音の別字）	診て→見て（みて）。同上
c519-2	取り直し（文字起こし合格）	1テイク
c520-1	表記のゆれ（同音の別字）	軍→郡（ぐん）
c520-2	表記のゆれ（同音の別字）	運転階→運転会（うんてんかい）
c521-1	取り直し（文字起こし合格）	1テイク
c521-2	取り直し（文字起こし合格）	1テイク
c602-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 79%
c602-2	直した（EL_YOMI）	値は→あたいは（聞取『熱は』）。A/B 100%
c603-1	正しい（異音の所見は促音）	「洗|っ|た」
c605-1	表記のゆれ（同音の別字）	納められた→収められた（おさめられた）
c605-2	取り直し（文字起こし合格）	「毎時30レントゲン」→「毎度」。新しい検査④「意味の語」が拾った行。take2 で聞取「毎時」
c607-1	誤報（語の時刻で確認）	「四百五十ポンド」と「七百五十ポンド」が部分文字列「百五十ポンド」を共有しているだけ。語ごとの時刻は 0.18→4.54秒を1回だけ順に進んでおり、二度読みは無い
c608-1	取り直し（文字起こし合格）	2テイク
c611-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 89%
c701-1	取り直し（文字起こし合格）	1テイク
c704-2	取り直し（文字起こし合格）	1テイク
c705-2	取り直し（文字起こし合格）	1テイク
c707-1	表記のゆれ（読みは同じ）	分からない→わからない
c707-2	表記のゆれ（読みは同じ）	分かる→わかる
c709-1	直した（EL_YOMI）	報告書番号 19311 を**数として**読んでいた（3テイクずつの中央値＝素 6.32秒／1桁ずつ 5.03秒／数として 6.72秒）。§6-2「報告書番号は数として読ませない」に反するので「いちきゅうさんいちいち」に固定。直したあとの長さ 5.65秒
c710-1	取り直し（文字起こし合格）	1テイク
c712-1	表記のゆれ（同音の別字）	要旨（ようし）→用紙（ようし）。⚠️ 文頭の c725-1 は濁って ようじ になったので EL_YOMI で直した
c713-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 90%
c716-2	取り直し（文字起こし合格）	1テイク
c718-1	取り直し（文字起こし合格）	1テイク
c719-2	表記のゆれ（読みは同じ）	要る→いる
c720-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 90%
c720-2	表記のゆれ（読みは同じ）	無い→ない
c721-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 90%
c724-2	表記のゆれ（読みは同じ）	無かった→なかった
c725-1	取り直し（文字起こし合格）	1テイク／要旨には→ようし には
c726-2	取り直し（文字起こし合格）	1テイク
c801-2	正しい（異音の所見は促音）	「始ま|っ|た」
c802-1	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 81%
c802-2	取り直し（文字起こし合格）	1テイク／建屋を→たてやを
c805-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 87%
c809-1	取り直し（文字起こし合格）	1テイク
c813-1	直した（EL_YOMI）＋異音は促音	建屋は、切って→たてやは、切って（聞取「手は」→「建屋は」）。異音の位置は「な|っ|た」
c814-1	取り直し（文字起こし合格）	1テイク
c814-2	表記のゆれ（同音の別字）	留めた→止めた（とめた）
c815-1	正しい（異音の所見は促音）	「入|っ|た」。取り直し1回で聞取「運転階」（前は「巡展開」）
c816-2	表記のゆれ（A/B で確定）	埋設地→埋設土。**かな「まいせつちを」を送っても聞取は変わらない**＝送っている音は正しく、Scribe の字の当て方
c819-1	表記のゆれ（検査の穴）	台本 8万 → 聞取「八万」。漢数字を万位で拾えていないだけ
c819-2	取り直し（文字起こし合格）	2テイク
c820-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 82%
c821-2	表記のゆれ（同音の別字）	公道→坑道（こうどう）
c823-2	取り直し（文字起こし合格）	1テイク
c905-1	取り直し（文字起こし合格）	1テイク
c909-2	取り直し（文字起こし合格）	1テイク
c910-2	取り直し（文字起こし合格）	1テイク
c912-1	表記のゆれ（同音の別字）	節→説（せつ）
c912-3	表記のゆれ（A/B で確定）	条文→成文。**かな「じょうぶんには」を送っても聞取は「成文」**＝Scribe が「成文化」へ引っぱられているだけ
c913-1	直した（EL_YOMI）	同じ節に→同じ せつに（聞取『同じ伏せに』）。空白でアクセント句を切ると聞取「同じ説に」＝せつ
c914-1	表記のゆれ（同音の別字）	速く→早く（はやく）
c915-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 86%
c915-3	表記のゆれ（同音の別字）	炉→路（ろ）
ep02-1	表記のゆれ（同音の別字）	厚い→熱い（あつい）
ep03-2	表記のゆれ（所見なし・一覧で目視ずみ）	一致率 82%
ep04-1	取り直し（文字起こし合格）	末尾に台本に無い音（「極」と聞こえる塊）。取り直して消えた
ep05-1	正しい（異音の所見は促音）	「だ|っ|た」
ep05-2	表記のゆれ（同音の別字）	火→日（ひ）
ep06-1	正しい（異音の所見は促音）	「9時1分」＝いっぷん の っ が異音の位置（4.40-4.54秒）
