scene	decision	chosen	takes	flags	text
c312-1	clean	2	2	take1: 末尾に余計な音: 120ms の無音 → 160ms の音（2.48秒地点・振幅14273＝本文の1.7倍） || take2: clean	煙は、出るたびに黒くなっていった。
c316-3	unsure	2	3	take1: 末尾に余計な音: 100ms の無音 → 120ms の音（4.44秒地点・振幅11785＝本文の1.4倍）; 途中に浮いた音: 220ms（2.30秒地点・振幅26050＝本文の3.1倍／前120ms・後80ms の無音） || take2: 途中に浮いた音: 230ms（2.43秒地点・振幅25195＝本文の2.9倍／前200ms・後80ms の無音） || take3: 末尾に余計な音: 90ms の無音 → 170ms の音（4.55秒地点・振幅10182＝本文の0.9倍）	ただし、機体にかかった力は、設計で見こんだ範囲の中だった。
c402-2	clean	3	3	take1: 途中に浮いた音: 190ms（1.12秒地点・振幅25358＝本文の2.1倍／前230ms・後80ms の無音） || take2: 途中に浮いた音: 170ms（1.12秒地点・振幅24278＝本文の2.1倍／前270ms・後80ms の無音） || take3: clean	起きたことを、三つの段階に分けて書いている。
c403-1	unsure	1	3	take1: 途中に浮いた音: 120ms（3.81秒地点・振幅14622＝本文の2.3倍／前110ms・後170ms の無音） || take2: 途中に浮いた音: 130ms（3.85秒地点・振幅11791＝本文の1.8倍／前200ms・後150ms の無音） || take3: 途中に浮いた音: 110ms（3.81秒地点・振幅11354＝本文の1.5倍／前220ms・後180ms の無音）	一つ目。タンクから噴き出した水素が、いっぺんに燃えた。
c404-2	unsure	2	3	take1: 末尾に余計な音: 1220ms の無音 → 50ms の音（5.07秒地点・振幅8684＝本文の1.0倍）; 途中に浮いた音: 210ms（3.64秒地点・振幅21876＝本文の2.4倍／前1190ms・後1220ms の無音） || take2: 末尾に余計な音: 1310ms の無音 → 170ms の音（3.95秒地点・振幅15344＝本文の1.6倍） || take3: 末尾に余計な音: 1610ms の無音 → 190ms の音（4.13秒地点・振幅13055＝本文の1.5倍）	ほとんど爆発に近い燃え方だった、と。
c405-2	clean	3	3	take1: 途中に浮いた音: 190ms（1.06秒地点・振幅24166＝本文の1.7倍／前130ms・後80ms の無音） || take2: 途中に浮いた音: 190ms（1.14秒地点・振幅27744＝本文の1.8倍／前170ms・後80ms の無音） || take3: clean	このタンクは、三つの機体をつなぐ背骨にあたる部分だ。
c407-1	clean	3	3	take1: 途中に浮いた音: 220ms（1.78秒地点・振幅8524＝本文の1.1倍／前90ms・後390ms の無音） || take2: 途中に浮いた音: 200ms（1.72秒地点・振幅21104＝本文の2.1倍／前80ms・後370ms の無音） || take3: clean	音より速く飛ぶ機体にとって、空気は壁のように固い。
c408-2	clean	3	3	take1: 末尾に余計な音: 90ms の無音 → 180ms の音（3.17秒地点・振幅6193＝本文の1.1倍） || take2: 末尾に余計な音: 110ms の無音 → 110ms の音（3.73秒地点・振幅5240＝本文の1.0倍） || take3: clean	本体は、火に焼かれて砕けたのではなかった。
c408-3	real	1	3	take1: 末尾に余計な音: 100ms の無音 → 150ms の音（2.96秒地点・振幅7497＝本文の1.1倍） || take2: 末尾に余計な音: 100ms の無音 → 160ms の音（3.03秒地点・振幅14724＝本文の1.7倍） || take3: 末尾に余計な音: 110ms の無音 → 160ms の音（2.95秒地点・振幅10146＝本文の1.1倍）	本体は、空気の力でばらばらになった
c409-1	clean	2	2	take1: 先頭に余計な音: 150ms の音（振幅30937＝本文の3.0倍）のあと 100ms の無音 || take2: clean	もっとも、「爆発ではない」と言い切るのも行きすぎだ。
c501-1	unsure	1	3	take1: 途中に浮いた音: 130ms（1.27秒地点・振幅17126＝本文の2.2倍／前230ms・後150ms の無音） || take2: 途中に浮いた音: 110ms（1.15秒地点・振幅12700＝本文の1.7倍／前120ms・後170ms の無音） || take3: 途中に浮いた音: 140ms（1.24秒地点・振幅16931＝本文の1.9倍／前180ms・後130ms の無音）	補助ロケットは、一本の筒ではない。
c503-2	real	1	3	take1: 途中に浮いた音: 120ms（1.18秒地点・振幅11747＝本文の1.2倍／前190ms・後120ms の無音） || take2: 途中に浮いた音: 120ms（1.20秒地点・振幅14147＝本文の1.1倍／前160ms・後130ms の無音） || take3: 途中に浮いた音: 120ms（1.14秒地点・振幅12668＝本文の1.1倍／前170ms・後130ms の無音）	この継ぎ目が、1本の補助ロケットにつき3か所ある。
c505-1	clean	3	3	take1: 先頭に余計な音: 200ms の音（振幅25342＝本文の2.5倍）のあと 130ms の無音 || take2: 先頭に余計な音: 130ms の音（振幅32531＝本文の3.7倍）のあと 130ms の無音 || take3: clean	出っぱりと、はさむ側の内側には、わずかなすきまがある。
c509-3	clean	2	2	take1: 末尾に余計な音: 110ms の無音 → 160ms の音（3.36秒地点・振幅8295＝本文の1.0倍） || take2: clean	熱をさえぎり、圧力だけを送る道具でもあった。
c512-1	clean	3	3	take1: 途中に浮いた音: 220ms（0.76秒地点・振幅30399＝本文の3.5倍／前100ms・後120ms の無音） || take2: 途中に浮いた音: 210ms（0.85秒地点・振幅29070＝本文の2.4倍／前170ms・後120ms の無音） || take3: clean	ここに、やっかいな事情が重なる。
c516-1	real	1	3	take1: 途中に浮いた音: 200ms（1.01秒地点・振幅22319＝本文の1.9倍／前200ms・後100ms の無音） || take2: 途中に浮いた音: 210ms（1.02秒地点・振幅21223＝本文の1.8倍／前150ms・後100ms の無音） || take3: 途中に浮いた音: 190ms（0.98秒地点・振幅23925＝本文の1.9倍／前150ms・後80ms の無音）	報告書は、実験の結果をこう書いている。
c603-1	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 170ms の音（3.19秒地点・振幅6747＝本文の0.9倍） || take2: clean	呼びかけたのは、補助ロケットを作った側だった。
c606-3	unsure	1	3	take1: 途中に浮いた音: 180ms（3.89秒地点・振幅25010＝本文の2.1倍／前610ms・後320ms の無音） || take2: 途中に浮いた音: 220ms（3.98秒地点・振幅28104＝本文の2.6倍／前460ms・後230ms の無音） || take3: 途中に浮いた音: 150ms（3.78秒地点・振幅27683＝本文の2.4倍／前570ms・後290ms の無音）	暖かい日にも跡が出るなら温度のせいではない、とNASA側は返した。
c616-2	clean	3	3	take1: 末尾に余計な音: 990ms の無音 → 130ms の音（6.11秒地点・振幅17489＝本文の1.4倍） || take2: 途中に浮いた音: 230ms（3.51秒地点・振幅14786＝本文の1.1倍／前80ms・後120ms の無音） || take3: clean	作った会社が勧めないなら、自分はそれに逆らって打ち上げはしない、と。
c622-1	clean	2	2	take1: 途中に浮いた音: 240ms（1.58秒地点・振幅19251＝本文の2.5倍／前560ms・後470ms の無音） || take2: clean	なんてことだ、とその言葉ははじまる。
c702-1	clean	2	2	take1: 途中に浮いた音: 140ms（0.99秒地点・振幅19798＝本文の1.5倍／前170ms・後90ms の無音） || take2: clean	中断は、結局30分ほどつづいた。
c702-2	real	1	3	take1: 途中に浮いた音: 180ms（0.98秒地点・振幅23431＝本文の1.7倍／前200ms・後80ms の無音） || take2: 途中に浮いた音: 200ms（1.09秒地点・振幅27708＝本文の1.6倍／前290ms・後90ms の無音） || take3: 途中に浮いた音: 200ms（0.95秒地点・振幅25605＝本文の1.7倍／前180ms・後100ms の無音）	そのあいだ、三つの場所はたがいに何も聞こえなかった。
c706-2	clean	3	3	take1: 途中に浮いた音: 220ms（2.26秒地点・振幅30159＝本文の2.2倍／前480ms・後220ms の無音） || take2: 途中に浮いた音: 200ms（2.37秒地点・振幅20764＝本文の1.6倍／前540ms・後240ms の無音） || take3: clean	聞いてもらえないと分かったから、と証言している。
c707-1	unsure	1	3	take1: 途中に浮いた音: 170ms（4.88秒地点・振幅18715＝本文の1.9倍／前120ms・後150ms の無音） || take2: 末尾に余計な音: 160ms の無音 → 150ms の音（5.13秒地点・振幅11556＝本文の1.2倍）; 途中に浮いた音: 170ms（4.80秒地点・振幅14293＝本文の1.4倍／前110ms・後160ms の無音） || take3: 末尾に余計な音: 130ms の無音 → 160ms の音（4.88秒地点・振幅10033＝本文の0.9倍）; 途中に浮いた音: 130ms（4.62秒地点・振幅10910＝本文の1.0倍／前110ms・後130ms の無音）	そして同じ上級副社長が、技術部門の副社長に向かって言った。
c708-1	clean	3	3	take1: 末尾に余計な音: 1490ms の無音 → 30ms の音（8.61秒地点・振幅14497＝本文の1.5倍）; 途中に浮いた音: 180ms（6.94秒地点・振幅11478＝本文の1.2倍／前1140ms・後1490ms の無音） || take2: 末尾に余計な音: 1680ms の無音 → 240ms の音（6.88秒地点・振幅25519＝本文の2.5倍） || take3: clean	続きはこうである。そして、経営者の帽子をかぶってくれ、と。
c712-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 130ms の音（3.07秒地点・振幅12130＝本文の1.2倍） || take2: clean	ところがその夜は、いつもと様子が違った。
c713-2	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 140ms の音（1.94秒地点・振幅13492＝本文の1.0倍） || take2: clean	そして、証明しきれなかった。
c714-2	clean	2	2	take1: 途中に浮いた音: 170ms（3.04秒地点・振幅6226＝本文の1.0倍／前100ms・後660ms の無音） || take2: clean	副社長は、気づくべきだったのに気づかなかった、と述べている。
c715-2	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 190ms の音（5.33秒地点・振幅10247＝本文の1.1倍） || take2: clean	温度の影響は気になるが、データは決定的ではない、という説明だった。
c808-2	clean	2	2	take1: 途中に浮いた音: 130ms（1.20秒地点・振幅19206＝本文の2.5倍／前90ms・後80ms の無音） || take2: clean	NASAも、作った会社も、である。
c808-3	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 110ms の音（3.73秒地点・振幅14985＝本文の1.2倍） || take2: clean	だから、その日の寒さが何を意味するかも分からなかった。
c809-2	unsure	2	3	take1: 末尾に余計な音: 150ms の無音 → 160ms の音（4.80秒地点・振幅8861＝本文の1.1倍）; 途中に浮いた音: 240ms（4.13秒地点・振幅19175＝本文の2.3倍／前200ms・後150ms の無音）; 途中に浮いた音: 130ms（4.52秒地点・振幅10382＝本文の1.2倍／前150ms・後150ms の無音） || take2: 途中に浮いた音: 160ms（4.96秒地点・振幅9275＝本文の1.0倍／前120ms・後2070ms の無音） || take3: 末尾に余計な音: 140ms の無音 → 140ms の音（4.90秒地点・振幅9789＝本文の1.4倍）; 途中に浮いた音: 240ms（4.26秒地点・振幅23008＝本文の3.3倍／前240ms・後130ms の無音）; 途中に浮いた音: 130ms（4.63秒地点・振幅6680＝本文の1.0倍／前130ms・後140ms の無音）	それがくり返されるうちに、跡は「許せるもの」に変わっていった。
c813-2	clean	2	2	take1: 末尾に余計な音: 110ms の無音 → 140ms の音（4.02秒地点・振幅16119＝本文の1.4倍） || take2: clean	しかも札が掛かったのは、このノズルの継ぎ目だけだった。
c813-3	unsure	1	3	take1: 末尾に余計な音: 110ms の無音 → 180ms の音（4.32秒地点・振幅6978＝本文の0.9倍） || take2: 末尾に余計な音: 110ms の無音 → 150ms の音（4.06秒地点・振幅7825＝本文の0.9倍） || take3: 末尾に余計な音: 110ms の無音 → 140ms の音（3.99秒地点・振幅8302＝本文の1.2倍）	あの日、火を噴いた継ぎ目には、最後まで掛からなかった。
c814-2	unsure	2	3	take1: 途中に浮いた音: 250ms（1.41秒地点・振幅8507＝本文の1.0倍／前80ms・後390ms の無音）; 途中に浮いた音: 190ms（2.05秒地点・振幅14083＝本文の1.6倍／前390ms・後200ms の無音） || take2: 途中に浮いた音: 190ms（1.81秒地点・振幅14842＝本文の1.4倍／前310ms・後200ms の無音） || take3: 途中に浮いた音: 210ms（2.05秒地点・振幅15737＝本文の1.3倍／前490ms・後190ms の無音）	札のことは知らなかった、と全員が述べた。
c817-3	clean	2	2	take1: 末尾に余計な音: 1900ms の無音 → 30ms の音（6.05秒地点・振幅19682＝本文の1.8倍） || take2: clean	前回うまくいったから、基準を少し下げてもいい、と。
c818-1	unsure	2	3	take1: 末尾に余計な音: 560ms の無音 → 190ms の音（5.65秒地点・振幅14516＝本文の1.8倍）; 途中に浮いた音: 190ms（0.66秒地点・振幅11957＝本文の1.5倍／前140ms・後1010ms の無音） || take2: 途中に浮いた音: 250ms（0.59秒地点・振幅11853＝本文の1.5倍／前110ms・後790ms の無音） || take3: 途中に浮いた音: 230ms（0.67秒地点・振幅6485＝本文の1.0倍／前130ms・後1070ms の無音）; 途中に浮いた音: 170ms（5.67秒地点・振幅7578＝本文の1.2倍／前480ms・後1590ms の無音）	うまくいった。けれど、何度もくり返していいことではない、と。
c819-2	clean	2	2	take1: 途中に浮いた音: 150ms（3.48秒地点・振幅11552＝本文の1.0倍／前130ms・後120ms の無音） || take2: clean	打ち上げの回数が増えるあいだに、その人数は減っていた。
c907-1	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 140ms の音（3.14秒地点・振幅15568＝本文の1.6倍） || take2: clean	補助ロケットの先端部も、2本で様子が違った。
c910-2	clean	2	2	take1: 途中に浮いた音: 230ms（2.78秒地点・振幅12857＝本文の1.0倍／前80ms・後80ms の無音） || take2: clean	3基とも、燃料が足りない状態で止まっていた。
ep02-2	unsure	1	3	take1: 先頭に余計な音: 200ms の音（振幅25601＝本文の2.3倍）のあと 100ms の無音 || take2: 先頭に余計な音: 80ms の音（振幅29047＝本文の2.6倍）のあと 150ms の無音 || take3: 先頭に余計な音: 170ms の音（振幅23609＝本文の2.1倍）のあと 140ms の無音	日程や費用を理由に、設計の選択肢を先に消してはならない、とある。
ep06-1	clean	2	2	take1: 途中に浮いた音: 250ms（2.71秒地点・振幅26882＝本文の2.2倍／前350ms・後100ms の無音） || take2: clean	ただ、この事故でいちばん重いのは、設計の話ではないのかもしれない。
ep06-3	clean	3	3	take1: 末尾に余計な音: 90ms の無音 → 180ms の音（4.70秒地点・振幅11064＝本文の1.2倍） || take2: 末尾に余計な音: 80ms の無音 → 150ms の音（4.62秒地点・振幅10557＝本文の1.0倍） || take3: clean	記録を調べていれば、温度とゴムの輪の関係は分かったはずだった
ep07-2	clean	2	2	take1: 途中に浮いた音: 170ms（4.16秒地点・振幅12272＝本文の1.1倍／前360ms・後1900ms の無音） || take2: clean	NASAも、作った会社も、その調べをしていなかった、と。
ep10-2	real	1	3	take1: 途中に浮いた音: 190ms（3.47秒地点・振幅6864＝本文の0.9倍／前90ms・後370ms の無音） || take2: 途中に浮いた音: 210ms（2.93秒地点・振幅7961＝本文の1.1倍／前100ms・後150ms の無音） || take3: 途中に浮いた音: 200ms（3.71秒地点・振幅9065＝本文の1.2倍／前120ms・後450ms の無音）	スコビー、スミス、オニヅカ、レズニック、マクネイア。
ep12-2	unsure	1	3	take1: 途中に浮いた音: 250ms（2.96秒地点・振幅30042＝本文の3.6倍／前140ms・後130ms の無音） || take2: 末尾に余計な音: 100ms の無音 → 90ms の音（4.63秒地点・振幅28161＝本文の3.1倍） || take3: 末尾に余計な音: 90ms の無音 → 140ms の音（4.90秒地点・振幅20960＝本文の2.4倍）; 途中に浮いた音: 220ms（2.96秒地点・振幅30569＝本文の3.6倍／前130ms・後170ms の無音）	ゴムの輪は冷えて硬くなり、つぶれきって押す空気も入らなかった。
c605-1	clean	2	2	take1: 末尾に余計な音: 90ms の無音 → 160ms の音（5.02秒地点・振幅9047＝本文の1.0倍） || take2: clean	根拠は、1年前の1985年1月の飛行だった。
ep12-2	unsure	1	3	take1: 途中に浮いた音: 240ms（2.79秒地点・振幅25550＝本文の3.1倍／前120ms・後110ms の無音） || take2: 末尾に余計な音: 90ms の無音 → 120ms の音（4.44秒地点・振幅7939＝本文の0.9倍） || take3: 途中に浮いた音: 250ms（2.71秒地点・振幅27711＝本文の3.1倍／前120ms・後110ms の無音）	ゴムの輪は冷えて硬くなり、つぶれきって押す空気も入らなかった。
c812-1	clean	3	3	take1: 末尾に余計な音: 90ms の無音 → 100ms の音（3.26秒地点・振幅18720＝本文の2.1倍） || take2: 末尾に余計な音: 90ms の無音 → 170ms の音（3.35秒地点・振幅8727＝本文の1.1倍） || take3: clean	その札を掛けたのは、補助ロケットの責任者だった。
c812-1	clean	2	2	take1: 末尾に余計な音: 100ms の無音 → 140ms の音（3.38秒地点・振幅12169＝本文の1.3倍） || take2: clean	その札を掛けたのは、補助ロケットの責任者だった。
c812-1	clean	2	2	take1: 末尾に余計な音: 80ms の無音 → 160ms の音（3.36秒地点・振幅9530＝本文の0.9倍） || take2: clean	その札を掛けたのは、補助ロケットの責任者だった。
c814-2	unsure	2	3	take1: 途中に浮いた音: 210ms（1.36秒地点・振幅10045＝本文の0.9倍／前80ms・後450ms の無音）; 途中に浮いた音: 210ms（2.02秒地点・振幅13870＝本文の1.3倍／前450ms・後170ms の無音） || take2: 途中に浮いた音: 220ms（1.44秒地点・振幅11477＝本文の1.0倍／前80ms・後400ms の無音） || take3: 途中に浮いた音: 210ms（2.05秒地点・振幅15378＝本文の1.3倍／前490ms・後180ms の無音）	札のことは知らなかった、と全員が述べた。
c814-2	clean	3	3	take1: 途中に浮いた音: 250ms（1.99秒地点・振幅19843＝本文の2.1倍／前460ms・後200ms の無音） || take2: 途中に浮いた音: 190ms（1.38秒地点・振幅10009＝本文の1.1倍／前80ms・後460ms の無音） || take3: clean	札のことは知らなかった、と全員が述べた。
