行ID	話者	文	音声記号列	読み	出どころ
c203-3		そう。これを、週に2往復していた。	そー。これを、しゅ'ーに/にお'ーふくしていた。	そー。これを、しゅーににおーふくしていた。	auto
c204-1		この夜、乗ったのは476人。乗客が443人、船で働く人が33人。	この/よ'る、のった'のわ/よんひゃくななじゅーろくに'ん。じょーきゃくが/よんひゃくよんじゅーさんに'ん、ふ'ねで/はたらく/ひとが/さんじゅーさんに'ん。	このよる、のったのわよんひゃくななじゅーろくにん。じょーきゃくがよんひゃくよんじゅーさんにん、ふねではたらくひとがさんじゅーさんにん。	auto
c204-2		生徒325人と先生14人は、アンサン市のダンウォン高校の修学旅行だった。	せ'ーと/さんびゃくにじゅーごに'んと/せんせ'ー/じゅーよに'んわ、あんさ'んしの/だんうぉんこ'ーこーの/しゅーがくりょ'こーだった。	せーとさんびゃくにじゅーごにんとせんせーじゅーよにんわ、あんさんしのだんうぉんこーこーのしゅーがくりょこーだった。	auto
c205-1		ほかの一般の乗客は104人。荷物を運ぶトラックの運転手とその配偶者や、	ほかの/いっぱんの/じょーきゃくわ/ひゃくよに'ん。に'もつを/はこぶ/とら'っくの/うんて'んしゅと/その/はいぐ'ーしゃや。	ほかのいっぱんのじょーきゃくわひゃくよにん。にもつをはこぶとらっくのうんてんしゅとそのはいぐーしゃや。	auto
c205-2		小学校の同窓会の仲間たちもいた。	しょーが'っこーの/どーそ'ーかいの/なかま'たちも/いた'。	しょーがっこーのどーそーかいのなかまたちもいた。	auto
c206-1	q	船で働く人たちは？	ふ'ねで/はたらく/ひと'たちわ？	ふねではたらくひとたちわ？	auto
c206-2		33人のうち、船を動かす船員が15人。調理や事務の係が8人。	さんじゅーさんに'んのうち、ふ'ねを/うごか'す/せんいんが/じゅーごに'ん。ちょ'ーりや/じ'むの/か'かりが/はちに'ん。	さんじゅーさんにんのうち、ふねをうごかすせんいんがじゅーごにん。ちょーりやじむのかかりがはちにん。	auto
c206-3		ほかに、アルバイトの学生や歌手など、10人が乗っていた。	ほかに、あるば'いとの/がくせーや/か'しゅなど、じゅーに'んが/のっていた'。	ほかに、あるばいとのがくせーやかしゅなど、じゅーにんがのっていた。	auto
c207-1		霧で、出港は遅れた。セウォル号が港を離れたのは、21時5分。	きりで、しゅっこーわ/おくれた'。せうぉる'ごーが/みなとを/はな'れたのわ、にじゅーいち'じ/ご'ふん。	きりで、しゅっこーわおくれた。せうぉるごーがみなとをはなれたのわ、にじゅーいちじごふん。	auto
c207-2		予定より、2時間30分あまり遅れていた。	よてーよ'り、にじ'かん/さんじゅっぷんあ'まり/おくれていた'。	よてーより、にじかんさんじゅっぷんあまりおくれていた。	auto
c208-1		その前、15日の17時ごろ。3等航海士が「出港前安全点検報告書」を、	その/ま'え、じゅーご'にちの/じゅーしちじご'ろ。さんとーこ'ーかいしが/しゅっこーま'え/あんぜんてんけんほーこくしょを。	そのまえ、じゅーごにちのじゅーしちじごろ。さんとーこーかいしがしゅっこーまえあんぜんてんけんほーこくしょを。	auto
c208-2		船会社の団体の運航管理室に出していた。	ふなが'いしゃの/だんたいの/うんこーかんり'しつに/だ'していた。	ふながいしゃのだんたいのうんこーかんりしつにだしていた。	auto
c209-1	q	その書類に、何か？	その/しょるいに、な'にか？	そのしょるいに、なにか？	auto
c209-2		海洋安全審判院の報告書は、こう書いている。	かいよー/あんぜんしんぱ'んいんの/ほーこくしょわ、こー/か'いている。	かいよーあんぜんしんぱんいんのほーこくしょわ、こーかいている。	auto
c209-3		出港前の報告書に、人数も貨物量も未記入	しゅっこーま'えの/ほーこくしょに、に'んずーも/かもつ'りょーも/みき'にゅー。	しゅっこーまえのほーこくしょに、にんずーもかもつりょーもみきにゅー。	auto
c210-1		積みすぎていないかは、船が水に沈んでいる深さ「喫水」で確かめる。	つみすぎていな'いかわ、ふ'ねが/みずに/しずんでいる'/ふか'さ/きっすいで/たしかめ'る。	つみすぎていないかわ、ふねがみずにしずんでいるふかさきっすいでたしかめる。	auto
c210-2		運航管理室の係は、100から150メートル離れた所から、望遠鏡でそれを見た。	うんこーかんり'しつの/か'かりわ、ひゃく'から/ひゃくごじゅーめ'ーとる/はな'れたところから、ぼーえんきょーで/それを/み'た。	うんこーかんりしつのかかりわ、ひゃくからひゃくごじゅーめーとるはなれたところから、ぼーえんきょーでそれをみた。	auto
c211-1		沈んでよい限りの線は6.26メートル。見た値は、約6.20メートルだった。	しずんでよいか'ぎりの/せ'んわ/ろくてんにーろくめ'ーとる。み'た/あたいわ、や'く/ろくてんにーぜろめ'ーとるだった。	しずんでよいかぎりのせんわろくてんにーろくめーとる。みたあたいわ、やくろくてんにーぜろめーとるだった。	auto
c211-2	q	つまり、積みすぎではない？	つ'まり、つみすぎで'わない？	つまり、つみすぎでわない？	auto
c211-3		そう判断された。	そー/はんだんされた'。	そーはんだんされた。	auto
c212-1		港を出たあと、船は無線で出港を報告した。旅客450人、船員24人、	みなとを/でた'あと、ふ'ねわ/むせんで/しゅっこーを/ほーこくした'。りょかく/よんひゃくごじゅーに'ん、せんいん/にじゅーよに'ん。	みなとをでたあと、ふねわむせんでしゅっこーをほーこくした。りょかくよんひゃくごじゅーにん、せんいんにじゅーよにん。	auto
c212-2		車150台、一般の貨物657トン。人の数も車の数も、実際とは違っていた。	くるま/ひゃくごじゅ'ーだい、いっぱんの/か'もつ/ろっぴゃくごじゅーなな'とん。ひとの/か'ずも/くるまの/か'ずも、じっさいと'わ/ちがっていた'。	くるまひゃくごじゅーだい、いっぱんのかもつろっぴゃくごじゅーななとん。ひとのかずもくるまのかずも、じっさいとわちがっていた。	auto
c213-1		21時39分、船は、港の沖の島、パルミドを通ったと報告した。	にじゅーいち'じ/さんじゅーきゅ'ーふん、ふ'ねわ、みなとの/おきのしま、ぱるみどを/と'ーったと/ほーこくした'。	にじゅーいちじさんじゅーきゅーふん、ふねわ、みなとのおきのしま、ぱるみどをとーったとほーこくした。	auto
c213-2		船は夜のあいだ、南へ走り続けた。	ふ'ねわ/よ'るの/あいだ、みなみえ/はしりつずけた'。	ふねわよるのあいだ、みなみえはしりつずけた。	auto
c214-1		この船には、韓国に来る前の歴史がある。	この/ふ'ねにわ、か'んこくに/く'る/ま'えの/れきしが/あ'る。	このふねにわ、かんこくにくるまえのれきしがある。	auto
c214-2	q	韓国に来る前？	か'んこくに/く'る/ま'え？	かんこくにくるまえ？	auto
c214-3		もとは、日本の海を走っていた船なのだ。	もと'わ、にほ'んの/う'みを/はし'っていた/ふ'ねなのだ。	もとわ、にほんのうみをはしっていたふねなのだ。	auto
c301-1		2010年2月、鹿児島港で撮られた写真だ。船首に「フェリーなみのうえ」とある。	にせんじゅ'ーねん/にがつ'、かごしま'こーで/とられた'/しゃしんだ。せ'んしゅに/ふぇりーなみのうえ'と/あ'る。	にせんじゅーねんにがつ、かごしまこーでとられたしゃしんだ。せんしゅにふぇりーなみのうえとある。	auto
c301-2		これが、のちのセウォル号である。	これが、のち'の/せうぉる'ごーである。	これが、のちのせうぉるごーである。	auto
c302-1	q	どこで造られた船なの？	ど'こで/つくられた'/ふ'ねなの？	どこでつくられたふねなの？	auto
c302-2		日本の林兼造船だ。1994年1月に工事が始まり、4月1日に進水した。	にほ'んの/はやしかねぞ'ーせんだ。せんきゅーひゃくきゅーじゅーよ'ねん/いちがつ'に/こ'ーじが/はじまり、しがつ'/ついたち'に/しんすいした'。	にほんのはやしかねぞーせんだ。せんきゅーひゃくきゅーじゅーよねんいちがつにこーじがはじまり、しがつついたちにしんすいした。	auto
c302-3		進水とは、造った船を初めて水に浮かべることだ。	しんすいと'わ、つく'った/ふ'ねを/はじ'めて/みずに/うかべること'だ。	しんすいとわ、つくったふねをはじめてみずにうかべることだ。	auto
c303-1		名前は「なみのうえ」。使っていたのは、日本の会社マルエーフェリー。	なまえわ/なみのうえ'。つかっていた'のわ、にほ'んの/かいしゃまるえーふぇ'りー。	なまえわなみのうえ。つかっていたのわ、にほんのかいしゃまるえーふぇりー。	auto
c303-2		九州と沖縄を結ぶ航路などで、客と貨物を運んでいた。	きゅ'ーしゅーと/おきなわを/むすぶ/こ'ーろなどで、きゃくと/か'もつを/はこんでいた'。	きゅーしゅーとおきなわをむすぶこーろなどで、きゃくとかもつをはこんでいた。	auto
c304-1		2012年10月8日、韓国のチョンヘジン海運が、この船を日本から導入した。	にせんじゅーに'ねん/じゅーがつ'/よーか、か'んこくの/ちょんへじんか'いうんが、この/ふ'ねを/にほ'んから/どーにゅーした'。	にせんじゅーにねんじゅーがつよーか、かんこくのちょんへじんかいうんが、このふねをにほんからどーにゅーした。	auto
c304-2		1994年の進水から、18年あまりがたっていた。	せんきゅーひゃくきゅーじゅーよ'ねんの/しんすいから'、じゅーはちねんあ'まりが/た'っていた。	せんきゅーひゃくきゅーじゅーよねんのしんすいから、じゅーはちねんあまりがたっていた。	auto
c305-1	q	名前は、変わったの？	なまえわ、かわった'の？	なまえわ、かわったの？	auto
c305-2		新しい名前は、セウォル号。	あたらし'い/なまえわ、せうぉる'ごー。	あたらしいなまえわ、せうぉるごー。	auto
c305-3		同じ月の22日、インチョンが、この船の本籍にあたる港として登録された。	おなじ/つき'の/にじゅーに'にち、い'んちょんが、この/ふ'ねの/ほ'んせきに/あたる/みなととして/とーろくされた'。	おなじつきのにじゅーににち、いんちょんが、このふねのほんせきにあたるみなととしてとーろくされた。	auto
c306-1		船首には、ローマ字とハングルで、その名前が書かれている。	せ'んしゅにわ、ろーま'じと/は'んぐるで、その/なまえが/かかれている'。	せんしゅにわ、ろーまじとはんぐるで、そのなまえがかかれている。	auto
c306-2		韓国で客を乗せ始めたのは、2013年3月16日だった。	か'んこくで/きゃくを/のせはじ'めたのわ、にせんじゅーさ'んねん/さ'んがつ/じゅーろく'にちだった。	かんこくできゃくをのせはじめたのわ、にせんじゅーさんねんさんがつじゅーろくにちだった。	auto
c307-1		それから事故の日まで、およそ1年1か月。	それから/じこの'ひまで、およそ/いち'ねん/いっか'げつ。	それからじこのひまで、およそいちねんいっかげつ。	auto
c307-2		セウォル号は、インチョンとチェジュのあいだを往復した。	せうぉる'ごーわ、い'んちょんと/ちぇ'じゅの/あいだを/おーふくした'。	せうぉるごーわ、いんちょんとちぇじゅのあいだをおーふくした。	auto
c308-1		ここまでの経歴は、海洋安全審判院の報告書に書かれている。	ここま'での/けーれきわ、かいよー/あんぜんしんぱ'んいんの/ほーこくしょに/かかれている'。	ここまでのけーれきわ、かいよーあんぜんしんぱんいんのほーこくしょにかかれている。	auto
c308-2		日本時代の名前「なみのうえ」も、そこに出てくる。	にほんじ'だいの/なまえなみのうえ'も、そこに/で'てくる。	にほんじだいのなまえなみのうえも、そこにでてくる。	auto
c309-1	q	船の中は、どうなってたの？	ふ'ねのなかわ、ど'ー/なって'たの？	ふねのなかわ、どーなってたの？	auto
c309-2		客室があるのは、上から5階、4階、3階だ。	きゃくしつが/あ'るのわ、うえから'/ごかい、よんかい、さんがいだ。	きゃくしつがあるのわ、うえからごかい、よんかい、さんがいだ。	auto
c309-3		4階はA甲板、3階はB甲板という。その下は、車や荷物を積む甲板だ。	よんかいわ/えーかんぱん、さんがいわ/びーかんぱんと/いう。その/したわ、くるまや/に'もつを/つむ/かんぱんだ。	よんかいわえーかんぱん、さんがいわびーかんぱんという。そのしたわ、くるまやにもつをつむかんぱんだ。	auto
c310-1		5階には、船を操る操舵室と、1等客室やロビー、展示室があった。	ごかいに'わ、ふ'ねを/あやつ'る/そーだ'しつと、いっとーきゃ'くしつや/ろ'びー、てんじ'しつが/あ'った。	ごかいにわ、ふねをあやつるそーだしつと、いっとーきゃくしつやろびー、てんじしつがあった。	auto
c310-2		その下の4階には、2等客室などが並んでいた。	その/したの/よんかいに'わ、にとーきゃ'くしつなどが/ならんでいた'。	そのしたのよんかいにわ、にとーきゃくしつなどがならんでいた。	auto
c311-1		甲板には、25人乗りの救命いかだが44個。	かんぱんに'わ、にじゅーごに'んのりの/きゅーめーい'かだが/よんじゅーよ'んこ。	かんぱんにわ、にじゅーごにんのりのきゅーめーいかだがよんじゅーよんこ。	auto
c311-2		滑り台のようにいかだへ降りる、250人用の脱出シューターが4つ備えてあった。	すべり'だいのよーに/いかだえ/おり'る、にひゃくごじゅーにんよーの/だっしゅつしゅ'ーたーが/よっつ'/そな'えてあった。	すべりだいのよーにいかだえおりる、にひゃくごじゅーにんよーのだっしゅつしゅーたーがよっつそなえてあった。	auto
c311-3	q	逃げる道具は、そろってたんだ	にげ'る/どーぐ'わ、そろって'たんだ。	にげるどーぐわ、そろってたんだ。	auto
c312-1		ただ、韓国で客を乗せる前に、この船は大きく作り変えられた。	た'だ、か'んこくで/きゃくを/のせる/ま'えに、この/ふ'ねわ/お'ーきく/つくりかえら'れた。	ただ、かんこくできゃくをのせるまえに、このふねわおーきくつくりかえられた。	auto
c312-2		導入から4日後に始まり、4か月かかった工事だった。	どーにゅーから'/よっかご'に/はじまり、よんか'げつ/かか'った/こ'ーじだった。	どーにゅーからよっかごにはじまり、よんかげつかかったこーじだった。	auto
c401-1		2012年10月12日から、翌年の2月12日まで。セウォル号は、	にせんじゅーに'ねん/じゅーがつ'/じゅーに'にちから、よくねんの/にがつ'/じゅーに'にちまで。せうぉる'ごーわ。	にせんじゅーにねんじゅーがつじゅーににちから、よくねんのにがつじゅーににちまで。せうぉるごーわ。	auto
c401-2		韓国南部のヨンアムにある造船所で、作り変えられた。	かんこくな'んぶの/よ'んあむに/あ'る/ぞーせんしょ'で、つくりかえら'れた。	かんこくなんぶのよんあむにあるぞーせんしょで、つくりかえられた。	auto
c402-1		船の後ろの、A甲板の端の部屋は、天井を約1.7メートル高くした。	ふ'ねの/うしろの、えーかんぱんの/はしの/へや'わ、てんじょーを/や'く/いってんななめ'ーとる/たか'くした。	ふねのうしろの、えーかんぱんのはしのへやわ、てんじょーをやくいってんななめーとるたかくした。	auto
c402-2		そのうえで部屋を後ろへ延ばし、上と下、2つの階に分けた。	そのうえ'で/へや'を/うしろえ/のば'し、うえとした、ふたつ'の/か'いに/わ'けた。	そのうえでへやをうしろえのばし、うえとした、ふたつのかいにわけた。	auto
c403-1		上の階は展示室に、下の階は114人が泊まれる客室になった。	うえの'かいわ/てんじ'しつに、したの/か'いわ/ひゃくじゅーよに'んが/とまれ'る/きゃくしつに/な'った。	うえのかいわてんじしつに、したのかいわひゃくじゅーよにんがとまれるきゃくしつになった。	auto
c404-1		B甲板の後ろの、乗用車を置く場所には、運転手の客室を作った。定員は56人。	びーかんぱんの/うしろの、じょーよ'ーしゃを/おく/ばしょに'わ、うんて'んしゅの/きゃくしつを/つく'った。てーいんわ/ごじゅーろくに'ん。	びーかんぱんのうしろの、じょーよーしゃをおくばしょにわ、うんてんしゅのきゃくしつをつくった。てーいんわごじゅーろくにん。	auto
c404-2		一方で、船首の右側にあった、車が通る渡し板を外した。重さは推定で約50トン。	いっぽ'ーで、せ'んしゅの/みぎがわに/あ'った、くるまが/と'ーる/わたし'いたを/はずした'。おも'さわ/すいてーで/や'く/ごじゅ'っとん。	いっぽーで、せんしゅのみぎがわにあった、くるまがとーるわたしいたをはずした。おもさわすいてーでやくごじゅっとん。	auto
c405-1	q	部屋を足すと、何が変わるの？	へや'を/たす'と、な'にが/かわる'の？	へやをたすと、なにがかわるの？	auto
c405-2		高いところに重さを足すと、船の重さの中心、つまり重心が上がる。	たか'いところに/おも'さを/たす'と、ふ'ねの/おも'さの/ちゅーしん、つ'まり/じゅーしんが/あがる。	たかいところにおもさをたすと、ふねのおもさのちゅーしん、つまりじゅーしんがあがる。	auto
c405-3		重心が高い船ほど、傾いたときに元へ戻ろうとする力、復原力が弱くなる。	じゅーしんが/たか'い/ふねほど、かたむ'いたときに/もと'え/もど'ろーとする/ちから'、ふくげ'んりょくが/よわ'くなる。	じゅーしんがたかいふねほど、かたむいたときにもとえもどろーとするちから、ふくげんりょくがよわくなる。	auto
c406-1		報告書の表1では、重心の高さは11.27メートルから11.78メートルへ。	ほーこくしょの/ひょー'/いち'でわ、じゅーしんの/た'かさわ/じゅーいってんにーななめ'ーとるから/じゅーいってんななはちめ'ーとるえ。	ほーこくしょのひょーいちでわ、じゅーしんのたかさわじゅーいってんにーななめーとるからじゅーいってんななはちめーとるえ。	auto
c406-2		改造で、船の重心が51センチ上がった	かいぞーで、ふ'ねの/じゅーしんが/ごじゅーいっせ'んち/あがった'。	かいぞーで、ふねのじゅーしんがごじゅーいっせんちあがった。	auto
c407-1		その代わりに、積める貨物の上限は、2437トンから987トンに下げられた。	その/かわりに、つめる/か'もつの/じょーげんわ、にせんよんひゃくさんじゅーなな'とんから/きゅーひゃくはちじゅーなな'とんに/さげら'れた。	そのかわりに、つめるかもつのじょーげんわ、にせんよんひゃくさんじゅーななとんからきゅーひゃくはちじゅーななとんにさげられた。	auto
c407-2		もとの4割ほどしか、積めない船になった。	もと'の/よんわりほどしか、つめな'い/ふ'ねに/な'った。	もとのよんわりほどしか、つめないふねになった。	auto
c407-3	q	ずいぶん、減ったんだ	ず'いぶん、へった'んだ。	ずいぶん、へったんだ。	auto
c408-1		重しの水は、逆に増やすことになった。	おもしの/みずわ、ぎゃくに/ふや'すことに/な'った。	おもしのみずわ、ぎゃくにふやすことになった。	auto
c408-2		船の底のタンクに入れる水、バラストだ。370トンから1703トンへ。	ふ'ねの/そこの/た'んくに/いれる/みず、ばら'すとだ。さんびゃくななじゅ'っとんから/せんななひゃくさ'んとんえ。	ふねのそこのたんくにいれるみず、ばらすとだ。さんびゃくななじゅっとんからせんななひゃくさんとんえ。	auto
c409-1	q	荷を減らして、水を足すってこと？	に'を/へらして、みずを/たす'ってこと？	にをへらして、みずをたすってこと？	auto
c409-2		それが、作り変えた船が復原力の基準を満たすための、認められた条件だった。	それが、つくりか'えた/ふ'ねが/ふくげ'んりょくの/きじゅんを/みた'すための、みとめら'れた/じょーけ'んだった。	それが、つくりかえたふねがふくげんりょくのきじゅんをみたすための、みとめられたじょーけんだった。	auto
c410-1		客室を足して、乗せられる人の数は、840人から956人に増えた。	きゃくしつを/たして、のせられ'る/ひとの/か'ずわ、はっぴゃくよんじゅーに'んから/きゅーひゃくごじゅーろくに'んに/ふ'えた。	きゃくしつをたして、のせられるひとのかずわ、はっぴゃくよんじゅーにんからきゅーひゃくごじゅーろくにんにふえた。	auto
c411-1		この改造には、政府の許可は要らなかった。	この/かいぞーに'わ、せ'ーふの/きょ'かわ/いらな'かった。	このかいぞーにわ、せーふのきょかわいらなかった。	auto
c411-2		長さや幅、深さ、使い道が変わるときだけ、事前の許可が要る決まりだったからだ。	な'がさや/はば、ふか'さ、つかいみちが/かわると'きだけ、じぜんの/きょ'かが/いる/きまりだ'った/からだ。	ながさやはば、ふかさ、つかいみちがかわるときだけ、じぜんのきょかがいるきまりだったからだ。	auto
c412-1		2017年に引き揚げられたあとの、セウォル号の船体だ。	にせんじゅーなな'ねんに/ひきあげられた'あとの、せうぉる'ごーの/せんたいだ。	にせんじゅーななねんにひきあげられたあとの、せうぉるごーのせんたいだ。	auto
c412-2		客室が足されたのは、この横倒しの船の、後ろの上の階だった。	きゃくしつが/たされた'のわ、この/よこだおしの/ふ'ねの、うしろの/うえの'かいだった。	きゃくしつがたされたのわ、このよこだおしのふねの、うしろのうえのかいだった。	auto
c413-1		2013年1月24日、モッポ港で、「傾斜試験」が行われた。	にせんじゅーさ'んねん/いちがつ'/に'じゅー/よっか、もっぽ'こーで、けーしゃしけ'んが/おこなわれた'。	にせんじゅーさんねんいちがつにじゅーよっか、もっぽこーで、けーしゃしけんがおこなわれた。	auto
c413-2		船の重さと重心の高さを実際に確かめる試験で、船の検査機関の韓国船級も立ち会った。	ふ'ねの/おも'さと/じゅーしんの/た'かさを/じっさいに/たしかめ'る/しけ'んで、ふ'ねの/けんさき'かんの/かんこくせ'んきゅーも/たちあ'った。	ふねのおもさとじゅーしんのたかさをじっさいにたしかめるしけんで、ふねのけんさきかんのかんこくせんきゅーもたちあった。	auto
c413-3	q	それで、正しく量れたの？	それで、ただ'しく/はか'れたの？	それで、ただしくはかれたの？	auto
