no	naId	sheet	slot	use	seen	finding
35	146763482	nara_06	fallout	-	2026-09-23	濾紙をピッグへ（縦長）。焼き込み ENI-457-54
36	146763458	nara_06	fallout	-	2026-09-23	採取器の針金を切る（茶色がかる）。焼き込み ENI-451-54
37	146763446	nara_07	decon	-	2026-09-23	汚れた服を着替える天幕・パリー島（後ろに F4U）。左上に手書き 22-1582
38	146763436	nara_07	decon	c514?	2026-09-23	YAG-40 の除染の放水（甲板を上から）。左上に手書き 22-1562
39	146763428	nara_07	base	-	2026-09-23	エネマン島のキャンプ・ビキニ環礁（空撮）。左上に手書き 22-1248
40	146763424	nara_07	rongelap	-	2026-09-23	ロンゲリックの空軍の気象観測所（28人の米兵がいた島）。左上に手書き 22-1228
41	146763480	nara_07	fallout	-	2026-09-23	採取器の濾紙を巻く（縦長）。焼き込み ENI-456-54
42	146763472	nara_07	suits	-	2026-09-23	防護服を脱ぐ前にこすって洗う（顔はフードで見えない）。右下に D269-1
43	146763468	nara_08	damage	c507	2026-09-23	エネマン島の建物の爆風の被害（白黒）＝DNA 第56図と同じ写真の疑い
44	146763456	nara_08	decon	-	2026-09-23	USS Molala が YAG-40 を洗う（空撮）。左の縁に手書き 22-2931
45	146763450	nara_08	suits	-	2026-09-23	アドリカン島で器材を回収する防護服の人（暗い額）。下に手書き 22-2225
46	146763448	nara_08	fallout	c708	2026-09-23	灰を受けるトレイを据える2人。左上に手書き 22-2097
47	146763444	nara_08	decon	-	2026-09-23	F4U を測る放射線の係（Project 6.4）。左上に手書き 22-1580
48	146763442	nara_08	decon	-	2026-09-23	F4U を洗う（Project 6.4）。左上に手書き 22-1576
49	146763432	nara_09	rongelap	c108	2026-09-23	ロンゲラップの調査（ボートで浜に上がる一行）。✅ 原寸で確認（人の部分を切り出し）：全員が米海軍の乗組員と測定係（白いTシャツ・艇に DDE 449）＝公的な任務。私人なし＝使ってよい
50	146763420	nara_09	base	c417	2026-09-23	パリー島の桟橋と2隻のはしけ（空撮）。下に手書き 22-1003
51	146763418	nara_09	fallout	-	2026-09-23	Project 2.5a 浮かべる灰の採集ブイを下ろす（縦長）。右下に手書き 22-422
